,1G_result_1,1G_result_2,2G_result_1,2G_result_2,4G_result_1,4G_result_2
1,17321,1540,18302,1727,27706,1598
2,5110715,4392035,8519227,6708567,34555269,22223520
3,798294,449618,5951043,25857,12339383,435251
4,skip,skip,skip,skip,skip,skip
5,2375482,2120892,5317556,5668186,14017758,22313749
6,236225471,223180001,skip,skip,skip,skip
7,4312049,1930584,6240319,3237242,13772897,9851198
8,1139291,1053746,1663244,1642000,4627857,4729411
9,5848155,5392733,8923481,8746185,21530209,21517330
10,1919364,1868475,3084295,2844283,13537012,12610591
11,skip,skip,skip,skip,skip,skip
12,201850,248802,457942,403009,11198555,653736
13,1316368,1201738,2799358,2694668,5503051,5154553
14_1,37884369,34674526,83509512,72659243,skip,skip
14_2,52137230,63025932,123655254,144497685,skip,skip
15,471928,551724,1343427,916720,8282398,2593515
16,18080,11423,33213,11727,25576,15410
17,8522007,8120720,24783156,23231035,75824346,68127135
18,1162947,1080938,1936620,1906370,9117422,3876831
19,760072,884760,1307718,1247432,8663009,1193661
20,350049,372738,557398,642062,1200506,1128638
21,2895562,2119820,5433410,4765349,9552877,7181887
22,25200957,25359815,31301000,33986162,84011495,93153711
23_1,25838652,23255796,61318104,50314392,169502209,144493308
23_2,24970662,22543030,49011833,49635302,135994065,149057601
24_1,2251916,2031310,1165074,1203777,2986892,2300664
24_2,2171788,2111165,1113772,1034867,2624519,2445665
25,5442638,5438335,20843954,18510991,62181169,42612676
26,969805,942465,5502442,2344180,6874872,3566557
27,1658622,1664639,4668419,3824795,11560976,7630120
28,3418825,3544611,8938131,10340248,14269493,14075432
29,2865496,2829042,11554741,9448922,39498300,28509326
30,17921648,17875272,67043049,71670737,269112394,274822417
31,17252272,16199912,30536094,28953854,101339080,65696298
32,363583,355809,702406,710020,8373891,1720062
33,980830,926999,1765555,1742266,11135116,9916060
34,987396,1086762,907291,912448,7576374,2368507
35,1353817,1254414,2665678,2724506,20940501,26551077
36,3123548,3144348,5970551,5847238,15840619,14588681
37,37269,26320,75075,33298,148547,85506
38,4798751,4954117,8597186,8821277,34822425,40638786
39_1,19389285,18820477,27252182,27713119,59363230,61735488
39_2,18731190,19249225,27672557,27072798,60051390,58849795
40,391898,316147,1762948,614578,5961064,1302505
41,2020654,1826405,4435130,4538409,12834293,12949956
42,587933,576923,3116748,1361128,20400339,1383747
43,1435090,1351805,2790719,2755196,9828520,5101591
44,357937,343866,753730,730505,1525198,1392674
45,287832,289687,1622679,768633,4713734,1174416
46,695115,772624,1258403,1374760,4140408,3879751
47,skip,skip,skip,skip,skip,skip
48,1736101,1692960,5222823,3316263,9263344,6852447
49,224419,166072,1465106,445758,9486764,811700
50,176281,107975,1352450,211817,2361895,421535
51,8596886,7429161,17594746,16838602,34986668,31877058
52,667923,635225,1633499,1383936,1027050,1380159
53,648829,664451,1717267,1405061,4082035,3181492
54,695565,682141,2033385,1493770,24330037,11872653
55,72492,37870,202400,127151,315817,297485
56,1022911,1018394,3195948,2271556,15892175,18096941
57,237296937,243988564,skip,skip,skip,skip
58,770477,771412,1676060,1590725,14903223,13867757
59,3799182,3891696,8330927,7614294,22206524,16299699
60,2561835,2600214,7228733,6202745,34564938,42712546
61,20784,23931,23547,22146,55055,20716
62,854143,843247,1463955,1533249,2314824,2271269
63,715617,683954,1387245,1364837,15181814,3349086
64,1706794,1542320,3259187,3006864,11103758,6974594
65,5611712,6107866,10877085,11987342,27509509,25237550
66,1025708,918954,1589948,1399756,4927272,2382075
67,10634546,10247885,23138978,22662205,54394601,50883539
68,12148,14572,17341,10649,379382,10339
69,926373,892812,2713487,1561320,13335745,10471759
70,3320373,3280210,6376273,6526427,17464740,13572227
71,902818,915744,1664251,1676601,10443759,5795574
72,1612096,931086,4927819,1354921,13245476,8044669
73,19880,11489,10419,15051,23275,12144
74,skip,skip,skip,skip,skip,skip
75,2933752,3433120,5140198,5422063,17403389,14120625
76,1417788,1407122,2737281,2271064,10622978,9801660
77,971537,967523,1663670,1783548,4849063,8809620
78,51539784,48844392,112472119,113156438,skip,skip
79,839238,830123,1897686,1826494,4070132,4047282
80,1139054,1187925,2567856,2252165,14093394,8399386
81,75207201,72343453,278394442,282926384,skip,skip
82,97731,63163,161664,82306,480791,266116
83,329177,288647,730907,490076,1312257,1066330
84,135503,145473,413791,232803,655720,508554
85,242084,162489,4984970,549106,4523758,1161557
86,952324,815171,1963573,1671500,3537401,3074608
87,4861853,4860931,10986716,10320454,32426842,26491234
88,5045586,4863220,7720413,7296178,15951094,13947989
89,969369,992365,2312473,2166612,4138402,4257323
90,307941,307860,724742,724321,2062375,1194345
91,54175,46973,205414,119110,721302,208377
92,217529,179503,334883,301319,562530,540683
93,172066,149905,1630924,342026,3889373,577559
94,403662,379592,2866857,2945063,8390528,6184570
95,36856467,39844315,167664764,170687883,592489860,603772186
96,583994,567819,986407,1018131,2565781,1787709
97,8171023,7216443,12109413,11814662,33094479,35745940
98,611648,791264,1151619,1105545,3027654,2372661
99,1328504,1486310,2178595,2200551,5270326,4985557
