,1G_result_1,1G_result_2,2G_result_1,2G_result_2,4G_result_1,4G_result_2
1,17,1,18,1,27,1
2,5110,4392,8519,6708,34555,22223
3,798,449,5951,25,12339,435
4,skip,skip,skip,skip,skip,skip
5,2375,2120,5317,5668,14017,22313
6,236225,223180,skip,skip,skip,skip
7,4312,1930,6240,3237,13772,9851
8,1139,1053,1663,1642,4627,4729
9,5848,5392,8923,8746,21530,21517
10,1919,1868,3084,2844,13537,12610
11,skip,skip,skip,skip,skip,skip
12,201,248,457,403,11198,653
13,1316,1201,2799,2694,5503,5154
14_1,37884,34674,83509,72659,skip,skip
14_2,52137,63025,123655,144497,skip,skip
15,471,551,1343,916,8282,2593
16,18,11,33,11,25,15
17,8522,8120,24783,23231,75824,68127
18,1162,1080,1936,1906,9117,3876
19,760,884,1307,1247,8663,1193
20,350,372,557,642,1200,1128
21,2895,2119,5433,4765,9552,7181
22,25200,25359,31301,33986,84011,93153
23_1,25838,23255,61318,50314,169502,144493
23_2,24970,22543,49011,49635,135994,149057
24_1,2251,2031,1165,1203,2986,2300
24_2,2171,2111,1113,1034,2624,2445
25,5442,5438,20843,18510,62181,42612
26,969,942,5502,2344,6874,3566
27,1658,1664,4668,3824,11560,7630
28,3418,3544,8938,10340,14269,14075
29,2865,2829,11554,9448,39498,28509
30,17921,17875,67043,71670,269112,274822
31,17252,16199,30536,28953,101339,65696
32,363,355,702,710,8373,1720
33,980,926,1765,1742,11135,9916
34,987,1086,907,912,7576,2368
35,1353,1254,2665,2724,20940,26551
36,3123,3144,5970,5847,15840,14588
37,37,26,75,33,148,85
38,4798,4954,8597,8821,34822,40638
39_1,19389,18820,27252,27713,59363,61735
39_2,18731,19249,27672,27072,60051,58849
40,391,316,1762,614,5961,1302
41,2020,1826,4435,4538,12834,12949
42,587,576,3116,1361,20400,1383
43,1435,1351,2790,2755,9828,5101
44,357,343,753,730,1525,1392
45,287,289,1622,768,4713,1174
46,695,772,1258,1374,4140,3879
47,skip,skip,skip,skip,skip,skip
48,1736,1692,5222,3316,9263,6852
49,224,166,1465,445,9486,811
50,176,107,1352,211,2361,421
51,8596,7429,17594,16838,34986,31877
52,667,635,1633,1383,1027,1380
53,648,664,1717,1405,4082,3181
54,695,682,2033,1493,24330,11872
55,72,37,202,127,315,297
56,1022,1018,3195,2271,15892,18096
57,237296,243988,skip,skip,skip,skip
58,770,771,1676,1590,14903,13867
59,3799,3891,8330,7614,22206,16299
60,2561,2600,7228,6202,34564,42712
61,20,23,23,22,55,20
62,854,843,1463,1533,2314,2271
63,715,683,1387,1364,15181,3349
64,1706,1542,3259,3006,11103,6974
65,5611,6107,10877,11987,27509,25237
66,1025,918,1589,1399,4927,2382
67,10634,10247,23138,22662,54394,50883
68,12,14,17,10,379,10
69,926,892,2713,1561,13335,10471
70,3320,3280,6376,6526,17464,13572
71,902,915,1664,1676,10443,5795
72,1612,931,4927,1354,13245,8044
73,19,11,10,15,23,12
74,skip,skip,skip,skip,skip,skip
75,2933,3433,5140,5422,17403,14120
76,1417,1407,2737,2271,10622,9801
77,971,967,1663,1783,4849,8809
78,51539,48844,112472,113156,skip,skip
79,839,830,1897,1826,4070,4047
80,1139,1187,2567,2252,14093,8399
81,75207,72343,278394,282926,skip,skip
82,97,63,161,82,480,266
83,329,288,730,490,1312,1066
84,135,145,413,232,655,508
85,242,162,4984,549,4523,1161
86,952,815,1963,1671,3537,3074
87,4861,4860,10986,10320,32426,26491
88,5045,4863,7720,7296,15951,13947
89,969,992,2312,2166,4138,4257
90,307,307,724,724,2062,1194
91,54,46,205,119,721,208
92,217,179,334,301,562,540
93,172,149,1630,342,3889,577
94,403,379,2866,2945,8390,6184
95,36856,39844,167664,170687,592489,603772
96,583,567,986,1018,2565,1787
97,8171,7216,12109,11814,33094,35745
98,611,791,1151,1105,3027,2372
99,1328,1486,2178,2200,5270,4985
