Timing is on.
 brand_id |                       brand                        | i_manufact_id |                     i_manufact                     | ext_price 
----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------
  1001001 | amalgamalg #1                                      |           269 | n stcallyable                                      |  39201.34
  7014009 | edu packnameless #9                                |            26 | callyable                                          |  37456.57
  7008009 | namelessbrand #9                                   |           429 | n stableese                                        |  37274.91
  8008005 | namelessnameless #5                                |            65 | antically                                          |  33768.74
  4004002 | edu packedu pack #2                                |           149 | n steseought                                       |  33281.31
  1001002 | amalgamalg #2                                      |            49 | n stese                                            |  33034.95
  1001001 | amalgamalg #1                                      |           586 | callyeinganti                                      |  32631.44
  1004001 | edu packamalg #1                                   |           480 | bareingese                                         |  32267.27
  5004002 | edu packscholar #2                                 |           521 | oughtableanti                                      |  32183.33
  6015007 | scholarbrand #7                                    |           141 | oughteseought                                      |  32065.65
  8016008 | corpmaxi #8                                        |            86 | callyeing                                          |  31923.75
  3002001 | importoexporti #1                                  |           313 | prioughtpri                                        |  31717.38
  3003002 | exportiexporti #2                                  |           262 | ablecallyable                                      |  30482.19
  6007007 | brandcorp #7                                       |           147 | ationeseought                                      |  30386.56
  4002002 | importoedu pack #2                                 |           154 | eseantiought                                       |  30204.65
  6003008 | exporticorp #8                                     |            43 | priese                                             |  29828.64
  1001001 | amalgamalg #1                                      |           721 | oughtableation                                     |  28970.93
  2004002 | edu packimporto #2                                 |           162 | ablecallyought                                     |  28731.03
  6013007 | exportibrand #7                                    |           170 | barationought                                      |  28717.01
  8009003 | maxinameless #3                                    |            30 | barpri                                             |  28647.47
  9001003 | amalgmaxi #3                                       |            28 | eingable                                           |  28585.89
 10009012 | maxiunivamalg #12                                  |           385 | antieingpri                                        |  28416.64
  2004001 | edu packimporto #1                                 |           147 | ationeseought                                      |  28196.70
 10012017 | importoamalgamalg #17                              |           202 | ablebarable                                        |  27764.25
 10015006 | scholaramalgamalg #6                               |           189 | n steingought                                      |  27739.08
  5001001 | amalgscholar #1                                    |           580 | bareinganti                                        |  27057.00
  3004002 | edu packexporti #2                                 |           958 | eingantin st                                       |  26624.43
  5003001 | exportischolar #1                                  |           217 | ationoughtable                                     |  25390.30
  7003009 | exportibrand #9                                    |           958 | eingantin st                                       |  25317.12
  1001001 | amalgamalg #1                                      |           165 | anticallyought                                     |  25066.86
  6003005 | exporticorp #5                                     |            34 | esepri                                             |  24935.77
  4004001 | edu packedu pack #1                                |           764 | esecallyation                                      |  24795.28
  3004001 | edu packexporti #1                                 |           313 | prioughtpri                                        |  24740.76
  6007007 | brandcorp #7                                       |           416 | callyoughtese                                      |  24156.23
