Timing is on.
 brand_id |                       brand                        | i_manufact_id |                     i_manufact                     | ext_price 
----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------
  2003002 | exportiimporto #2                                  |           144 | eseeseought                                        |  83385.65
  3003001 | exportiexporti #1                                  |           406 | callybarese                                        |  69645.87
  3002002 | importoexporti #2                                  |           331 | oughtpripri                                        |  66407.80
  3002002 | importoexporti #2                                  |            34 | esepri                                             |  65104.65
  3002001 | importoexporti #1                                  |           313 | prioughtpri                                        |  64158.86
  7006007 | corpbrand #7                                       |           627 | ationablecally                                     |  56993.48
 10014015 | edu packamalgamalg #15                             |           520 | barableanti                                        |  55989.79
  1001001 | amalgamalg #1                                      |           355 | antiantipri                                        |  55047.61
  3004002 | edu packexporti #2                                 |           499 | n stn stese                                        |  54232.39
  9008008 | namelessmaxi #8                                    |           322 | ableablepri                                        |  53593.58
 10013017 | exportiamalgamalg #17                              |           571 | oughtationanti                                     |  53019.92
  9011005 | amalgunivamalg #5                                  |            87 | ationeing                                          |  50790.66
  8016003 | corpmaxi #3                                        |           830 | barprieing                                         |  50620.74
  9003009 | exportimaxi #9                                     |           441 | oughteseese                                        |  50554.38
  1001002 | amalgamalg #2                                      |            49 | n stese                                            |  48749.88
  5004002 | edu packscholar #2                                 |           687 | ationeingcally                                     |  48197.70
  6013005 | exportibrand #5                                    |           187 | ationeingought                                     |  48187.79
  6003005 | exporticorp #5                                     |            34 | esepri                                             |  47717.29
  7013005 | exportinameless #5                                 |           506 | callybaranti                                       |  47029.38
  1003002 | exportiamalg #2                                    |            72 | ableation                                          |  46894.50
  8010004 | univmaxi #4                                        |           343 | priesepri                                          |  46822.65
  4001001 | amalgedu pack #1                                   |           467 | ationcallyese                                      |  46605.11
  4004002 | edu packedu pack #2                                |           149 | n steseought                                       |  46468.85
  5003001 | exportischolar #1                                  |           217 | ationoughtable                                     |  45404.75
  8009003 | maxinameless #3                                    |            30 | barpri                                             |  45093.79
  6001002 | amalgcorp #2                                       |           118 | eingoughtought                                     |  45071.75
  6012006 | importobrand #6                                    |           478 | eingationese                                       |  44989.55
  2003002 | exportiimporto #2                                  |           123 | priableought                                       |  44827.70
  5004001 | edu packscholar #1                                 |           443 | prieseese                                          |  44700.85
  8009009 | maxinameless #9                                    |           585 | antieinganti                                       |  44588.07
