Timing is on.
 s_store_name |                                                                                               i_item_desc                                                                                               | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------
 able         | A                                                                                                                                                                                                       |   27.16 |            0.17 |             3.17 | importoimporto #2                                 
 able         | Able artists love all classical, roman runs. British childre                                                                                                                                            |   25.50 |            2.02 |             8.44 | corpamalgamalg #7                                 
 able         | Able responses might think in a sciences. Really other prices start far by a issues. Alone fatal females increase important authorities; jobs could know o                                              |   25.60 |            2.94 |             1.29 | amalgedu pack #2                                  
 able         | Above competitive wee                                                                                                                                                                                   |   20.80 |            3.91 |             3.51 | edu packnameless #2                               
 able         | Absolutely front men turn spatial hours. Good, free sales used to marry outside appropriate ships. Noble men sa                                                                                         |   17.75 |            1.49 |             1.53 | amalgedu pack #2                                  
 able         | Again live vehicles blame yesterday soft depths. Indeed successful nations would provid                                                                                                                 |    2.36 |            9.05 |             6.51 | importobrand #3                                   
 able         | All practical players would characterise just games. Successive, able bodies reflect best children. Hopes think now especially popular aspec                                                            |    3.52 |            6.12 |             0.89 | exportiexporti #2                                 
 able         | Alone secret children prove socially routine competitors.                                                                                                                                               |   11.52 |            3.35 |             1.94 | corpcorp #3                                       
 able         | A lot economic others construct later by a meetings; extraordinary, liable beings might not draw about a legs; early p                                                                                  |   16.02 |            0.88 |             0.55 | scholarnameless #4                                
 able         | Already advisory things seek more before awkward clothes. Customers offer social, quick needs. Differences mi                                                                                           |    5.88 |            9.61 |             3.74 | univbrand #4                                      
 able         | Also multiple lives might see just well nice wars. Exact, reasonable regulations used to move simply old                                                                                                |   27.34 |           55.98 |            47.02 | edu packamalgamalg #8                             
 able         | Alternative bills would not attend different, generous months. Even great profits contribute necessarily particular, classical windows. Magistrates know colours. Social, blue pr                       |   14.73 |            2.59 |             0.22 | scholarnameless #10                               
 able         | Amounts must not choose never to                                                                                                                                                                        |   14.86 |           91.94 |             6.57 | exportiedu pack #2                                
 able         | Angles can buy over logical houses. Regional, mixed others agree too jointly rapid elements. Men f                                                                                                      |   26.38 |            0.33 |             0.10 | amalgamalg #2                                     
 able         | Animal                                                                                                                                                                                                  |   20.61 |            4.62 |             1.39 | brandunivamalg #13                                
 able         | Anonymous, female men will shrink later from the teeth. Afraid, concerned pieces may not develop largely subsequent, western appeals; directions forget anyway to a questions.                          |   18.11 |           69.14 |            30.61 | importoexporti #1                                 
 able         | Appeals can lose more as appropriate organisers. Relative, back buildings like notably. Tiny authorities boost more also elegant questi                                                                 |   16.85 |            6.05 |             2.35 | edu packnameless #3                               
 able         | Available, open abilities would locate local, moral hearts. R                                                                                                                                           |   18.81 |            8.23 |             6.58 | exportiamalg #1                                   
 able         | Away high rules might not present better circumstances; black, magic details believe                                                                                                                    |    8.26 |            0.40 |             0.17 | importobrand #2                                   
 able         | Bad contributions may pull others; new rights shall imagine particular, nice members. Concerned communities might not bring serious, political details. Sure obligations o                              |   27.67 |            6.88 |             5.27 | importoscholar #1                                 
 able         | Bad, national debts hear lengthy days. Years cannot reflect very women. Messages earn. Tories shall                                                                                                     |   12.24 |            8.85 |             3.50 | exportiamalg #1                                   
 able         | Beautiful judges relax. Practices like others. Current, free languages represent to a routes. Available firms use; expected, british                                                                    |    4.81 |            3.90 |             0.16 | scholarunivamalg #16                              
 able         | Bizarre months furnish other, central words. Wide orders might end. Other,                                                                                                                              |   21.14 |            2.24 |             1.05 | importoscholar #2                                 
 able         | Black employees op                                                                                                                                                                                      |    3.15 |            5.74 |            39.73 | amalgunivamalg #10                                
 able         | Bodies get so important sales. Unfortunately event                                                                                                                                                      |   10.30 |            2.02 |             2.01 | corpmaxi #1                                       
 able         | Bold pieces could not review days; foreign systems must feel products. Amounts would open about systems. Moments join exciting, political telecommunications. Long-term places c                        |   26.37 |           33.12 |            26.82 | univunivamalg #12                                 
 able         | Boundaries make however foreign days. Eventually new centres would not see well. Personally giant dreams represent services. Much perfect steps vis                                                     |    0.16 |            2.68 |             0.65 | corpmaxi #8                                       
 able         | Bro                                                                                                                                                                                                     |   23.33 |            1.79 |             0.93 | exportinameless #8                                
 able         | Candidates will hold. Chief ages used to choose with the foundations; horrible, complex rates meet                                                                                                      |   11.41 |            8.66 |             0.72 | brandbrand #5                                     
 able         | Capital words ought to come rightly years. Main, nice feet co                                                                                                                                           |   16.07 |            5.22 |             0.86 | edu packmaxi #12                                  
 able         | Central scientists shall not keep also in the countries. Other, financial authorities could not experience deep, other banks. Cells may avoid on the animals;                                           |    5.65 |            1.67 |             1.91 | brandunivamalg #1                                 
 able         | Certain patients could say of course spiritual savings. Ministers would not leave hence for a nations. Good c                                                                                           |   10.97 |            7.16 |             4.58 | corpnameless #1                                   
 able         | Certain services might need individually. Technical windows prevent just between a talks. Families need pieces. Initially                                                                               |   20.03 |            5.86 |             3.75 | edu packedu pack #1                               
 able         | Changes m                                                                                                                                                                                               |   24.10 |            0.56 |             0.35 | amalgamalg #1                                     
 able         | Children could not influence most flat, careful figures. Local, true stars could commend. As scottish blocks want still old benefits. Skills should not try precisely. Y                                |    6.00 |            4.25 |             1.17 | brandcorp #4                                      
 able         | Children enjoy still into a spots. Circumstances used to obtain there to a years. Foreign schools cross real goods. Soviet, new payments will                                                           |   26.79 |           90.84 |            35.42 | importoexporti #2                                 
 able         | Circles might make for a systems. Hundreds read just employees. Valuable activities may not go too through a months. Readers used to kn                                                                 |    4.04 |            4.34 |            35.69 | amalgamalg #2                                     
 able         | Citizens provide. Traditional, private germans matter therefore new figures. Brief, great emotions ge                                                                                                   |   18.07 |            1.52 |             5.15 | amalgamalg #1                                     
 able         | Classes take genuine proposals. Today private points can use helplessly future scores. Left inches should understand less significant forms. Pleasant, personal trees                                   |   15.84 |            5.37 |             3.97 | scholarnameless #4                                
 able         | Clearly rare programs ought to try local, environment                                                                                                                                                   |    9.64 |            8.61 |             1.21 | importomaxi #10                                   
 able         | Clear, systematic parents appear please so young days; children may not cost howe                                                                                                                       |   26.50 |            6.73 |             5.51 | maxicorp #2                                       
 able         | Closed fears ask rules. Best accessible mammals should help cost                                                                                                                                        |   20.49 |           73.18 |            27.07 | importoimporto #1                                 
 able         | Comments discriminate massive, central questions. Times should survive at a students. American, political terms might satisfy sti                                                                       |   20.91 |            3.81 |             0.43 | namelessmaxi #7                                   
 able         | Common women pay as public, necessary cases; days would say flowers. Too commercial magistrates could not put all sure feet. Acute champions break firmly including a patients. Musical, simple         |    0.26 |            9.90 |             3.76 | amalgnameless #6                                  
 able         | Communists see again existing affairs. About national chips get ancient, toxic cards. Seriously certain resources mean even deep figures. Th                                                            |   17.81 |            4.97 |             3.82 | scholarmaxi #5                                    
 able         | Companies should describe in the hours; left, organisational grounds would take always about the                                                                                                        |   19.51 |            2.50 |             1.12 | brandmaxi #1                                      
 able         | Concerned agreements may imagine forward large demonstrations. Primary, excellent months would not think clearly by a hopes. Open firms wipe men. Impor                                                 |   21.60 |            0.72 |             3.01 | maxicorp #1                                       
 able         | Concerned, small activities must seem also times. Already international firms used to maintain into a standards.                                                                                        |   20.59 |            3.88 |             3.46 | corpbrand #7                                      
 able         | Confident fields should not reduce good, red functions. Currently involved players shall tell offices. Slight others would say so                                                                       |    6.15 |            7.29 |             4.88 | edu packunivamalg #6                              
 able         | Contracts could prove very only leading divisions. Main men would not mov                                                                                                                               |   27.36 |            8.15 |             2.44 | univmaxi #9                                       
 able         | Countries enter adequate, full fires. Imperial, available conditions will not continue interested, violent employees; clear, forward quantities ought to issue provisions. Following legs will          |    2.47 |            2.92 |             0.91 | edu packexporti #2                                
 able         | Cultural, dear personnel make areas. Financially representative arms conceal only pains. Expected, previous newspapers pray free, firm                                                                  |    6.40 |            3.36 |             2.70 | edu packscholar #2                                
 able         | Cultural plants bring in a numbers. Other, possi                                                                                                                                                        |    9.22 |            7.35 |             2.39 | exportiexporti #1                                 
 able         | Customs can see incidents; good cards should not miss again as the practices. Full fans tell soon busy cheeks. Cards come certain facts. Relevant, new walls cannot play largely in a structur          |   27.62 |            2.02 |             0.94 | amalgbrand #3                                     
 able         | Cuts raise simply in a things. Lips can apply. Basic branches keep low chief difficulties. Products quit about groups.                                                                                  |   11.59 |            8.11 |             7.29 | exportiimporto #2                                 
 able         | Dead, wide pp. correspond so as national areas. Presidential, mixed times will not happen possible, operational values. Once scientific houses might start both pri                                     |   13.15 |           16.26 |            13.33 | corpmaxi #10                                      
 able         | Decisions acknowledge low, western services. Industrial aspects enjoy. English hands dismiss in a products. Quite central fathers must set                                                              |   14.62 |            9.39 |             6.29 | exportiexporti #1                                 
 able         | Decisions cannot take loosely very royal areas; easy, competitive unions rush now practical goods; black officials oc                                                                                   |    0.39 |            8.82 |             1.48 | corpbrand #2                                      
 able         | Delightful, primary services will use professional, economic materials. Electric years shall not complain regions. Then maximum pockets complete in a faces. Improvements go from time to ti            |    6.78 |            3.47 |             1.18 | importomaxi #6                                    
 able         | Democrats ought to make children; sources live too then inner symptoms. Bonds get however. S                                                                                                            |   25.93 |            1.10 |             0.63 | importoexporti #2                                 
 able         | Demonstrations used to travel nevertheless games. Italian, possible hotels should override still fine, di                                                                                               |    3.53 |            9.97 |             1.41 | exportinameless #1                                
 able         | Dependent, organisational hands smell                                                                                                                                                                   |   18.83 |            1.31 |             0.77 | importoedu pack #2                                
 able         | Differences no just widely appropriate kids. Groups end books. Therefore local recommendations can like early buildings. Pupils will lend on a clothes. Small shapes may indicate relatively; ag        |   15.05 |            5.13 |             1.79 | corpunivamalg #6                                  
 able         | Difficulties can know urban, complex grants. Scottish hundreds sell for instance                                                                                                                        |    3.44 |            3.59 |             2.36 | importoedu pack #1                                
