Timing is on.
        substr        |            sm_type             | web_name | 30 days | 31-60 days | 61-90 days | 91-120 days | >120 days 
----------------------+--------------------------------+----------+---------+------------+------------+-------------+-----------
 Bad cards must make. | EXPRESS                        | site_0   |     268 |        245 |        256 |         292 |         0
 Bad cards must make. | EXPRESS                        | site_1   |     270 |        316 |        275 |         282 |         0
 Bad cards must make. | EXPRESS                        | site_2   |     307 |        298 |        286 |         288 |         0
 Bad cards must make. | EXPRESS                        | site_3   |     308 |        297 |        276 |         281 |         0
 Bad cards must make. | EXPRESS                        | site_4   |     270 |        319 |        289 |         328 |         0
 Bad cards must make. | LIBRARY                        | site_0   |     270 |        268 |        246 |         246 |         0
 Bad cards must make. | LIBRARY                        | site_1   |     221 |        235 |        196 |         212 |         0
 Bad cards must make. | LIBRARY                        | site_2   |     173 |        165 |        169 |         160 |         0
 Bad cards must make. | LIBRARY                        | site_3   |     222 |        210 |        173 |         205 |         0
 Bad cards must make. | LIBRARY                        | site_4   |     237 |        243 |        248 |         247 |         0
 Bad cards must make. | NEXT DAY                       | site_0   |     269 |        251 |        274 |         262 |         0
 Bad cards must make. | NEXT DAY                       | site_1   |     322 |        315 |        267 |         319 |         0
 Bad cards must make. | NEXT DAY                       | site_2   |     317 |        320 |        312 |         280 |         0
 Bad cards must make. | NEXT DAY                       | site_3   |     281 |        322 |        310 |         288 |         0
 Bad cards must make. | NEXT DAY                       | site_4   |     294 |        304 |        270 |         297 |         0
 Bad cards must make. | OVERNIGHT                      | site_0   |     217 |        215 |        221 |         226 |         0
 Bad cards must make. | OVERNIGHT                      | site_1   |     226 |        228 |        233 |         245 |         0
 Bad cards must make. | OVERNIGHT                      | site_2   |     244 |        230 |        226 |         223 |         0
 Bad cards must make. | OVERNIGHT                      | site_3   |     200 |        195 |        190 |         208 |         0
 Bad cards must make. | OVERNIGHT                      | site_4   |     176 |        177 |        177 |         191 |         0
 Bad cards must make. | REGULAR                        | site_0   |     244 |        244 |        223 |         232 |         0
 Bad cards must make. | REGULAR                        | site_1   |     177 |        175 |        204 |         211 |         0
 Bad cards must make. | REGULAR                        | site_2   |     192 |        228 |        188 |         215 |         0
 Bad cards must make. | REGULAR                        | site_3   |     230 |        230 |        207 |         232 |         0
 Bad cards must make. | REGULAR                        | site_4   |     244 |        233 |        264 |         236 |         0
 Bad cards must make. | TWO DAY                        | site_0   |     239 |        225 |        255 |         230 |         0
