Timing is on.
                                                                                              i_item_desc                                                                                              |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------+------------+----------+-------+-----------
 Additional, respectable businessmen ought to reconstruct very changes. Huge, unnecessary schemes begin ideal championships. Over irish                                                                | Important issues liv |       5356 |        0 |     2 |         2
 Additional responses will                                                                                                                                                                             | Important issues liv |       5371 |        0 |     2 |         2
 Also other pieces suspend however. Weeks must not join. Comments effect with the costs. Roman pieces realize less than still very faces; most available panels ought to change video-taped, diff      | Conventional childr  |       5373 |        0 |     2 |         2
 Areas used to feel crucial farmers. Comfortable services fall still now young deputies. Entire organisations shall not execute over now reasonable bodies. Good developments might end in the judges; | Important issues liv |       5339 |        0 |     2 |         2
 Arrangements satisfy very local properties. Able, ridiculous jobs enjoy then of course academic                                                                                                       | Conventional childr  |       5357 |        0 |     2 |         2
 Ashore significant clients exist to a principles. Consequences introduce well. Urban groups must deliver functional, brit                                                                             | Local, mass universi |       5367 |        0 |     2 |         2
 Aware                                                                                                                                                                                                 | Bad cards must make. |       5370 |        0 |     2 |         2
 Bare condition                                                                                                                                                                                        | Bad cards must make. |       5370 |        0 |     2 |         2
 Bars could not tell reduced, academic soldiers. Here judicial negotiations cou                                                                                                                        | Bad cards must make. |       5374 |        0 |     2 |         2
 Beautiful results go to a premises                                                                                                                                                                    | Bad cards must make. |       5357 |        0 |     2 |         2
 Big, payable areas might put more in a books. European men sit left, conservative types. Patient,                                                                                                     | Conventional childr  |       5364 |        0 |     2 |         2
 Both able laws could not provide different, personal times. Local, excellent months get as days; wide, radical patients fall symptoms. Clear, alte                                                    | Doors canno          |       5368 |        0 |     2 |         2
 Boys give girls. References leave also. Competent metres see late rather huge communications. Estates suggest right. Political men must no                                                            | Conventional childr  |       5373 |        0 |     2 |         2
 Cases pass cases. Less great struc                                                                                                                                                                    | Doors canno          |       5330 |        0 |     2 |         2
 Certain, modern fingers occur windows. Small forces could not find very likely, romantic patients.                                                                                                    | Important issues liv |       5371 |        0 |     2 |         2
 Certain, modern fingers occur windows. Small forces could not find very likely, romantic patients.                                                                                                    |                      |       5371 |        0 |     2 |         2
 Champions join; optimistic cases celebrate too english hours. Pleasant, cultural trees increase much able, old results; likely,                                                                       | Doors canno          |       5367 |        0 |     2 |         2
 Cheap legs prevent; here                                                                                                                                                                              | Important issues liv |       5330 |        0 |     2 |         2
 Clever designers shall make previously coming, hard sides. Long masters ensure remaining, normal shares. Probably proper hours would not support apart. Voluntary, high curtains might depend relatio | Important issues liv |       5364 |        0 |     2 |         2
 Co                                                                                                                                                                                                    | Doors canno          |       5360 |        0 |     2 |         2
 Cold questions keep. Eng                                                                                                                                                                              | Bad cards must make. |       5370 |        0 |     2 |         2
 Cold questions keep. Eng                                                                                                                                                                              | Local, mass universi |       5370 |        0 |     2 |         2
 Companies must not use especially other sentences. Just roman years benefit particular effects. Sometimes only factors imitate groups. Big processes would not require public, particular banks.      | Conventional childr  |       5369 |        0 |     2 |         2
 Competitive, green doctors might not know dangerous lives. German minutes might pick still cl                                                                                                         |                      |       5366 |        0 |     2 |         2
 Complex recommendations prefer more by a shares.                                                                                                                                                      |                      |       5363 |        0 |     2 |         2
 Controversial, popular times shall run. Silently impressive days allocate australian origins. Responsibilities come slightly base models. Bright, long rates assert later. Pregnant, soviet judges    |                      |       5373 |        0 |     2 |         2
 Dark rooms                                                                                                                                                                                            | Bad cards must make. |       5361 |        0 |     2 |         2
 Detailed books will ensure. Still minor alternatives ought to stem clearly most cautious years; enough appropriate courses could put. Sometimes heavy sciences reach. Busy                            | Important issues liv |       5354 |        0 |     2 |         2
 Different, good agents wind very animals. Others invite rather than                                                                                                                                   |                      |       5373 |        0 |     2 |         2
 Directions must not perform worlds; only professional miners used to stand causal letters. Needs can come surely. Similar, genuine cats move similar, raw members. Also obvious lives assist no long  | Bad cards must make. |       5372 |        0 |     2 |         2
 Directions must not perform worlds; only professional miners used to stand causal letters. Needs can come surely. Similar, genuine cats move similar, raw members. Also obvious lives assist no long  | Local, mass universi |       5372 |        0 |     2 |         2
 Distant, single reports would start heavy, white ideas. Long amounts love knowingly usefully main pictures. Demanding                                                                                 | Important issues liv |       5373 |        0 |     2 |         2
 Diverse numbers used to seem furthermore complete, new words. Citizens will park cells. As whole skills might look now at the times. Relations sort spirits. Parents give to a candidate              | Doors canno          |       5367 |        0 |     2 |         2
 Duties must look. Right due de                                                                                                                                                                        |                      |       5374 |        0 |     2 |         2
 Early settings make alarmingly organisations; other, strong others should kill only maybe soft provinces. Intense troops may come critically. Public, new points make normal statements; ot           | Doors canno          |       5371 |        0 |     2 |         2
 Effects used to rest even. Dead, ltd. magistrates result etc red preparation                                                                                                                          | Local, mass universi |       5365 |        0 |     2 |         2
 English proposals like early by a symptoms. Operations make then in accordance with the kinds. Part-time, nuclear views feel very never legal schools. Pupils cann                                    |                      |       5372 |        0 |     2 |         2
 Existing, similar wounds might attract other products. Full children achieve sexual, accurate others. Available parties promise out                                                                   | Conventional childr  |       5367 |        0 |     2 |         2
 Existing, similar wounds might attract other products. Full children achieve sexual, accurate others. Available parties promise out                                                                   | Local, mass universi |       5367 |        0 |     2 |         2
 Expected, exclusive qualifications interview. Long-term children encourage especially apparent things. Then key authorities ought to catch almost tears.                                              | Conventional childr  |       5359 |        0 |     2 |         2
 Extremely dynamic buildings roam already. Necessary, new associations work on the efforts. Participants w                                                                                             | Doors canno          |       5373 |        0 |     2 |         2
 Extremely responsible individuals sh                                                                                                                                                                  | Doors canno          |       5363 |        0 |     2 |         2
 Fairly full colours could not continue directly. Classical samples refer. Musicians                                                                                                                   | Important issues liv |       5340 |        0 |     2 |         2
 Familiar, german residents used to forget never crazy hands. Small costs should see as to the deaths. Famous, certain sur                                                                             | Local, mass universi |       5340 |        0 |     2 |         2
 Final telecommunications must                                                                                                                                                                         | Doors canno          |       5353 |        0 |     2 |         2
 Following affairs meet relevant pensioners. Social materials used to take however numbers. Campaigns must not wait devices. Even other sectors get dire                                               | Doors canno          |       5330 |        0 |     2 |         2
 For example silver voters escape here delightful, other injuries. Light countries would fear by now young, new men. Underlying ch                                                                     |                      |       5365 |        0 |     2 |         2
 Formal references affect again for a rights. So far minutes reveal still because of a priorities                                                                                                      | Conventional childr  |       5356 |        0 |     2 |         2
 Formal references affect again for a rights. So far minutes reveal still because of a priorities                                                                                                      | Important issues liv |       5356 |        0 |     2 |         2
 Frequently full estates ought to reach often global aspects. Exotic conditio                                                                                                                          | Local, mass universi |       5351 |        0 |     2 |         2
 Full, narrow outcomes shall not seem so perfect,                                                                                                                                                      | Conventional childr  |       5373 |        0 |     2 |         2
 Fully young sentences accept usually in a employers. Social tonnes must remember twice quiet prices. Already french shoulders improve meanwhile symptoms. Very politi                                 |                      |       5367 |        0 |     2 |         2
 General, different ways believe; as med                                                                                                                                                               | Local, mass universi |       5371 |        0 |     2 |         2
 Goals should find however on a samples. Accidents used to blind alone local days. Reasons depend at least against a accident                                                                          | Doors canno          |       5367 |        0 |     2 |         2
 Growing, hostile workers carry potentially. Documents find much crude persons. Even partial rivals keep by now pictures. There coming i                                                               | Doors canno          |       5370 |        0 |     2 |         2
 H                                                                                                                                                                                                     |                      |       5358 |        0 |     2 |         2
 Heavy,                                                                                                                                                                                                | Important issues liv |       5373 |        0 |     2 |         2
