Timing is on.
 channel | i_brand_id | i_class_id | i_category_id |     sum     | sum  
---------+------------+------------+---------------+-------------+------
 catalog |    1001001 |          1 |             1 |  2913607.79 |  569
 catalog |    1001001 |          1 |             2 |   326547.76 |   61
 catalog |    1001001 |          1 |             3 |   123027.49 |   33
 catalog |    1001001 |          1 |             4 |   364898.18 |   73
 catalog |    1001001 |          1 |             5 |   212426.71 |   40
 catalog |    1001001 |          1 |             6 |   271976.49 |   47
 catalog |    1001001 |          1 |             7 |   272746.25 |   53
 catalog |    1001001 |          1 |             8 |   279902.35 |   54
 catalog |    1001001 |          1 |             9 |   125361.28 |   25
 catalog |    1001001 |          1 |            10 |   353021.62 |   65
 catalog |    1001001 |          1 |               |  5243515.92 | 1020
 catalog |    1001001 |          2 |             1 |   185872.25 |   46
 catalog |    1001001 |          2 |             3 |    73859.59 |   12
 catalog |    1001001 |          2 |             4 |    32787.48 |    9
 catalog |    1001001 |          2 |             5 |   166947.44 |   31
 catalog |    1001001 |          2 |             6 |    64501.22 |   11
 catalog |    1001001 |          2 |               |   523967.98 |  109
 catalog |    1001001 |          3 |             1 |   489380.44 |   97
 catalog |    1001001 |          3 |             2 |    11404.57 |    7
 catalog |    1001001 |          3 |             3 |    15390.82 |    4
 catalog |    1001001 |          3 |             4 |   121587.13 |   19
 catalog |    1001001 |          3 |             5 |    36948.13 |   10
 catalog |    1001001 |          3 |             6 |   111455.41 |   21
 catalog |    1001001 |          3 |             7 |    79625.67 |   15
 catalog |    1001001 |          3 |             8 |    51296.59 |   10
 catalog |    1001001 |          3 |             9 |   166791.73 |   28
 catalog |    1001001 |          3 |               |  1083880.49 |  211
 catalog |    1001001 |          4 |             1 |   394314.56 |   88
 catalog |    1001001 |          4 |             2 |   145878.06 |   23
 catalog |    1001001 |          4 |             3 |   106002.79 |   24
 catalog |    1001001 |          4 |             6 |    28355.48 |    9
 catalog |    1001001 |          4 |             7 |    35675.47 |    6
 catalog |    1001001 |          4 |            10 |    13554.75 |    2
 catalog |    1001001 |          4 |               |   723781.11 |  152
 catalog |    1001001 |          5 |             1 |    74571.52 |   15
 catalog |    1001001 |          5 |             9 |    36744.33 |    8
 catalog |    1001001 |          5 |            10 |   152440.61 |   24
 catalog |    1001001 |          5 |               |   263756.46 |   47
 catalog |    1001001 |          6 |             7 |    83271.00 |   11
 catalog |    1001001 |          6 |             9 |    31915.86 |   10
 catalog |    1001001 |          6 |               |   115186.86 |   21
 catalog |    1001001 |          7 |             1 |    72368.18 |   19
 catalog |    1001001 |          7 |             7 |    68170.31 |    8
 catalog |    1001001 |          7 |             8 |    40278.47 |   10
 catalog |    1001001 |          7 |            10 |    83685.19 |   15
 catalog |    1001001 |          7 |               |   264502.15 |   52
 catalog |    1001001 |          8 |             1 |    51410.34 |    8
 catalog |    1001001 |          8 |             6 |    20836.02 |    4
 catalog |    1001001 |          8 |             7 |    54745.63 |   16
 catalog |    1001001 |          8 |            10 |    86592.85 |   17
 catalog |    1001001 |          8 |               |   213584.84 |   45
 catalog |    1001001 |          9 |             1 |    43408.49 |   14
 catalog |    1001001 |          9 |             8 |    20001.03 |    8
 catalog |    1001001 |          9 |             9 |    41046.28 |    7
 catalog |    1001001 |          9 |            10 |    70824.90 |    9
 catalog |    1001001 |          9 |               |   175280.70 |   38
 catalog |    1001001 |         10 |             1 |    68404.31 |   14
 catalog |    1001001 |         10 |             6 |    56458.59 |    9
 catalog |    1001001 |         10 |            10 |    81147.50 |   11
 catalog |    1001001 |         10 |               |   206010.40 |   34
 catalog |    1001001 |         11 |             1 |    49867.45 |   12
 catalog |    1001001 |         11 |             3 |    36315.89 |    5
 catalog |    1001001 |         11 |             9 |    45286.74 |    7
 catalog |    1001001 |         11 |            10 |    49496.12 |    7
 catalog |    1001001 |         11 |               |   180966.20 |   31
 catalog |    1001001 |         12 |             1 |    13129.90 |    5
 catalog |    1001001 |         12 |            10 |    16109.93 |    5
 catalog |    1001001 |         12 |               |    29239.83 |   10
 catalog |    1001001 |         13 |             1 |    82889.73 |   11
 catalog |    1001001 |         13 |             6 |    38413.78 |    8
 catalog |    1001001 |         13 |             7 |   152969.30 |   26
 catalog |    1001001 |         13 |               |   274272.81 |   45
 catalog |    1001001 |         14 |             1 |    42315.92 |   13
 catalog |    1001001 |         14 |             6 |    16873.08 |    4
 catalog |    1001001 |         14 |               |    59189.00 |   17
 catalog |    1001001 |         15 |             8 |    42530.08 |    9
 catalog |    1001001 |         15 |             9 |    25350.57 |    6
 catalog |    1001001 |         15 |            10 |    50774.52 |   11
 catalog |    1001001 |         15 |               |   118655.17 |   26
 catalog |    1001001 |         16 |             8 |    45753.44 |   10
 catalog |    1001001 |         16 |            10 |    16922.94 |    8
 catalog |    1001001 |         16 |               |    62676.38 |   18
 catalog |    1001001 |            |               |  9538466.30 | 1876
 catalog |    1001002 |          1 |             1 | 11687775.98 | 2310
 catalog |    1001002 |          1 |             2 |    23436.46 |    6
 catalog |    1001002 |          1 |             4 |    49262.45 |    9
 catalog |    1001002 |          1 |             5 |   147829.20 |   25
 catalog |    1001002 |          1 |             6 |    53419.39 |    9
 catalog |    1001002 |          1 |             7 |    30053.67 |    7
 catalog |    1001002 |          1 |             9 |   158087.80 |   31
 catalog |    1001002 |          1 |            10 |    47181.38 |   10
 catalog |    1001002 |          1 |               | 12197046.33 | 2407
 catalog |    1001002 |          2 |             1 |   262953.47 |   57
 catalog |    1001002 |          2 |             2 |   155751.82 |   32
 catalog |    1001002 |          2 |             3 |    34856.90 |    8
 catalog |    1001002 |          2 |             6 |    62599.42 |    8
 catalog |    1001002 |          2 |             8 |   115639.64 |   20
 catalog |    1001002 |          2 |             9 |    37259.05 |   11
 catalog |    1001002 |          2 |            10 |    36414.81 |    8
 catalog |    1001002 |          2 |               |   705475.11 |  144
(100 rows)

Time: 212676,158 ms (03:32,676)
Time: 22327,590 ms (00:22,328)
