Timing is on.
                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------
 barn stcallypriought                               | amalgexporti #1                                    | newborn                                            | Children                                           | 431.6390041493775934
 barn stcallypriought                               | amalgexporti #1                                    | newborn                                            |                                                    | 431.6390041493775934
 barn stcallypriought                               | amalgexporti #1                                    |                                                    |                                                    | 431.6390041493775934
 barn stcallypriought                               |                                                    |                                                    |                                                    | 431.6390041493775934
 antieseationableought                              | amalgimporto #2                                    | accessories                                        | Men                                                | 438.0775510204081633
 antieseationableought                              | amalgimporto #2                                    | accessories                                        |                                                    | 438.0775510204081633
 antieseationableought                              | amalgimporto #2                                    |                                                    |                                                    | 438.0775510204081633
 antieseationableought                              |                                                    |                                                    |                                                    | 438.0775510204081633
 oughtantiantieing                                  | edu packscholar #2                                 | classical                                          | Music                                              | 438.9395161290322581
 oughtantiantieing                                  | edu packscholar #2                                 | classical                                          |                                                    | 438.9395161290322581
 oughtantiantieing                                  | edu packscholar #2                                 |                                                    |                                                    | 438.9395161290322581
 oughtantiantieing                                  |                                                    |                                                    |                                                    | 438.9395161290322581
 barcallyantieing                                   | exportiimporto #1                                  | pants                                              | Men                                                | 439.6599190283400810
 barcallyantieing                                   | exportiimporto #1                                  | pants                                              |                                                    | 439.6599190283400810
 barcallyantieing                                   | exportiimporto #1                                  |                                                    |                                                    | 439.6599190283400810
 barcallyantieing                                   |                                                    |                                                    |                                                    | 439.6599190283400810
 eingprin stpri                                     | scholarunivamalg #12                               | karoke                                             | Electronics                                        | 439.9512195121951220
 eingprin stpri                                     | scholarunivamalg #12                               | karoke                                             |                                                    | 439.9512195121951220
 eingprin stpri                                     | scholarunivamalg #12                               |                                                    |                                                    | 439.9512195121951220
 eingprin stpri                                     |                                                    |                                                    |                                                    | 439.9512195121951220
 ablecallyn stable                                  | namelessmaxi #11                                   | romance                                            | Books                                              | 442.0039840637450199
 ablecallyn stable                                  | namelessmaxi #11                                   | romance                                            |                                                    | 442.0039840637450199
 ablecallyn stable                                  | namelessmaxi #11                                   |                                                    |                                                    | 442.0039840637450199
 ablecallyn stable                                  |                                                    |                                                    |                                                    | 442.0039840637450199
 barablecally                                       | exporticorp #5                                     | gold                                               | Jewelry                                            | 442.3089430894308943
 barablecally                                       | exporticorp #5                                     | gold                                               |                                                    | 442.3089430894308943
 barablecally                                       | exporticorp #5                                     |                                                    |                                                    | 442.3089430894308943
 barablecally                                       |                                                    |                                                    |                                                    | 442.3089430894308943
 ationoughteingn st                                 | exportiunivamalg #9                                | dvd/vcr players                                    | Electronics                                        | 442.7088607594936709
 ationoughteingn st                                 | exportiunivamalg #9                                | dvd/vcr players                                    |                                                    | 442.7088607594936709
 ationoughteingn st                                 | exportiunivamalg #9                                |                                                    |                                                    | 442.7088607594936709
 ationoughteingn st                                 |                                                    |                                                    |                                                    | 442.7088607594936709
 bareseought                                        | importoscholar #1                                  | country                                            | Music                                              | 442.7848605577689243
 bareseought                                        | importoscholar #1                                  | country                                            |                                                    | 442.7848605577689243
 bareseought                                        | importoscholar #1                                  |                                                    |                                                    | 442.7848605577689243
 bareseought                                        |                                                    |                                                    |                                                    | 442.7848605577689243
 ationcallyoughteseought                            | amalgimporto #2                                    | accessories                                        | Men                                                | 442.8524590163934426
 ationcallyoughteseought                            | amalgimporto #2                                    | accessories                                        |                                                    | 442.8524590163934426
 ationcallyoughteseought                            | amalgimporto #2                                    |                                                    |                                                    | 442.8524590163934426
 ationcallyoughteseought                            |                                                    |                                                    |                                                    | 442.8524590163934426
 barationeingese                                    | exportiexporti #1                                  | toddlers                                           | Children                                           | 443.0240963855421687
 barationeingese                                    | exportiexporti #1                                  | toddlers                                           |                                                    | 443.0240963855421687
 barationeingese                                    | exportiexporti #1                                  |                                                    |                                                    | 443.0240963855421687
 barationeingese                                    |                                                    |                                                    |                                                    | 443.0240963855421687
 antiantieseationought                              | edu packamalg #2                                   | swimwear                                           | Women                                              | 443.1639344262295082
 antiantieseationought                              | edu packamalg #2                                   | swimwear                                           |                                                    | 443.1639344262295082
 antiantieseationought                              | edu packamalg #2                                   |                                                    |                                                    | 443.1639344262295082
 antiantieseationought                              |                                                    |                                                    |                                                    | 443.1639344262295082
 ableeingoughteing                                  | amalgunivamalg #11                                 | cooking                                            | Books                                              | 443.2579365079365079
 ableeingoughteing                                  | amalgunivamalg #11                                 | cooking                                            |                                                    | 443.2579365079365079
 ableeingoughteing                                  | amalgunivamalg #11                                 |                                                    |                                                    | 443.2579365079365079
 ableeingoughteing                                  |                                                    |                                                    |                                                    | 443.2579365079365079
 callyoughtpricallyought                            | exportibrand #5                                    | loose stones                                       | Jewelry                                            | 443.5772357723577236
 callyoughtpricallyought                            | exportibrand #5                                    | loose stones                                       |                                                    | 443.5772357723577236
 callyoughtpricallyought                            | exportibrand #5                                    |                                                    |                                                    | 443.5772357723577236
 callyoughtpricallyought                            |                                                    |                                                    |                                                    | 443.5772357723577236
 eseantiprianti                                     | edu packnameless #5                                | camping                                            | Sports                                             | 444.3673469387755102
 eseantiprianti                                     | edu packnameless #5                                | camping                                            |                                                    | 444.3673469387755102
 eseantiprianti                                     | edu packnameless #5                                |                                                    |                                                    | 444.3673469387755102
 eseantiprianti                                     |                                                    |                                                    |                                                    | 444.3673469387755102
 oughtoughtanti                                     | importoscholar #2                                  | country                                            | Music                                              | 445.5021276595744681
 oughtoughtanti                                     | importoscholar #2                                  | country                                            |                                                    | 445.5021276595744681
 oughtoughtanti                                     | importoscholar #2                                  |                                                    |                                                    | 445.5021276595744681
 oughtoughtanti                                     |                                                    |                                                    |                                                    | 445.5021276595744681
 callyn stableeing                                  | exportischolar #1                                  | pop                                                | Music                                              | 445.7768924302788845
 callyn stableeing                                  | exportischolar #1                                  | pop                                                |                                                    | 445.7768924302788845
 callyn stableeing                                  | exportischolar #1                                  |                                                    |                                                    | 445.7768924302788845
 callyn stableeing                                  |                                                    |                                                    |                                                    | 445.7768924302788845
 barationpriableought                               | amalgamalg #1                                      | dresses                                            | Women                                              | 446.0079681274900398
 barationpriableought                               | amalgamalg #1                                      | dresses                                            |                                                    | 446.0079681274900398
 barationpriableought                               | amalgamalg #1                                      |                                                    |                                                    | 446.0079681274900398
 barationpriableought                               |                                                    |                                                    |                                                    | 446.0079681274900398
 ablebaresecallyought                               | amalgmaxi #3                                       | archery                                            | Sports                                             | 446.0285714285714286
 ablebaresecallyought                               | amalgmaxi #3                                       | archery                                            |                                                    | 446.0285714285714286
 ablebaresecallyought                               | amalgmaxi #3                                       |                                                    |                                                    | 446.0285714285714286
 ablebaresecallyought                               |                                                    |                                                    |                                                    | 446.0285714285714286
 pricallyoughtn st                                  | importoexporti #2                                  | infants                                            | Children                                           | 446.4876033057851240
 pricallyoughtn st                                  | importoexporti #2                                  | infants                                            |                                                    | 446.4876033057851240
 pricallyoughtn st                                  | importoexporti #2                                  |                                                    |                                                    | 446.4876033057851240
 pricallyoughtn st                                  |                                                    |                                                    |                                                    | 446.4876033057851240
 barcallybaration                                   | importoamalg #1                                    | fragrances                                         | Women                                              | 446.8525896414342629
 barcallybaration                                   | importoamalg #1                                    | fragrances                                         |                                                    | 446.8525896414342629
 barcallybaration                                   | importoamalg #1                                    |                                                    |                                                    | 446.8525896414342629
 barcallybaration                                   |                                                    |                                                    |                                                    | 446.8525896414342629
 callyeingeingn st                                  | amalgbrand #7                                      | bathroom                                           | Home                                               | 447.3211382113821138
 callyeingeingn st                                  | amalgbrand #7                                      | bathroom                                           |                                                    | 447.3211382113821138
 callyeingeingn st                                  | amalgbrand #7                                      |                                                    |                                                    | 447.3211382113821138
 callyeingeingn st                                  |                                                    |                                                    |                                                    | 447.3211382113821138
 barationeseanti                                    | edu packamalg #1                                   | swimwear                                           | Women                                              | 448.1526104417670683
 barationeseanti                                    | edu packamalg #1                                   | swimwear                                           |                                                    | 448.1526104417670683
 barationeseanti                                    | edu packamalg #1                                   |                                                    |                                                    | 448.1526104417670683
 barationeseanti                                    |                                                    |                                                    |                                                    | 448.1526104417670683
 eingeingbarpri                                     | exportiexporti #1                                  | toddlers                                           | Children                                           | 448.3611111111111111
 eingeingbarpri                                     | exportiexporti #1                                  | toddlers                                           |                                                    | 448.3611111111111111
 eingeingbarpri                                     | exportiexporti #1                                  |                                                    |                                                    | 448.3611111111111111
 eingeingbarpri                                     |                                                    |                                                    |                                                    | 448.3611111111111111
 ableoughtn stanti                                  | amalgamalgamalg #14                                | disk drives                                        | Electronics                                        | 448.5317460317460317
