Timing is on.
 brand_id |                       brand                        | t_hour | t_minute | ext_price 
----------+----------------------------------------------------+--------+----------+-----------
  1004002 | edu packamalg #2                                   |     17 |       24 |          
  2001001 | amalgimporto #1                                    |      8 |       37 |          
  2001001 | amalgimporto #1                                    |      9 |        5 |          
  2001002 | amalgimporto #2                                    |      9 |       20 |          
  2001002 | amalgimporto #2                                    |     17 |       55 |          
  2003002 | exportiimporto #2                                  |     18 |       34 |          
  3002001 | importoexporti #1                                  |     18 |       12 |          
  3002002 | importoexporti #2                                  |     19 |       22 |          
  3004002 | edu packexporti #2                                 |     17 |       19 |          
  4001002 | amalgedu pack #2                                   |     17 |       57 |          
  4002001 | importoedu pack #1                                 |     19 |       57 |          
  4002001 | importoedu pack #1                                 |     17 |       43 |          
  4004001 | edu packedu pack #1                                |     19 |       45 |          
  4004002 | edu packedu pack #2                                |      9 |       15 |          
  5001002 | amalgscholar #2                                    |     17 |       50 |          
  5004001 | edu packscholar #1                                 |     19 |       14 |          
  6001002 | amalgcorp #2                                       |     19 |       57 |          
  6005003 | scholarcorp #3                                     |     19 |       56 |          
  6008007 | namelesscorp #7                                    |     17 |       54 |          
  6012005 | importobrand #5                                    |     18 |       24 |          
  7009005 | maxibrand #5                                       |      9 |       28 |          
  7009005 | maxibrand #5                                       |     17 |       52 |          
  7011001 | amalgnameless #1                                   |     17 |        1 |          
  7011001 | amalgnameless #1                                   |      9 |       11 |          
  8003010 | exportinameless #10                                |     17 |       41 |          
  9008002 | namelessmaxi #2                                    |     18 |        5 |          
  9014005 | edu packunivamalg #5                               |     17 |       10 |          
  9014011 | edu packunivamalg #11                              |     18 |        4 |          
  9015011 | scholarunivamalg #11                               |      9 |       33 |          
 10011009 | amalgamalgamalg #9                                 |     18 |       38 |          
 10011014 | amalgamalgamalg #14                                |     19 |       56 |          
 10011014 | amalgamalgamalg #14                                |     17 |       10 |          
 10016003 | corpamalgamalg #3                                  |     19 |       23 |          
  7009003 | maxibrand #3                                       |      9 |       21 |  22280.88
 10009015 | maxiunivamalg #15                                  |      9 |       44 |  21865.00
  9009002 | maximaxi #2                                        |     18 |       47 |  21065.00
  3003001 | exportiexporti #1                                  |     18 |       16 |  20858.71
  8004009 | edu packnameless #9                                |     18 |        2 |  20487.86
  7009010 | maxibrand #10                                      |      9 |       54 |  19949.93
  6014007 | edu packbrand #7                                   |     17 |       12 |  19879.20
  8008003 | namelessnameless #3                                |      7 |       42 |  19028.36
 10016008 | corpamalgamalg #8                                  |      8 |       22 |  18903.60
  5003002 | exportischolar #2                                  |      6 |        1 |  18446.00
  3002001 | importoexporti #1                                  |     19 |       21 |  18180.12
 10010001 | univamalgamalg #1                                  |      6 |       25 |  18126.63
  5001001 | amalgscholar #1                                    |      8 |       34 |  17942.65
  5001002 | amalgscholar #2                                    |     19 |       26 |  17814.16
  3001001 | amalgexporti #1                                    |      7 |       38 |  17754.60
  3003002 | exportiexporti #2                                  |     17 |       13 |  17506.39
  7015009 | scholarnameless #9                                 |     19 |       43 |  17405.52
  5004002 | edu packscholar #2                                 |      9 |       26 |  17282.70
  7003001 | exportibrand #1                                    |     19 |       19 |  17233.54
  8004003 | edu packnameless #3                                |     19 |       20 |  16871.40
  5004002 | edu packscholar #2                                 |      6 |       10 |  16816.80
  7015003 | scholarnameless #3                                 |      6 |        3 |  16743.00
  9013009 | exportiunivamalg #9                                |      7 |        9 |  16339.95
  3002001 | importoexporti #1                                  |     18 |       16 |  16253.29
 10011009 | amalgamalgamalg #9                                 |     17 |       50 |  15729.30
  1002001 | importoamalg #1                                    |     18 |        1 |  15231.54
  7001009 | amalgbrand #9                                      |      6 |       34 |  15111.63
  8014005 | edu packmaxi #5                                    |     18 |       45 |  15021.37
  1003001 | exportiamalg #1                                    |      9 |       34 |  14706.72
  3003001 | exportiexporti #1                                  |     18 |        8 |  14688.85
  9013009 | exportiunivamalg #9                                |      6 |       49 |  14673.54
  6014004 | edu packbrand #4                                   |     19 |       59 |  14447.16
  8004009 | edu packnameless #9                                |     17 |       58 |  14197.44
  8008009 | namelessnameless #9                                |      8 |       35 |  14058.00
  4004001 | edu packedu pack #1                                |     17 |        9 |  14004.00
  1004001 | edu packamalg #1                                   |     18 |       37 |  13989.32
  1001001 | amalgamalg #1                                      |      8 |       19 |  13905.47
 10016001 | corpamalgamalg #1                                  |      9 |       21 |  13868.96
  9006008 | corpmaxi #8                                        |     18 |       58 |  13673.66
  7002003 | importobrand #3                                    |     19 |       53 |  13639.08
 10009009 | maxiunivamalg #9                                   |     18 |       15 |  13574.28
 10001017 | amalgunivamalg #17                                 |     19 |       52 |  13352.70
  1003001 | exportiamalg #1                                    |      7 |       30 |  13343.68
  6009002 | maxicorp #2                                        |      6 |       47 |  13315.38
  7015002 | scholarnameless #2                                 |      6 |       14 |  13274.88
  8005003 | scholarnameless #3                                 |      7 |       12 |  13196.60
  1003001 | exportiamalg #1                                    |     17 |       21 |  13179.14
  1002001 | importoamalg #1                                    |      9 |       19 |  13169.51
  3002001 | importoexporti #1                                  |      8 |       16 |  13156.44
  1004001 | edu packamalg #1                                   |     19 |       46 |  13125.36
  2002001 | importoimporto #1                                  |      8 |       28 |  13087.20
  1002001 | importoamalg #1                                    |      9 |       55 |  13016.24
  6011001 | amalgbrand #1                                      |     17 |       45 |  12976.48
  1003001 | exportiamalg #1                                    |     17 |        2 |  12929.50
  8016004 | corpmaxi #4                                        |      9 |       43 |  12927.56
  9013009 | exportiunivamalg #9                                |     17 |       59 |  12925.41
  8004003 | edu packnameless #3                                |     19 |       10 |  12726.36
  5003001 | exportischolar #1                                  |      8 |        8 |  12382.62
  9003003 | exportimaxi #3                                     |     18 |       47 |  12254.45
  3003001 | exportiexporti #1                                  |     17 |       39 |  12226.76
  4002001 | importoedu pack #1                                 |      9 |       13 |  12216.56
  2002001 | importoimporto #1                                  |      6 |       19 |  12181.76
  6001001 | amalgcorp #1                                       |     18 |       14 |  12029.85
  3002001 | importoexporti #1                                  |      7 |        2 |  11955.25
  7007005 | brandbrand #5                                      |     17 |        2 |  11942.28
  6005001 | scholarcorp #1                                     |     18 |       30 |  11920.14
  9012003 | importounivamalg #3                                |     18 |        6 |  11909.17
 10015012 | scholaramalgamalg #12                              |      7 |       25 |  11886.92
 10012017 | importoamalgamalg #17                              |     18 |       59 |  11869.93
  5003001 | exportischolar #1                                  |      9 |        3 |  11860.00
  3002001 | importoexporti #1                                  |      6 |       18 |  11712.87
  3003002 | exportiexporti #2                                  |     18 |       11 |  11669.00
  6009004 | maxicorp #4                                        |     17 |        0 |  11648.61
  1004002 | edu packamalg #2                                   |      8 |       12 |  11645.34
  1004001 | edu packamalg #1                                   |      7 |       30 |  11625.93
  6009004 | maxicorp #4                                        |      8 |       48 |  11557.96
  6011003 | amalgbrand #3                                      |     19 |       12 |  11441.43
  4004002 | edu packedu pack #2                                |      9 |       48 |  11247.39
  2001001 | amalgimporto #1                                    |     19 |       58 |  11184.12
  1002002 | importoamalg #2                                    |     17 |       38 |  11114.82
  1002001 | importoamalg #1                                    |     17 |        5 |  11000.99
 10009015 | maxiunivamalg #15                                  |      7 |       15 |  11000.34
 10016001 | corpamalgamalg #1                                  |      8 |       29 |  10995.96
  8008003 | namelessnameless #3                                |      9 |       21 |  10949.12
  1003001 | exportiamalg #1                                    |     17 |        5 |  10934.24
  3002001 | importoexporti #1                                  |     19 |       15 |  10897.08
  2002001 | importoimporto #1                                  |     17 |       41 |  10869.39
  1001002 | amalgamalg #2                                      |      9 |       21 |  10860.00
  3003001 | exportiexporti #1                                  |     18 |        5 |  10784.28
  7001005 | amalgbrand #5                                      |     18 |       28 |  10756.09
  4004002 | edu packedu pack #2                                |      9 |        3 |  10717.28
  5002001 | importoscholar #1                                  |     17 |       31 |  10708.48
  8003009 | exportinameless #9                                 |     19 |       47 |  10646.25
  3003002 | exportiexporti #2                                  |     18 |        8 |  10622.15
  7008009 | namelessbrand #9                                   |     18 |       57 |  10554.00
  9011009 | amalgunivamalg #9                                  |     19 |        2 |  10553.40
  9014008 | edu packunivamalg #8                               |      8 |       26 |  10541.88
  3003002 | exportiexporti #2                                  |     17 |       55 |  10504.80
  4003001 | exportiedu pack #1                                 |     17 |       37 |  10500.60
  4004001 | edu packedu pack #1                                |      7 |       43 |  10427.29
  8005003 | scholarnameless #3                                 |      8 |        7 |  10421.73
  2002001 | importoimporto #1                                  |      9 |       44 |  10418.32
  8005003 | scholarnameless #3                                 |     19 |       17 |  10404.90
  3003002 | exportiexporti #2                                  |     18 |       40 |  10398.72
  3003001 | exportiexporti #1                                  |     19 |       55 |  10382.97
  4003001 | exportiedu pack #1                                 |     19 |        1 |  10367.26
  1004002 | edu packamalg #2                                   |     17 |       43 |  10331.20
 10012005 | importoamalgamalg #5                               |     17 |       58 |  10312.54
 10010001 | univamalgamalg #1                                  |      9 |       34 |  10311.60
  4002001 | importoedu pack #1                                 |     19 |        2 |  10289.10
  5002002 | importoscholar #2                                  |      7 |       23 |  10263.12
  2001002 | amalgimporto #2                                    |     18 |       56 |  10259.84
  3003002 | exportiexporti #2                                  |     17 |       27 |  10248.55
  2003002 | exportiimporto #2                                  |     17 |        2 |  10241.55
  3003001 | exportiexporti #1                                  |     17 |       54 |  10225.66
  9014002 | edu packunivamalg #2                               |     17 |       58 |  10195.67
  1003001 | exportiamalg #1                                    |     19 |        4 |  10172.20
  7012010 | importonameless #10                                |     18 |       52 |  10122.90
  1002001 | importoamalg #1                                    |     17 |       28 |  10122.21
  3003001 | exportiexporti #1                                  |     18 |        7 |  10083.50
  2001001 | amalgimporto #1                                    |      9 |       47 |  10083.48
  9009002 | maximaxi #2                                        |     19 |       42 |  10061.24
  1004002 | edu packamalg #2                                   |     18 |       13 |  10049.50
  1001002 | amalgamalg #2                                      |     17 |        1 |  10043.82
  6003008 | exporticorp #8                                     |     17 |        3 |  10014.84
  8007010 | brandnameless #10                                  |      7 |       47 |   9931.68
  7009003 | maxibrand #3                                       |      9 |       11 |   9919.48
  9013002 | exportiunivamalg #2                                |     18 |       32 |   9916.20
  3001001 | amalgexporti #1                                    |     17 |        1 |   9908.29
  9012003 | importounivamalg #3                                |     19 |       44 |   9894.96
  6005001 | scholarcorp #1                                     |     17 |       23 |   9892.64
  5003001 | exportischolar #1                                  |      9 |       23 |   9875.64
  8003003 | exportinameless #3                                 |      6 |       45 |   9873.63
  3002001 | importoexporti #1                                  |     19 |       54 |   9871.77
  6012008 | importobrand #8                                    |      8 |       52 |   9864.68
  8003009 | exportinameless #9                                 |     17 |        6 |   9850.44
  9002011 | importomaxi #11                                    |     19 |       41 |   9830.98
  2002001 | importoimporto #1                                  |     18 |       19 |   9819.09
  1004001 | edu packamalg #1                                   |      8 |       13 |   9809.03
  2004002 | edu packimporto #2                                 |      9 |        3 |   9786.48
 10007012 | brandunivamalg #12                                 |     17 |       40 |   9752.64
  1001001 | amalgamalg #1                                      |      9 |        8 |   9697.98
  2003002 | exportiimporto #2                                  |     18 |       39 |   9667.20
 10010006 | univamalgamalg #6                                  |     17 |       34 |   9628.02
  1003002 | exportiamalg #2                                    |      8 |       20 |   9597.48
  2004001 | edu packimporto #1                                 |     17 |       20 |   9547.55
  3003002 | exportiexporti #2                                  |     17 |       53 |   9531.88
 10009009 | maxiunivamalg #9                                   |     19 |       27 |   9515.12
 10015012 | scholaramalgamalg #12                              |     17 |       30 |   9494.73
  3001001 | amalgexporti #1                                    |     18 |       34 |   9470.16
  9007011 | brandmaxi #11                                      |     17 |       57 |   9452.30
  6002003 | importocorp #3                                     |     18 |       11 |   9412.98
  4002002 | importoedu pack #2                                 |     18 |       49 |   9383.40
  7012010 | importonameless #10                                |     18 |       10 |   9364.68
 10009015 | maxiunivamalg #15                                  |      9 |       48 |   9361.38
  8007005 | brandnameless #5                                   |     19 |       52 |   9359.22
  6009002 | maxicorp #2                                        |      7 |       31 |   9356.31
  6012001 | importobrand #1                                    |      9 |       25 |   9313.94
  6005003 | scholarcorp #3                                     |      7 |       36 |   9289.28
  2002001 | importoimporto #1                                  |     17 |       35 |   9282.72
  8013009 | exportimaxi #9                                     |      9 |       48 |   9268.00
  9014002 | edu packunivamalg #2                               |     17 |       31 |   9224.65
  2001001 | amalgimporto #1                                    |      6 |       47 |   9216.94
  9014011 | edu packunivamalg #11                              |      9 |       16 |   9214.92
