Timing is on.
     channel     |              id              |  sales   | returns  |  profit   
-----------------+------------------------------+----------+----------+-----------
 catalog channel | catalog_pageAAAAAAAAAABAAAAA |  3123.63 |        0 |  -4946.20
 catalog channel | catalog_pageAAAAAAAAAADAAAAA | 13867.21 |        0 |   2952.35
 catalog channel | catalog_pageAAAAAAAAABBAAAAA |   350.64 |        0 |  -1689.48
 catalog channel | catalog_pageAAAAAAAAABDAAAAA |   271.89 |        0 |    102.33
 catalog channel | catalog_pageAAAAAAAAACBAAAAA | 12313.42 |        0 |  -6170.78
 catalog channel | catalog_pageAAAAAAAAACDAAAAA |  5810.27 |        0 |  -3806.14
 catalog channel | catalog_pageAAAAAAAAADBAAAAA | 18755.71 |        0 |  -5804.81
 catalog channel | catalog_pageAAAAAAAAADDAAAAA |   516.56 |        0 |   -288.31
 catalog channel | catalog_pageAAAAAAAAAEBAAAAA |  4707.35 |        0 |  -9489.67
 catalog channel | catalog_pageAAAAAAAAAFDAAAAA |   485.94 |   197.58 |  -5409.75
 catalog channel | catalog_pageAAAAAAAAAGDAAAAA |  1608.39 |        0 |    361.83
 catalog channel | catalog_pageAAAAAAAAAHAAAAAA | 32600.60 |        0 |   5044.56
 catalog channel | catalog_pageAAAAAAAAAHDAAAAA |  9913.69 |        0 |   5402.92
 catalog channel | catalog_pageAAAAAAAAAIAAAAAA |  8220.58 |  2180.11 |  -6325.10
 catalog channel | catalog_pageAAAAAAAAAIDAAAAA |  4865.63 |  3772.23 |  -6983.65
 catalog channel | catalog_pageAAAAAAAAAJAAAAAA | 42309.23 |  1943.41 |  -7626.08
 catalog channel | catalog_pageAAAAAAAAAJDAAAAA | 12688.24 |        0 |  -8143.10
 catalog channel | catalog_pageAAAAAAAAAKAAAAAA | 19365.27 |   964.70 |   1545.50
 catalog channel | catalog_pageAAAAAAAAAKDAAAAA |  2371.02 |  1130.37 |   -456.80
 catalog channel | catalog_pageAAAAAAAAALAAAAAA |  1459.02 |        0 |  -1732.48
 catalog channel | catalog_pageAAAAAAAAALDAAAAA |   932.72 |        0 |  -2119.28
 catalog channel | catalog_pageAAAAAAAAAMAAAAAA | 16388.53 |        0 |  -6326.69
 catalog channel | catalog_pageAAAAAAAAAMDAAAAA | 15967.55 |   742.90 |   -373.95
 catalog channel | catalog_pageAAAAAAAAANAAAAAA | 21955.46 |   399.74 |   2308.91
 catalog channel | catalog_pageAAAAAAAAAOAAAAAA |  4921.15 |   224.28 |  -9540.23
 catalog channel | catalog_pageAAAAAAAAAPAAAAAA |  8377.12 |        0 |  -4180.12
 catalog channel | catalog_pageAAAAAAAABABAAAAA |  8238.40 |        0 |   2817.94
 catalog channel | catalog_pageAAAAAAAABADAAAAA |   567.80 |        0 |  -3233.67
 catalog channel | catalog_pageAAAAAAAABBBAAAAA |  2632.93 |        0 |   -772.56
 catalog channel | catalog_pageAAAAAAAABCBAAAAA |  8217.45 |        0 |   -379.78
 catalog channel | catalog_pageAAAAAAAABCDAAAAA |  7094.04 |    97.46 |  -1887.04
