Timing is on.
     channel     | id |     sales     |   returns   |    profit     
-----------------+----+---------------+-------------+---------------
 catalog channel |  1 |  204031213.86 |  3365812.86 |  -22297599.87
 catalog channel |  2 |  197429593.56 |  3365812.86 |  -22052170.77
 catalog channel |  4 |  195151724.40 |  3365812.86 |  -20336369.01
 catalog channel |  7 |  190251834.30 |  3365812.86 |  -21440777.01
 catalog channel |  8 |  194301035.16 |  3365812.86 |  -18513822.87
 catalog channel |    |    1069161.18 |  3365812.86 |   -2076528.45
 catalog channel |    |  982234562.46 | 20194877.16 | -106717267.98
 store channel   |  1 |   19308420.65 |   470843.82 |   -8482675.06
 store channel   |  2 |   20554943.60 |   473516.33 |   -8988075.05
 store channel   |  4 |   17592622.54 |   445707.49 |   -7879237.67
 store channel   |  7 |   17670776.91 |   462950.30 |   -8169844.65
 store channel   |  8 |   17771580.87 |   456381.51 |   -8196234.14
 store channel   | 10 |   19821025.24 |   478828.53 |   -8916208.87
 store channel   | 13 |   18449875.81 |   429540.15 |   -7997329.50
 store channel   | 14 |   18798316.74 |   436566.98 |   -8508107.05
 store channel   | 16 |   20352647.92 |   496130.28 |   -9260550.12
 store channel   | 19 |   19728827.38 |   439359.93 |   -8898365.99
 store channel   | 20 |   19494558.74 |   501525.62 |   -8728342.76
 store channel   | 22 |   19130712.89 |   435912.50 |   -8111645.62
 store channel   |    |  228674309.29 |  5527263.44 | -102136616.48
 web channel     |  1 |    2259054.45 |    18194.86 |    -133870.77
 web channel     |  2 |    1998975.76 |    47641.25 |    -217359.96
 web channel     |  4 |    2236244.13 |    34006.32 |    -184267.64
 web channel     |  7 |    2017259.47 |    32209.59 |    -341406.84
 web channel     |  8 |    2082239.44 |    26132.88 |    -246442.19
 web channel     | 10 |    2229148.38 |    42867.07 |    -280948.59
 web channel     | 13 |    2195029.78 |    39566.95 |    -223523.25
 web channel     | 14 |    1989716.19 |    42251.30 |    -247304.43
 web channel     | 16 |    2335881.64 |    31258.90 |     -88769.72
 web channel     | 19 |    2120797.34 |    15614.20 |    -242474.65
 web channel     | 20 |    2126961.60 |    22115.07 |    -131559.67
 web channel     | 22 |    2071896.32 |    17598.14 |    -318659.10
 web channel     | 25 |    2168263.92 |    32198.53 |    -271209.46
 web channel     | 26 |    2445367.87 |    29386.03 |    -119089.98
 web channel     | 28 |    1840176.08 |    21643.44 |    -219178.47
 web channel     | 31 |    2070022.93 |    38367.76 |    -266054.36
 web channel     | 32 |    2029025.95 |    22580.12 |    -209169.47
 web channel     | 34 |    2057495.41 |    37644.54 |    -262870.63
 web channel     | 37 |    2175420.67 |    35234.28 |    -170900.34
 web channel     | 38 |    1873361.08 |    34741.26 |    -308721.58
 web channel     | 40 |    1990715.63 |    40668.19 |    -207460.14
 web channel     | 43 |    1812437.13 |    18045.43 |    -280222.12
 web channel     | 44 |    2198589.49 |    15919.40 |    -272179.81
 web channel     | 46 |    2274452.90 |    26205.18 |    -215109.97
 web channel     | 49 |    1895112.03 |    35302.19 |    -308223.11
 web channel     | 50 |    2087293.71 |    30843.26 |    -192484.58
 web channel     | 52 |    2214556.15 |    28111.21 |    -202620.95
 web channel     | 55 |    2206512.74 |    26520.77 |    -207884.27
 web channel     | 56 |    2136944.45 |    30634.35 |    -220653.95
 web channel     | 58 |    2197756.73 |    28608.76 |    -242975.05
 web channel     | 61 |    2184601.41 |    20309.09 |    -247206.20
 web channel     | 62 |    2216920.62 |    32361.99 |    -243316.53
 web channel     | 64 |    2221948.82 |    46434.36 |    -240164.98
 web channel     | 67 |    2327687.69 |    43634.53 |    -259490.90
 web channel     | 68 |    2159508.83 |    13970.63 |    -263997.85
 web channel     | 70 |    2148246.12 |    31423.64 |    -346469.07
 web channel     | 73 |    1907052.46 |    22697.20 |    -267469.44
 web channel     | 74 |    2148577.30 |    55481.35 |    -326501.84
 web channel     |    |   80651252.62 |  1168424.02 |   -9028211.86
                 |    | 1291560124.37 | 26890564.62 | -217882096.32
(60 rows)

Time: 1663,670 ms (00:01,664)
