Timing is on.
 channel | item  |      return_ratio      | return_rank | currency_rank 
---------+-------+------------------------+-------------+---------------
 catalog | 19072 | 0.00000000000000000000 |           1 |             9
 catalog | 19351 | 0.51000000000000000000 |           2 |             1
 catalog | 11197 | 0.55000000000000000000 |           3 |             2
 catalog |  1855 | 0.57142857142857142857 |           4 |             3
 catalog | 13354 | 0.63541666666666666667 |           5 |             4
 catalog | 18770 | 0.64367816091954022989 |           6 |             5
 catalog | 18176 | 0.65591397849462365591 |           7 |             6
 catalog |  5878 | 0.67368421052631578947 |           8 |             7
 catalog |  6794 | 0.67391304347826086957 |           9 |             8
 catalog | 21058 | 0.69387755102040816327 |          10 |            10
 store   | 16033 | 0.67391304347826086957 |           1 |             1
 store   |  1471 | 0.73737373737373737374 |           2 |             2
 store   | 13850 | 0.73737373737373737374 |           2 |             6
 store   | 23254 | 0.75862068965517241379 |           4 |             3
 store   | 10660 | 0.85714285714285714286 |           5 |             4
 store   |  7940 | 0.87096774193548387097 |           6 |             5
 store   | 12092 | 0.91250000000000000000 |           7 |             7
 store   |  2716 | 0.91304347826086956522 |           8 |             8
 store   | 17245 | 0.91304347826086956522 |           8 |            25
 store   |  5251 | 0.92000000000000000000 |          10 |             9
 store   |  5546 | 0.92134831460674157303 |          11 |            10
 web     | 14113 | 0.52941176470588235294 |           1 |            48
 web     | 17035 | 0.62666666666666666667 |           2 |             1
 web     |  1040 | 0.63888888888888888889 |           3 |             9
 web     | 20578 | 0.66279069767441860465 |           4 |             2
 web     | 13468 | 0.68181818181818181818 |           5 |             3
 web     | 15967 | 0.71428571428571428571 |           6 |             4
 web     | 13693 | 0.71830985915492957746 |           7 |             5
 web     |  7321 | 0.71951219512195121951 |           8 |             6
 web     |    79 | 0.72043010752688172043 |           9 |             7
 web     | 25892 | 0.72727272727272727273 |          10 |            45
 web     | 15889 | 0.73626373626373626374 |          11 |             8
 web     |  8569 | 0.76470588235294117647 |          13 |            10
(33 rows)

Time: 445,758 ms
