Timing is on.
 i_manufact_id | total_sales 
---------------+-------------
           906 |        0.00
           963 |      232.74
           870 |      430.85
           735 |      446.35
           667 |      671.93
           825 |      860.88
           989 |      876.33
           993 |     1093.30
           673 |     1240.20
           830 |     1290.39
           696 |     1356.53
           803 |     1777.48
           925 |     2025.89
           765 |     2030.56
           828 |     2099.90
           873 |     2408.04
           997 |     3355.04
           972 |     4486.92
           674 |     5028.74
           599 |     5169.69
           999 |     5263.84
           420 |     5688.36
           430 |     5716.51
           764 |     5745.31
           555 |     6297.57
           856 |     6596.87
           685 |     6761.86
           632 |     7289.79
           911 |     7722.16
           826 |     7775.57
           837 |     7978.40
           402 |     8001.77
           857 |     8118.98
           773 |     8126.82
           815 |     8701.38
           922 |     8861.25
           934 |     8997.02
           683 |     9064.07
           392 |     9188.49
           978 |     9365.40
           929 |     9642.81
           459 |     9859.30
           434 |     9914.87
           868 |     9944.11
           971 |     9985.93
           832 |    10151.78
           483 |    10221.49
           990 |    10266.00
           781 |    10331.04
           961 |    10343.03
           788 |    10481.05
           894 |    10482.35
           444 |    10631.80
           413 |    10726.28
           851 |    10741.63
           653 |    10831.51
           494 |    10998.02
           641 |    11197.08
           482 |    11248.10
           985 |    11344.65
           655 |    11379.02
           970 |    11458.72
           879 |    11607.80
           903 |    11608.55
           700 |    11630.63
           692 |    11673.53
           878 |    11707.38
           495 |    11933.14
           822 |    12124.66
           877 |    12218.65
           860 |    12767.84
           991 |    12881.36
           517 |    12987.65
           499 |    13080.54
           869 |    13102.85
           701 |    13267.16
           387 |    13397.03
           759 |    13568.05
           688 |    13578.44
           945 |    13668.36
           813 |    13840.95
           713 |    13843.62
           947 |    13886.32
           535 |    14010.11
           949 |    14057.61
           897 |    14128.21
           530 |    14134.69
           589 |    14259.88
           835 |    14389.86
           569 |    14644.91
           343 |    14774.81
           755 |    14842.59
           618 |    14873.13
           881 |    14904.89
           836 |    14997.75
           890 |    15051.41
           687 |    15276.46
           485 |    15318.29
           550 |    15408.02
           726 |    15519.54
(100 rows)

Time: 926,999 ms
