Timing is on.
 prev_year | year | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff | sales_amt_diff 
-----------+------+------------+------------+---------------+---------------+-------------+-------------+----------------+----------------
      1998 | 1999 |    7002008 |          2 |             7 |           616 |        9702 |        6469 |          -3233 |      -93056.57
      1998 | 1999 |    7015010 |         15 |             7 |           934 |        8777 |        5594 |          -3183 |     -125629.20
      1998 | 1999 |    7014009 |         14 |             7 |           295 |       16719 |       13635 |          -3084 |     -156600.70
      1998 | 1999 |    7001005 |          1 |             7 |           460 |        8628 |        5608 |          -3020 |     -102427.67
      1998 | 1999 |    7016009 |         16 |             7 |           596 |       11272 |        8252 |          -3020 |     -100492.67
      1998 | 1999 |    7005007 |          5 |             7 |           922 |       10552 |        7538 |          -3014 |     -142179.73
      1998 | 1999 |    7001008 |          1 |             7 |           661 |        9724 |        6783 |          -2941 |     -169975.70
      1998 | 1999 |    7005001 |          5 |             7 |           103 |        9456 |        6517 |          -2939 |      -56838.09
      1998 | 1999 |    7004003 |          4 |             7 |           431 |       10063 |        7130 |          -2933 |      -88019.62
      1998 | 1999 |    7010007 |         10 |             7 |           420 |        9731 |        6803 |          -2928 |     -162465.39
      1998 | 1999 |    7015009 |         15 |             7 |            21 |        9310 |        6468 |          -2842 |      -87854.49
      1998 | 1999 |    7010001 |         10 |             7 |           206 |        8446 |        5623 |          -2823 |     -163857.89
      1998 | 1999 |    7010008 |         10 |             7 |           433 |        9692 |        6889 |          -2803 |     -115200.87
      1998 | 1999 |    7016002 |         16 |             7 |            59 |        9321 |        6577 |          -2744 |     -105249.45
      1998 | 1999 |    7014009 |         14 |             7 |           209 |        9215 |        6484 |          -2731 |     -126358.83
      1998 | 1999 |    7013002 |         13 |             7 |           329 |        9392 |        6675 |          -2717 |     -118062.63
      1998 | 1999 |    7003003 |          3 |             7 |           603 |        9796 |        7082 |          -2714 |     -138962.54
      1998 | 1999 |    7015005 |         15 |             7 |           159 |        9732 |        7040 |          -2692 |     -148566.41
      1998 | 1999 |    7010001 |         10 |             7 |           121 |        9801 |        7160 |          -2641 |     -120902.80
      1998 | 1999 |    7014006 |         14 |             7 |           228 |        9422 |        6824 |          -2598 |      -75269.07
      1998 | 1999 |    7010005 |         10 |             7 |           238 |        9292 |        6698 |          -2594 |     -183428.72
      1998 | 1999 |    7015002 |         15 |             7 |            62 |        8912 |        6337 |          -2575 |      -74482.63
      1998 | 1999 |    7003002 |          3 |             7 |           135 |        9865 |        7293 |          -2572 |     -123554.63
      1998 | 1999 |    7002002 |          2 |             7 |            69 |        9194 |        6631 |          -2563 |     -172449.71
      1998 | 1999 |    7009005 |          9 |             7 |           654 |        9776 |        7236 |          -2540 |       -2089.18
      1998 | 1999 |    7004007 |          4 |             7 |            32 |        9334 |        6833 |          -2501 |      -18287.61
      1998 | 1999 |    7007005 |          7 |             7 |           244 |        9269 |        6772 |          -2497 |     -152306.99
      1998 | 1999 |    7016009 |         16 |             7 |           305 |        9270 |        6819 |          -2451 |      -85735.74
      1998 | 1999 |    7001005 |          1 |             7 |           311 |        9247 |        6799 |          -2448 |      -99127.50
      1998 | 1999 |    7005003 |          5 |             7 |            22 |        9615 |        7169 |          -2446 |     -129655.23
      1998 | 1999 |    7006001 |          6 |             7 |            63 |        9889 |        7467 |          -2422 |     -210389.77
      1998 | 1999 |    7011007 |         11 |             7 |           191 |        9472 |        7087 |          -2385 |      -85482.17
      1998 | 1999 |    7013005 |         13 |             7 |           506 |        9295 |        6928 |          -2367 |      -97398.92
      1998 | 1999 |    7012007 |         12 |             7 |           145 |        8514 |        6148 |          -2366 |      -92774.28
      1998 | 1999 |    7005010 |          5 |             7 |            61 |        9434 |        7072 |          -2362 |      -84419.47
      1998 | 1999 |    7006009 |          6 |             7 |            22 |        9386 |        7070 |          -2316 |      -73904.20
      1998 | 1999 |    7002007 |          2 |             7 |           490 |        8646 |        6346 |          -2300 |      -75991.25
      1998 | 1999 |    7009005 |          9 |             7 |           803 |        8450 |        6168 |          -2282 |      -84662.00
      1998 | 1999 |    7009010 |          9 |             7 |           308 |        9159 |        6911 |          -2248 |      -79044.65
      1998 | 1999 |    7010005 |         10 |             7 |           143 |        9502 |        7272 |          -2230 |     -144313.63
      1998 | 1999 |    7009009 |          9 |             7 |           585 |        8940 |        6723 |          -2217 |     -140348.31
      1998 | 1999 |    7003001 |          3 |             7 |           291 |        9764 |        7547 |          -2217 |      -91129.16
      1998 | 1999 |    7005005 |          5 |             7 |           148 |        9248 |        7046 |          -2202 |      -50591.29
      1998 | 1999 |    7002005 |          2 |             7 |           258 |        8952 |        6750 |          -2202 |      -37875.00
      1998 | 1999 |    7013009 |         13 |             7 |           951 |        9488 |        7294 |          -2194 |     -104189.33
      1998 | 1999 |    7001004 |          1 |             7 |           305 |        8264 |        6082 |          -2182 |      -71611.18
      1998 | 1999 |    7011007 |         11 |             7 |           116 |       17888 |       15710 |          -2178 |      -99230.78
      1998 | 1999 |    7006001 |          6 |             7 |           857 |        9210 |        7052 |          -2158 |      -77946.61
      1998 | 1999 |    7012005 |         12 |             7 |           325 |        8978 |        6824 |          -2154 |      -98512.54
      1998 | 1999 |    7016009 |         16 |             7 |           118 |        9570 |        7421 |          -2149 |     -112044.30
      1998 | 1999 |    7002006 |          2 |             7 |           315 |        9434 |        7293 |          -2141 |       31077.20
      1998 | 1999 |    7007006 |          7 |             7 |           331 |        9042 |        6902 |          -2140 |     -135237.92
      1998 | 1999 |    7001009 |          1 |             7 |           538 |        9348 |        7212 |          -2136 |      -71020.20
      1998 | 1999 |    7011006 |         11 |             7 |            13 |        9501 |        7369 |          -2132 |      -51353.54
      1998 | 1999 |    7014010 |         14 |             7 |           340 |        8531 |        6403 |          -2128 |     -103946.66
      1998 | 1999 |    7014001 |         14 |             7 |           516 |       17749 |       15633 |          -2116 |     -189049.53
      1998 | 1999 |    7014008 |         14 |             7 |           143 |        8310 |        6201 |          -2109 |     -109984.15
      1998 | 1999 |    7006009 |          6 |             7 |           166 |        9576 |        7471 |          -2105 |      -83660.99
      1998 | 1999 |    7011007 |         11 |             7 |           573 |        9637 |        7543 |          -2094 |     -129125.62
      1998 | 1999 |    7010006 |         10 |             7 |           595 |        9487 |        7404 |          -2083 |      -43447.66
      1998 | 1999 |    7002001 |          2 |             7 |            94 |        9191 |        7116 |          -2075 |     -162619.03
      1998 | 1999 |    7012003 |         12 |             7 |           356 |        8810 |        6735 |          -2075 |     -105524.65
      1998 | 1999 |    7012004 |         12 |             7 |           257 |        9409 |        7347 |          -2062 |      -55792.29
      1998 | 1999 |    7014002 |         14 |             7 |           239 |        9033 |        6972 |          -2061 |      -41389.05
      1998 | 1999 |    7002006 |          2 |             7 |           245 |        9875 |        7834 |          -2041 |      -69486.34
      1998 | 1999 |    7008009 |          8 |             7 |           306 |        8978 |        6949 |          -2029 |      -99949.57
      1998 | 1999 |    7008009 |          8 |             7 |           656 |       17777 |       15753 |          -2024 |     -182498.48
      1998 | 1999 |    7003001 |          3 |             7 |           804 |        9606 |        7588 |          -2018 |      -66578.21
      1998 | 1999 |    7010003 |         10 |             7 |            65 |        9388 |        7381 |          -2007 |     -163842.54
      1998 | 1999 |    7011001 |         11 |             7 |           546 |        9227 |        7259 |          -1968 |     -108492.12
      1998 | 1999 |    7012004 |         12 |             7 |           535 |       17021 |       15055 |          -1966 |      -46058.80
      1998 | 1999 |    7002005 |          2 |             7 |           438 |        9182 |        7220 |          -1962 |     -123742.67
      1998 | 1999 |    7009003 |          9 |             7 |           912 |        9190 |        7256 |          -1934 |     -170737.20
      1998 | 1999 |    7010008 |         10 |             7 |           744 |        9539 |        7609 |          -1930 |      -26210.87
      1998 | 1999 |    7016005 |         16 |             7 |           354 |        9115 |        7214 |          -1901 |      -33804.35
      1998 | 1999 |    7013009 |         13 |             7 |           869 |        9058 |        7164 |          -1894 |      -77958.73
      1998 | 1999 |    7002008 |          2 |             7 |            90 |        9232 |        7344 |          -1888 |      -15973.43
      1998 | 1999 |    7011007 |         11 |             7 |           972 |        8465 |        6579 |          -1886 |     -103658.87
      1998 | 1999 |    7009005 |          9 |             7 |           409 |        9114 |        7233 |          -1881 |      -62958.93
      1998 | 1999 |    7012010 |         12 |             7 |           300 |        9043 |        7169 |          -1874 |      -72886.78
      1998 | 1999 |    7016005 |         16 |             7 |           179 |        8674 |        6807 |          -1867 |     -133708.59
      1998 | 1999 |    7012005 |         12 |             7 |           646 |        9141 |        7285 |          -1856 |      -74403.94
      1998 | 1999 |    7011009 |         11 |             7 |           885 |        8611 |        6756 |          -1855 |      -66694.71
      1998 | 1999 |    7003002 |          3 |             7 |           456 |        8690 |        6841 |          -1849 |      -72594.29
      1998 | 1999 |    7014008 |         14 |             7 |           119 |        9649 |        7810 |          -1839 |     -129357.24
      1998 | 1999 |    7016010 |         16 |             7 |           101 |        9158 |        7321 |          -1837 |     -181215.24
      1998 | 1999 |    7006001 |          6 |             7 |           160 |        9072 |        7242 |          -1830 |      -91756.10
      1998 | 1999 |    7016010 |         16 |             7 |           222 |        8583 |        6762 |          -1821 |     -117861.27
      1998 | 1999 |    7005005 |          5 |             7 |           583 |        9840 |        8028 |          -1812 |      -95926.17
      1998 | 1999 |    7002005 |          2 |             7 |           718 |        9447 |        7646 |          -1801 |      -71533.84
      1998 | 1999 |    7003008 |          3 |             7 |            93 |        8544 |        6746 |          -1798 |      -72797.62
      1998 | 1999 |    7014005 |         14 |             7 |           341 |        8860 |        7079 |          -1781 |      -10358.88
      1998 | 1999 |    7013010 |         13 |             7 |           125 |        8590 |        6819 |          -1771 |      -39003.63
      1998 | 1999 |    7008009 |          8 |             7 |            12 |        9805 |        8034 |          -1771 |       -8134.78
      1998 | 1999 |    7012001 |         12 |             7 |           275 |        8499 |        6729 |          -1770 |      -61331.39
      1998 | 1999 |    7011003 |         11 |             7 |           161 |        8404 |        6635 |          -1769 |      -85295.06
      1998 | 1999 |    7014003 |         14 |             7 |           192 |        8745 |        6977 |          -1768 |     -142007.92
      1998 | 1999 |    7012008 |         12 |             7 |           576 |        8710 |        6952 |          -1758 |      -49187.53
      1998 | 1999 |    7003005 |          3 |             7 |           513 |        9150 |        7394 |          -1756 |     -120029.11
      1998 | 1999 |    7001002 |          1 |             7 |           462 |        8636 |        6910 |          -1726 |      -60415.16
(100 rows)

Time: 14120,625 ms (00:14,121)
