Timing is on.
 ss_item_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price 
------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------
        116 |  8.00 |        98 |                45.86 |             80.12 |             11 |                     46.07 |                  39.52
        119 |  0.00 |        60 |                52.03 |             86.53 |             74 |                     68.27 |                  31.33
        277 |  1.00 |        23 |                44.62 |             13.73 |             12 |                      4.43 |                   5.98
        386 |  3.00 |        91 |                43.97 |             62.43 |             25 |                     49.56 |                  54.63
        415 |  1.00 |        21 |                10.69 |              9.28 |             15 |                     84.25 |                 151.18
        439 |  0.00 |        63 |                73.32 |            113.49 |             98 |                     53.27 |                 116.62
        727 |  0.00 |         4 |                80.79 |            133.39 |             38 |                     30.35 |                  10.78
        770 |  1.00 |         5 |                76.75 |             10.74 |              5 |                     54.60 |                  44.73
        811 |  0.00 |         2 |                12.13 |              3.49 |             18 |                     23.05 |                  53.62
        911 |  0.00 |        14 |                38.78 |             40.41 |             58 |                     50.34 |                  27.48
        950 |  2.00 |        92 |                90.88 |             43.57 |             33 |                     87.42 |                  79.30
       1033 |  0.00 |        70 |                75.01 |             51.76 |             99 |                     26.05 |                  22.10
       1057 |  0.00 |        40 |                      |                   |             81 |                     43.30 |                  56.89
       1085 |  0.00 |        30 |                 2.73 |              0.07 |             77 |                     69.64 |                  34.92
       1094 |  1.00 |        89 |                33.54 |             13.13 |             56 |                     15.38 |                   7.44
       1121 |  0.00 |        49 |                25.12 |             25.64 |             76 |                     77.61 |                  91.30
       1273 |  0.00 |        22 |                88.48 |             70.78 |             61 |                     61.11 |                  89.44
       1289 |  4.00 |        17 |                20.35 |             11.39 |              4 |                     74.50 |                  55.78
       1387 |  1.00 |        42 |                78.96 |             40.64 |             42 |                      3.57 |                   6.86
       1429 |  0.00 |        30 |                25.01 |              8.26 |             83 |                     26.60 |                  28.38
       1513 |  1.00 |        13 |                36.19 |             22.18 |              9 |                     92.66 |                  49.03
       1931 |  0.00 |        14 |                62.46 |             80.18 |             93 |                     69.30 |                  70.74
       2131 |       |           |                      |             52.10 |             49 |                     94.38 |                 118.06
       2245 |  0.00 |        12 |                 2.26 |              3.44 |             46 |                     77.99 |                 121.28
       2417 |  1.00 |        91 |                13.20 |             11.53 |             54 |                     42.91 |                  89.98
       2423 |  0.00 |         3 |                66.00 |             18.36 |             17 |                     83.33 |                 173.24
       2791 |  5.00 |        98 |                10.10 |             14.33 |             17 |                     87.21 |                  80.58
       2837 |  1.00 |        50 |                53.26 |              7.26 |             48 |                     47.10 |                  46.53
       2894 |  9.00 |        64 |                94.53 |            120.69 |              7 |                     51.10 |                  88.38
       2918 |  3.00 |        47 |                98.06 |            115.41 |             12 |                     24.19 |                  34.48
       2971 |  1.00 |        55 |                94.36 |              9.97 |             35 |                     46.71 |                  68.00
       2984 |  1.00 |        52 |                41.98 |             44.58 |             47 |                     80.78 |                  91.36
       3053 |  0.00 |         7 |                 4.26 |              4.44 |             25 |                     24.23 |                  35.26
       3218 |  0.00 |        13 |                33.70 |              9.70 |             78 |                     96.33 |                  41.03
       3341 |  6.00 |        83 |                85.95 |             95.87 |             13 |                     81.09 |                  91.87
       3355 |  5.00 |        57 |                93.06 |            118.83 |             10 |                     10.21 |                   5.07
       3380 |  1.00 |        58 |                29.45 |              2.69 |             52 |                     63.09 |                  13.32
       3397 |  3.00 |        68 |                79.62 |             75.24 |             22 |                     98.18 |                 213.93
       3475 |  2.00 |        93 |                97.84 |             84.04 |             37 |                     82.25 |                  99.04
       3691 |  0.00 |        34 |                68.21 |             94.29 |             92 |                     81.54 |                 116.63
       3925 |  0.00 |         2 |                80.95 |             63.23 |             77 |                     93.60 |                  85.58
       4142 | 18.00 |        94 |                19.82 |              9.98 |              5 |                     62.75 |                  19.12
       4214 |  0.00 |        13 |                 6.64 |              0.74 |             31 |                      5.55 |                   1.31
       4237 |  1.00 |        86 |                 2.66 |              2.17 |             84 |                     78.15 |                  88.30
       4303 | 11.00 |        67 |                10.34 |             15.42 |              6 |                     88.85 |                  72.76
       4421 |  1.00 |        44 |                54.89 |             40.04 |             37 |                     36.58 |                   6.83
       4478 |  0.00 |        22 |                39.32 |             38.99 |             87 |                     89.03 |                  16.82
       4517 |  1.00 |        36 |                10.38 |              6.76 |             20 |                     53.83 |                  45.47
       4763 |  2.00 |        51 |                66.81 |             84.60 |             24 |                     41.40 |                   3.24
       4823 |  0.00 |        15 |                29.46 |             40.47 |             23 |                     77.93 |                  48.31
       4844 |  4.00 |        44 |                88.62 |             23.82 |             10 |                     98.61 |                  67.02
       5051 |  0.00 |        48 |                17.68 |              3.46 |             75 |                     57.84 |                  65.44
       5281 |  1.00 |        75 |                62.94 |              6.38 |             73 |                     90.75 |                 193.42
       5281 |  0.00 |         2 |                67.67 |             18.51 |             52 |                     37.27 |                  12.75
       5303 |  8.00 |        62 |                80.69 |             15.02 |              7 |                     93.10 |                  15.64
       5330 |  1.00 |        90 |                18.76 |             22.20 |             80 |                     60.12 |                  61.02
       5360 |  0.00 |        12 |                 6.10 |              0.12 |             96 |                     58.53 |                   9.25
       5444 |  8.00 |        88 |                74.39 |              1.45 |             11 |                     42.82 |                 100.57
       5609 |  0.00 |        19 |                12.06 |              0.88 |             65 |                     90.92 |                 166.86
       5689 |  0.00 |        35 |                71.78 |              0.00 |             71 |                     21.70 |                   5.79
       5759 |  0.00 |        16 |                30.89 |             53.13 |             98 |                     37.72 |                  10.56
       5804 |  0.00 |        75 |                68.57 |            103.47 |             83 |                     55.90 |                 105.73
       5819 |  3.00 |        90 |                39.21 |              0.39 |             26 |                     12.52 |                   7.80
       5927 |  6.00 |        56 |                62.84 |             10.90 |              9 |                     43.58 |                  89.25
       6083 | 12.00 |        84 |                19.68 |             10.79 |              7 |                     25.91 |                  62.03
       6125 |  1.00 |        94 |                14.51 |             10.88 |             61 |                     15.62 |                  30.20
       6133 |  0.00 |        23 |                70.89 |             56.56 |             40 |                     80.27 |                   1.26
       6185 |  0.00 |         2 |                47.05 |              6.78 |             36 |                     28.63 |                  11.95
       6194 |  3.00 |        67 |                73.25 |             19.03 |             22 |                     32.57 |                  18.88
       6428 |  7.00 |        84 |                 2.94 |              0.30 |             11 |                     81.66 |                 132.38
       6439 |  0.00 |        16 |                76.91 |            134.43 |             34 |                     75.86 |                  27.41
       6487 |  2.00 |        48 |                54.38 |             22.43 |             24 |                     14.57 |                  22.94
       6517 |  0.00 |        40 |                68.59 |             58.06 |             81 |                      3.52 |                   0.99
       6584 |  0.00 |        16 |                71.49 |              9.70 |             56 |                     89.09 |                  76.47
       6671 |  0.00 |        58 |                71.83 |             23.60 |             72 |                     65.41 |                  10.79
       6758 |  1.00 |        80 |                32.82 |             42.66 |             68 |                      6.28 |                   2.44
       7153 |       |           |                76.24 |             50.82 |             72 |                     22.33 |                  14.11
       7208 |  3.00 |        78 |                25.05 |             23.66 |             21 |                     91.62 |                  98.17
       7261 |  0.00 |        10 |                10.48 |             13.05 |             79 |                     64.69 |                  76.33
       7268 |  0.00 |        61 |                31.51 |             22.85 |             63 |                     36.40 |                  30.92
       7280 |  0.00 |        55 |                 1.72 |              0.92 |             93 |                     20.24 |                  39.66
       7481 |  1.00 |        88 |                96.24 |            130.15 |             75 |                      4.03 |                   5.16
       7505 |  1.00 |        62 |                63.24 |             37.00 |             33 |                     14.86 |                   2.00
       7541 | 20.00 |        41 |                87.29 |             15.81 |              2 |                     23.32 |                   7.03
       7736 |  2.00 |        72 |                60.74 |             93.32 |             35 |                     88.37 |                 146.37
       7751 | 96.00 |        96 |                 8.02 |              7.83 |              1 |                      1.08 |                   1.44
       7751 |  0.00 |        61 |                99.71 |             90.13 |             70 |                     37.82 |                   3.14
       7778 |  0.00 |        47 |                50.67 |             20.10 |             55 |                     17.41 |                  26.54
       7820 |  1.00 |        86 |                39.24 |             34.29 |             58 |                     53.61 |                  20.10
       7885 |  1.00 |        77 |                65.00 |            119.69 |             59 |                     65.08 |                  78.17
       7967 |  3.00 |        41 |                67.41 |             34.37 |             13 |                     47.39 |                  61.69
       7976 |  1.00 |        80 |                86.77 |             45.58 |             68 |                     48.73 |                  64.46
       8066 |  0.00 |        75 |                 1.90 |              2.97 |             79 |                     73.67 |                  17.84
       8120 |  1.00 |        43 |                79.20 |              1.40 |             35 |                     69.53 |                  61.88
       8125 |  1.00 |        97 |                      |                   |             85 |                      7.77 |                   0.89
       8534 |  1.00 |        46 |                43.12 |             21.38 |             41 |                     30.60 |                  31.03
       8569 |  0.00 |        45 |                62.29 |             30.83 |             65 |                     54.58 |                  36.71
       8705 | 17.00 |        69 |                58.83 |             24.49 |              4 |                      5.43 |                   3.59
       8792 |  0.00 |        19 |                63.92 |             40.80 |             33 |                      5.11 |                   5.00
       8861 |  1.00 |        41 |                69.21 |             24.83 |             40 |                     43.22 |                  59.55
(100 rows)

Time: 48844,392 ms (00:48,844)
