Timing is on.
   ca_zip   |   sum   
------------+---------
 30008      |  273.14
 30069      | 1837.16
 30150      | 1392.94
 30162      | 1031.70
 30169      |  307.66
 30191      |  940.52
 30268      |  426.55
 30296      |  204.39
 30399      | 1271.24
 30411      |  429.41
 30499      |  716.76
 30534      |  631.80
 30587      |  671.56
 30618      |  456.84
 30635      |  161.43
 31075      |  243.44
 31087      |  483.97
 31209      |  182.22
 31289      |  822.79
 31387      | 2072.98
 31521      | 1471.71
 31669      |  594.47
 31675      |  498.85
 31692      |  357.25
 31711      |  970.98
 31749      |  688.30
 31757      | 1016.80
 31838      |  324.60
 31952      | 2533.23
 32106      |  708.11
 32455      |  590.14
 32629      |  468.57
 32808      |  358.56
 32812      | 1947.44
 32898      |  863.63
 33003      | 2190.83
 33027      |  475.51
 33394      | 1370.77
 33481      |  460.05
 33511      | 1374.41
 33592      |  246.76
 33604      |  807.86
 33683      | 1234.31
 33951      |  503.41
 34027      |  247.54
 34098      | 1052.61
 34107      | 1308.56
 34153      |  185.14
 34244      |  469.55
 34338      |  279.34
 34466      | 1128.43
 34536      |  567.75
 34593      |  823.56
 34854      | 1154.88
 34975      |   85.49
 35038      |  221.48
 35115      | 1160.62
 35124      |  712.49
 35258      |  848.59
 35281      |  827.75
 35495      |  264.68
 35508      |  360.10
 35752      |  472.32
 35804      | 1366.22
 35817      | 2236.73
 35858      |  575.53
 36060      |  409.31
 36098      |  541.87
 36134      |  309.35
 36192      |  513.19
 36534      | 1042.06
 36557      | 1369.48
 36614      |  414.99
 36668      |  740.85
 36719      |  512.21
 36787      | 1247.08
 36867      |  908.54
 36871      | 1947.02
 36971      |  525.93
 37057      | 1275.96
 37683      |  511.61
 37746      | 1056.56
 37752      |  125.23
 37838      | 1920.81
 38014      |  669.12
 38048      |  132.83
 38054      | 1985.23
 38059      | 1542.94
 38140      |  706.58
 38252      |  874.89
 38354      |  585.96
 38370      |  364.19
 38605      | 2901.61
 38721      | 3354.78
 38722      |  533.25
 38828      |  475.59
 38877      | 1468.99
 38883      |  432.46
 39003      | 1777.36
 39231      |  660.73
(100 rows)

Time: 551,724 ms
