Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |   sumsales   | rk  
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+--------------+-----
 Books                                              | arts                                               | amalgmaxi #12                                      |                |        |       |       |            |   6030495.44 |  18
 Books                                              | arts                                               | amalgmaxi #2                                       |                |        |       |       |            |   4678857.75 |  40
 Books                                              | arts                                               | amalgmaxi #3                                       |                |        |       |       |            |   3046405.12 |  89
 Books                                              | arts                                               | amalgmaxi #6                                       |                |        |       |       |            |   3265771.85 |  82
 Books                                              | arts                                               | amalgmaxi #8                                       |                |        |       |       |            |   3063830.03 |  88
 Books                                              | arts                                               |                                                    |                |        |       |       |            |  25270395.08 |   9
 Books                                              | business                                           | importomaxi #12                                    |                |        |       |       |            |   3927558.07 |  53
 Books                                              | business                                           | importomaxi #2                                     |                |        |       |       |            |   3029564.76 |  90
 Books                                              | business                                           | importomaxi #6                                     |                |        |       |       |            |   3104715.07 |  87
 Books                                              | business                                           | importomaxi #8                                     |                |        |       |       |            |   3333846.16 |  76
 Books                                              | business                                           |                                                    |                |        |       |       |            |  20255768.71 |  17
 Books                                              | computers                                          | exportimaxi #12                                    |                |        |       |       |            |   4055184.13 |  51
 Books                                              | computers                                          | exportimaxi #2                                     |                |        |       |       |            |   4936760.65 |  26
 Books                                              | computers                                          | exportimaxi #6                                     |                |        |       |       |            |   3822739.86 |  56
 Books                                              | computers                                          | exportimaxi #8                                     |                |        |       |       |            |   4657441.64 |  41
 Books                                              | computers                                          | exportimaxi #9                                     |                |        |       |       |            |   3637274.03 |  61
 Books                                              | computers                                          |                                                    |                |        |       |       |            |  26065358.04 |   6
 Books                                              | cooking                                            | amalgunivamalg #12                                 |                |        |       |       |            |   3641367.05 |  60
 Books                                              | cooking                                            | amalgunivamalg #6                                  |                |        |       |       |            |   4121308.70 |  49
 Books                                              | cooking                                            | amalgunivamalg #8                                  |                |        |       |       |            |   3522741.35 |  70
 Books                                              | cooking                                            | amalgunivamalg #9                                  |                |        |       |       |            |   2716871.92 | 100
 Books                                              | cooking                                            |                                                    |                |        |       |       |            |  21622777.97 |  16
 Books                                              | entertainments                                     | edu packmaxi #12                                   |                |        |       |       |            |   4212723.81 |  47
 Books                                              | entertainments                                     | edu packmaxi #2                                    |                |        |       |       |            |   4902615.90 |  30
 Books                                              | entertainments                                     | edu packmaxi #3                                    |                |        |       |       |            |   2857047.09 |  95
 Books                                              | entertainments                                     | edu packmaxi #6                                    |                |        |       |       |            |   2783929.96 |  96
 Books                                              | entertainments                                     | edu packmaxi #8                                    |                |        |       |       |            |   4410672.27 |  45
 Books                                              | entertainments                                     |                                                    |                |        |       |       |            |  23940906.88 |  11
 Books                                              | fiction                                            | scholarunivamalg #12                               |                |        |       |       |            |   4139992.88 |  48
 Books                                              | fiction                                            | scholarunivamalg #2                                |                |        |       |       |            |   5848961.09 |  20
 Books                                              | fiction                                            | scholarunivamalg #3                                |                |        |       |       |            |   3533792.77 |  69
 Books                                              | fiction                                            | scholarunivamalg #6                                |                |        |       |       |            |   4872871.49 |  31
 Books                                              | fiction                                            | scholarunivamalg #8                                |                |        |       |       |            |   5268548.76 |  21
 Books                                              | fiction                                            | scholarunivamalg #9                                |                |        |       |       |            |   2978635.57 |  92
 Books                                              | fiction                                            |                                                    |                |        |       |       |            |  28317747.39 |   2
 Books                                              | history                                            | scholarmaxi #12                                    |                |        |       |       |            |   4839924.24 |  33
 Books                                              | history                                            | scholarmaxi #2                                     |                |        |       |       |            |   4020372.50 |  52
 Books                                              | history                                            | scholarmaxi #3                                     |                |        |       |       |            |   3488611.54 |  72
 Books                                              | history                                            | scholarmaxi #6                                     |                |        |       |       |            |   3807954.07 |  57
 Books                                              | history                                            | scholarmaxi #8                                     |                |        |       |       |            |   4963628.52 |  24
 Books                                              | history                                            | scholarmaxi #9                                     |                |        |       |       |            |   3632983.22 |  62
 Books                                              | history                                            |                                                    |                |        |       |       |            |  27089091.71 |   3
