Timing is on.
                      i_brand                       | d_year |   avg_monthly_sales   | sum_sales |   psum   |   nsum   
----------------------------------------------------+--------+-----------------------+-----------+----------+----------
 importoedu pack #1                                 |   1999 | 7101.7800000000000000 |   2518.33 |  5264.86 |  3066.29
 edu packimporto #1                                 |   1999 | 7659.2416666666666667 |   3227.88 |  4759.01 |  4664.83
 amalgscholar #1                                    |   1999 | 6659.4933333333333333 |   2291.60 | 14178.45 |  4267.08
 edu packimporto #1                                 |   1999 | 7659.2416666666666667 |   3327.90 |  4566.86 | 11656.06
 importoimporto #1                                  |   1999 | 7640.4916666666666667 |   3327.30 |  3534.12 |  5530.63
 edu packscholar #1                                 |   1999 | 8223.7191666666666667 |   3965.88 | 14493.32 |  4943.68
 amalgamalg #1                                      |   1999 | 7116.3283333333333333 |   2872.43 |  4945.20 |  2974.14
 exportischolar #1                                  |   1999 | 7047.8033333333333333 |   2832.46 |  4308.87 |  3265.21
 importoexporti #1                                  |   1999 | 6809.5958333333333333 |   2648.85 |  5318.02 |  4111.73
 importoexporti #1                                  |   1999 | 6832.8216666666666667 |   2687.17 |  3971.76 |  4235.84
 edu packscholar #1                                 |   1999 | 8078.6900000000000000 |   3934.06 | 17002.72 |  4244.46
 amalgamalg #1                                      |   1999 | 7116.3283333333333333 |   2974.14 |  2872.43 |  4329.06
 edu packscholar #1                                 |   1999 | 8223.7191666666666667 |   4091.54 |  5753.94 |  4797.32
 importoimporto #1                                  |   1999 | 7530.9975000000000000 |   3406.53 |  5839.59 |  6125.77
 edu packimporto #1                                 |   1999 | 7852.6275000000000000 |   3737.23 |  4465.92 |  3831.92
 edu packedu pack #1                                |   1999 | 6583.3050000000000000 |   2474.01 |  3684.23 |  4335.58
 importoimporto #1                                  |   1999 | 7640.4916666666666667 |   3534.12 |  4291.30 |  3327.30
 amalgexporti #1                                    |   1999 | 6518.7508333333333333 |   2430.77 |  3203.23 |  7867.12
 amalgscholar #1                                    |   1999 | 6876.8808333333333333 |   2816.26 |  4637.07 |  3528.80
