Timing is on.
 prev_year | year | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff | sales_amt_diff 
-----------+------+------------+------------+---------------+---------------+-------------+-------------+----------------+----------------
      1998 | 1999 |    7015007 |         15 |             7 |            96 |        6120 |        3657 |          -2463 |      -76249.15
      1998 | 1999 |    7009007 |          9 |             7 |           443 |       10892 |        8840 |          -2052 |      -42967.35
      1998 | 1999 |    7004009 |          4 |             7 |            10 |        5950 |        3918 |          -2032 |     -107450.67
      1998 | 1999 |    7011007 |         11 |             7 |            62 |        5962 |        3972 |          -1990 |      -64137.11
      1998 | 1999 |    7003005 |          3 |             7 |           323 |        6516 |        4546 |          -1970 |      -62230.77
      1998 | 1999 |    7004003 |          4 |             7 |           431 |        6226 |        4271 |          -1955 |     -129645.75
      1998 | 1999 |    7005001 |          5 |             7 |           534 |        6891 |        4957 |          -1934 |     -101692.74
      1998 | 1999 |    7005003 |          5 |             7 |           198 |        6587 |        4654 |          -1933 |      -13168.84
      1998 | 1999 |    7009005 |          9 |             7 |           320 |        5911 |        3980 |          -1931 |      -99941.67
      1998 | 1999 |    7005005 |          5 |             7 |           375 |        5655 |        3799 |          -1856 |      -80424.52
      1998 | 1999 |    7014007 |         14 |             7 |           585 |        6245 |        4426 |          -1819 |      -86920.78
      1998 | 1999 |    7014007 |         14 |             7 |           211 |        5170 |        3380 |          -1790 |      -99877.98
      1998 | 1999 |    7001005 |          1 |             7 |           570 |        6181 |        4393 |          -1788 |      -99051.73
      1998 | 1999 |    7011005 |         11 |             7 |           323 |        5570 |        3785 |          -1785 |      -84170.15
      1998 | 1999 |    7003009 |          3 |             7 |           261 |        5766 |        4025 |          -1741 |     -100044.23
      1998 | 1999 |    7015005 |         15 |             7 |           236 |        5747 |        4012 |          -1735 |      -75500.12
      1998 | 1999 |    7002008 |          2 |             7 |           150 |        5857 |        4122 |          -1735 |      -51705.39
      1998 | 1999 |    7014007 |         14 |             7 |            33 |        6354 |        4621 |          -1733 |      -91775.68
      1998 | 1999 |    7003009 |          3 |             7 |           280 |        6045 |        4326 |          -1719 |      -55561.30
      1998 | 1999 |    7008009 |          8 |             7 |           540 |        6096 |        4384 |          -1712 |      -35692.36
      1998 | 1999 |    7001005 |          1 |             7 |           311 |        5346 |        3661 |          -1685 |      -43586.58
      1998 | 1999 |    7009001 |          9 |             7 |           242 |        5921 |        4241 |          -1680 |      -87796.94
      1998 | 1999 |    7010005 |         10 |             7 |            12 |        5675 |        3997 |          -1678 |      -11976.61
      1998 | 1999 |    7016009 |         16 |             7 |           272 |        5580 |        3906 |          -1674 |      -69013.74
      1998 | 1999 |    7008007 |          8 |             7 |           774 |        5865 |        4196 |          -1669 |      -78644.78
      1998 | 1999 |    7015002 |         15 |             7 |           242 |        5894 |        4241 |          -1653 |        7791.23
      1998 | 1999 |    7006003 |          6 |             7 |           298 |        5917 |        4270 |          -1647 |      -37837.24
      1998 | 1999 |    7011002 |         11 |             7 |           522 |        5274 |        3677 |          -1597 |      -61731.86
      1998 | 1999 |    7012004 |         12 |             7 |           144 |        5708 |        4113 |          -1595 |      -71336.97
      1998 | 1999 |    7012004 |         12 |             7 |           989 |        6686 |        5095 |          -1591 |     -122298.47
      1998 | 1999 |    7012005 |         12 |             7 |           179 |        5764 |        4181 |          -1583 |      -51834.29
      1998 | 1999 |    7012001 |         12 |             7 |           348 |        5371 |        3793 |          -1578 |      -66527.45
      1998 | 1999 |    7013009 |         13 |             7 |           504 |        5361 |        3783 |          -1578 |      -64343.24
      1998 | 1999 |    7004005 |          4 |             7 |           199 |        5131 |        3563 |          -1568 |     -105610.68
      1998 | 1999 |    7013009 |         13 |             7 |           180 |        5761 |        4196 |          -1565 |       -4403.17
      1998 | 1999 |    7011004 |         11 |             7 |           216 |        6050 |        4492 |          -1558 |     -147011.54
      1998 | 1999 |    7002010 |          2 |             7 |           311 |        5926 |        4387 |          -1539 |      -96201.61
      1998 | 1999 |    7011004 |         11 |             7 |           580 |        6685 |        5150 |          -1535 |      -72485.58
      1998 | 1999 |    7009005 |          9 |             7 |           220 |        5578 |        4049 |          -1529 |      -22803.60
      1998 | 1999 |    7011009 |         11 |             7 |           314 |        6391 |        4863 |          -1528 |      -30949.85
      1998 | 1999 |    7013008 |         13 |             7 |           116 |        6994 |        5469 |          -1525 |      -38000.37
      1998 | 1999 |    7010003 |         10 |             7 |           203 |        5966 |        4460 |          -1506 |      -50275.57
      1998 | 1999 |    7005005 |          5 |             7 |           238 |        5915 |        4437 |          -1478 |      -94871.97
      1998 | 1999 |    7016003 |         16 |             7 |           860 |        5866 |        4401 |          -1465 |      -54696.79
      1998 | 1999 |    7010008 |         10 |             7 |           258 |        5860 |        4396 |          -1464 |      -81224.95
      1998 | 1999 |    7011009 |         11 |             7 |           630 |        5337 |        3882 |          -1455 |      -40543.05
      1998 | 1999 |    7012005 |         12 |             7 |           493 |        6016 |        4576 |          -1440 |      -29292.31
      1998 | 1999 |    7004003 |          4 |             7 |           214 |        5714 |        4280 |          -1434 |      -28021.76
      1998 | 1999 |    7001001 |          1 |             7 |           539 |        6139 |        4712 |          -1427 |     -125929.57
      1998 | 1999 |    7002009 |          2 |             7 |           645 |        5301 |        3884 |          -1417 |      -43265.43
      1998 | 1999 |    7009007 |          9 |             7 |            70 |        6120 |        4705 |          -1415 |      -43788.92
      1998 | 1999 |    7013003 |         13 |             7 |           473 |        5702 |        4290 |          -1412 |      -51858.09
      1998 | 1999 |    7003006 |          3 |             7 |           233 |        6228 |        4820 |          -1408 |      -95972.69
      1998 | 1999 |    7010001 |         10 |             7 |            82 |        5269 |        3896 |          -1373 |      -68779.84
      1998 | 1999 |    7006009 |          6 |             7 |           782 |        5637 |        4277 |          -1360 |      -89793.48
      1998 | 1999 |    7009002 |          9 |             7 |           233 |        5767 |        4433 |          -1334 |      -81929.42
      1998 | 1999 |    7006006 |          6 |             7 |           575 |        6655 |        5327 |          -1328 |      -66516.27
      1998 | 1999 |    7003002 |          3 |             7 |           174 |        5937 |        4613 |          -1324 |      -94317.68
      1998 | 1999 |    7012001 |         12 |             7 |           279 |        5970 |        4673 |          -1297 |      -74385.14
      1998 | 1999 |    7011001 |         11 |             7 |           110 |        5187 |        3909 |          -1278 |      -52562.09
      1998 | 1999 |    7016008 |         16 |             7 |           836 |        6298 |        5035 |          -1263 |      -24932.87
      1998 | 1999 |    7005005 |          5 |             7 |           583 |        6016 |        4759 |          -1257 |      -92246.04
      1998 | 1999 |    7007009 |          7 |             7 |           854 |        5050 |        3803 |          -1247 |      -34061.93
      1998 | 1999 |    7016005 |         16 |             7 |           267 |        6354 |        5129 |          -1225 |      -55006.22
      1998 | 1999 |    7005003 |          5 |             7 |           303 |        6046 |        4824 |          -1222 |      -96081.19
      1998 | 1999 |    7008007 |          8 |             7 |           744 |        5267 |        4045 |          -1222 |      -90015.55
      1998 | 1999 |    7002010 |          2 |             7 |            44 |        5834 |        4617 |          -1217 |      -28286.60
      1998 | 1999 |    7013002 |         13 |             7 |           414 |        5829 |        4649 |          -1180 |      -44445.26
      1998 | 1999 |    7004009 |          4 |             7 |           234 |        5593 |        4419 |          -1174 |      -83964.49
      1998 | 1999 |    7012005 |         12 |             7 |           494 |        5943 |        4778 |          -1165 |      -57305.79
      1998 | 1999 |    7005001 |          5 |             7 |           140 |        5377 |        4218 |          -1159 |      -25026.82
      1998 | 1999 |    7005003 |          5 |             7 |           256 |        5613 |        4458 |          -1155 |       -1542.54
      1998 | 1999 |    7012008 |         12 |             7 |           201 |        5438 |        4294 |          -1144 |     -110787.12
      1998 | 1999 |    7004003 |          4 |             7 |           114 |        5310 |        4169 |          -1141 |     -136464.68
      1998 | 1999 |    7016009 |         16 |             7 |           212 |        5536 |        4396 |          -1140 |      -27617.24
      1998 | 1999 |    7012001 |         12 |             7 |           950 |        5769 |        4631 |          -1138 |      -49100.51
      1998 | 1999 |    7001006 |          1 |             7 |           226 |        5650 |        4536 |          -1114 |       -1476.60
      1998 | 1999 |    7014001 |         14 |             7 |            23 |        6362 |        5248 |          -1114 |       14337.76
      1998 | 1999 |    7006003 |          6 |             7 |           482 |        5039 |        3932 |          -1107 |      -19399.00
      1998 | 1999 |    7014004 |         14 |             7 |           209 |        5733 |        4631 |          -1102 |      -97600.86
      1998 | 1999 |    7014003 |         14 |             7 |           209 |        5886 |        4786 |          -1100 |      -83483.30
      1998 | 1999 |    7002002 |          2 |             7 |           224 |        5746 |        4648 |          -1098 |      -67184.67
      1998 | 1999 |    7016010 |         16 |             7 |           263 |        5952 |        4874 |          -1078 |     -107160.84
      1998 | 1999 |    7011005 |         11 |             7 |            57 |        5828 |        4751 |          -1077 |      -75430.80
      1998 | 1999 |    7013010 |         13 |             7 |           433 |        5587 |        4512 |          -1075 |      -19492.72
      1998 | 1999 |    7014004 |         14 |             7 |           523 |        5094 |        4025 |          -1069 |      -58940.35
      1998 | 1999 |    7004009 |          4 |             7 |           194 |        5459 |        4394 |          -1065 |      -66685.52
      1998 | 1999 |    7001004 |          1 |             7 |           222 |        5515 |        4456 |          -1059 |        3798.76
      1998 | 1999 |    7010003 |         10 |             7 |            97 |        5468 |        4414 |          -1054 |      -34680.20
      1998 | 1999 |    7001010 |          1 |             7 |           841 |        5904 |        4857 |          -1047 |      -57185.19
      1998 | 1999 |    7009007 |          9 |             7 |            91 |        5526 |        4486 |          -1040 |      -46964.15
      1998 | 1999 |    7015007 |         15 |             7 |           683 |        5457 |        4430 |          -1027 |      -17118.07
      1998 | 1999 |    7010007 |         10 |             7 |           361 |        6124 |        5100 |          -1024 |      -34426.47
      1998 | 1999 |    7013008 |         13 |             7 |             2 |        5865 |        4845 |          -1020 |       -5173.19
      1998 | 1999 |    7016003 |         16 |             7 |           873 |        6237 |        5230 |          -1007 |      -33792.58
      1998 | 1999 |    7007002 |          7 |             7 |           227 |        5390 |        4394 |           -996 |      -74516.43
      1998 | 1999 |    7002002 |          2 |             7 |           138 |        5376 |        4381 |           -995 |      -50977.80
      1998 | 1999 |    7007007 |          7 |             7 |           555 |        5553 |        4566 |           -987 |      -82904.20
      1998 | 1999 |    7016006 |         16 |             7 |           229 |        5839 |        4853 |           -986 |      -32591.54
      1998 | 1999 |    7008001 |          8 |             7 |          1000 |        5909 |        4925 |           -984 |      -61607.71
(100 rows)

Time: 2859,478 ms (00:02,859)
