Timing is on.
     channel     |              id              |   sales   | returns  |  profit   
-----------------+------------------------------+-----------+----------+-----------
 catalog channel | catalog_pageAAAAAAAAAABAAAAA |  49033.23 |  5023.24 | -13866.21
 catalog channel | catalog_pageAAAAAAAAAADAAAAA |  11519.66 |        0 |     49.99
 catalog channel | catalog_pageAAAAAAAAABBAAAAA |  38400.08 |   341.88 |  -2917.55
 catalog channel | catalog_pageAAAAAAAAABDAAAAA |   9518.64 |   381.21 | -11603.96
 catalog channel | catalog_pageAAAAAAAAACBAAAAA |  62093.90 |        0 |  -1333.95
 catalog channel | catalog_pageAAAAAAAAADBAAAAA |  51790.78 |    34.40 |  -1847.42
 catalog channel | catalog_pageAAAAAAAAADDAAAAA |  15048.83 |   920.73 |   2252.50
 catalog channel | catalog_pageAAAAAAAAAEBAAAAA |  65950.38 |   521.94 |   3124.86
 catalog channel | catalog_pageAAAAAAAAAEDAAAAA |  12392.71 |  1785.52 |  -6904.05
 catalog channel | catalog_pageAAAAAAAAAFDAAAAA |  14293.91 |        0 |  -2150.77
 catalog channel | catalog_pageAAAAAAAAAGDAAAAA |   7797.82 |        0 |  -9328.65
 catalog channel | catalog_pageAAAAAAAAAHAAAAAA |  61652.17 |  1630.26 |   2710.25
 catalog channel | catalog_pageAAAAAAAAAHDAAAAA |  21416.99 |  1063.85 |  -8435.22
 catalog channel | catalog_pageAAAAAAAAAIAAAAAA | 103527.31 |  5489.04 | -20248.89
 catalog channel | catalog_pageAAAAAAAAAIDAAAAA |  22346.37 |        0 |  -6806.09
 catalog channel | catalog_pageAAAAAAAAAJAAAAAA |  76714.92 |   993.54 | -10274.40
 catalog channel | catalog_pageAAAAAAAAAJDAAAAA |  16138.70 |   213.44 |  -5055.75
 catalog channel | catalog_pageAAAAAAAAAKAAAAAA |  95974.44 |   414.68 |   1938.68
 catalog channel | catalog_pageAAAAAAAAAKDAAAAA |  47278.49 |   457.73 |  -4660.64
 catalog channel | catalog_pageAAAAAAAAALAAAAAA |  82747.18 |  7523.00 |  -3337.12
 catalog channel | catalog_pageAAAAAAAAALDAAAAA |  11233.44 |        0 |  -9780.62
 catalog channel | catalog_pageAAAAAAAAAMAAAAAA |  87276.27 |  6975.15 | -23030.11
 catalog channel | catalog_pageAAAAAAAAAMDAAAAA |  32476.59 |        0 |   3987.22
 catalog channel | catalog_pageAAAAAAAAANAAAAAA |  89071.53 |   215.71 |  -1011.02
