Timing is on.
                                                                                               i_item_desc                                                                                               |   w_warehouse_name   | d_week_seq | no_promo | promo | total_cnt 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------+------------+----------+-------+-----------
 As pri                                                                                                                                                                                                  |                      |       5323 |        0 |     2 |         2
 Australian, big policies get merely here left boards. Stages boost relevant, recent decades. Able men might not accompany as a fathers. Very specialist shapes will not wish in                         | Bad cards must make. |       5356 |        0 |     2 |         2
 Books will not interview. Again gay courses should estimate together to a others. White, likely weeks last. Weapons ought to cause around personally social clubs. Slightly northern feet determine     | Important issues liv |       5367 |        0 |     2 |         2
 Companies start only healthy police.                                                                                                                                                                    | Bad cards must make. |       5367 |        0 |     2 |         2
 Dark, judicial votes hunt trains. For                                                                                                                                                                   | Doors canno          |       5374 |        0 |     2 |         2
 Days affect healthy, extra police. Bars can ask possibly however vict                                                                                                                                   |                      |       5351 |        0 |     2 |         2
 Detailed si                                                                                                                                                                                             |                      |       5355 |        0 |     2 |         2
 Equally positive reasons should win civil worlds. Major women play sharply just parents. Men crawl for a members; debts might allow ev                                                                  | Doors canno          |       5361 |        0 |     2 |         2
 Existing communications remove still                                                                                                                                                                    | Bad cards must make. |       5371 |        0 |     2 |         2
 Full volumes can show financial accountants. Geographically positive matters exist ready, excessive rooms. Old levels should beat books; only                                                           | Doors canno          |       5373 |        0 |     2 |         2
 Gentl                                                                                                                                                                                                   | Bad cards must make. |       5365 |        0 |     2 |         2
 Governments c                                                                                                                                                                                           | Important issues liv |       5371 |        0 |     2 |         2
 Governments c                                                                                                                                                                                           |                      |       5371 |        0 |     2 |         2
 Less different beans shall ask probably other american ends. Foreign times might begin well; children lose quite. Surely theoretical friends use usually faint, different affairs. Industria            | Important issues liv |       5369 |        0 |     2 |         2
 Limits shall imagine conversely in the members. Commercial, national facts might give automatically soviet, bright communications; utterly short                                                        | Conventional childr  |       5369 |        0 |     2 |         2
 Main tools mus                                                                                                                                                                                          |                      |       5351 |        0 |     2 |         2
 Major surfaces rush cups. Good letters must meet here losses. Different, short decisions learn theories. Following payments remain perhaps intermediate properties. Surprised, awful p                  | Doors canno          |       5367 |        0 |     2 |         2
 Meals can go producers. Exhibitions should raise. Resources care only. Uniquely dark thing                                                                                                              | Doors canno          |       5339 |        0 |     2 |         2
 National women find major, able shows. Direct visitors must not want indian clothes. Years must run slowly in the costs. Months mak                                                                     |                      |       5374 |        0 |     2 |         2
 Old, casual cards appear large, industrial areas. There chinese profits receive well safe words. Contemporary centuries consider particularly                                                           | Doors canno          |       5367 |        0 |     2 |         2
 Present feet take more able cases. Then useful preferences rehearse together with the institutions. At all following things shall hope all economic different cells; even good                          |                      |       5354 |        0 |     2 |         2
 Small payments cannot terminate much in a prices. Normal, other conservatives may specify human, alone observers. Significant clients will like inevitable goods; problems will not e                   | Conventional childr  |       5374 |        0 |     2 |         2
 Still, heavy members write kinds; at all remaining authorities will take                                                                                                                                | Bad cards must make. |       5367 |        0 |     2 |         2
 Still, heavy members write kinds; at all remaining authorities will take                                                                                                                                | Important issues liv |       5367 |        0 |     2 |         2
 Techniques stop real changes. Racial shares continue only feelings. Political figures can take as problems. For long full weeks contain yesterday other guidelines. Organisational deaths must decide   | Bad cards must make. |       5367 |        0 |     2 |         2
 Troops help. Good, comple                                                                                                                                                                               | Bad cards must make. |       5356 |        0 |     2 |         2
 Troops help. Good, comple                                                                                                                                                                               | Doors canno          |       5356 |        0 |     2 |         2
 Urban aspects feel; other parties find words. Seconds allow just primary, new programmes. Male powers become sincerely on a needs. Faster new years call fair changes                                   | Bad cards must make. |       5374 |        0 |     2 |         2
 Urban aspects feel; other parties find words. Seconds allow just primary, new programmes. Male powers become sincerely on a needs. Faster new years call fair changes                                   |                      |       5374 |        0 |     2 |         2
 A                                                                                                                                                                                                       |                      |       5359 |        0 |     1 |         1
 Able artists love all classical, roman runs. British childre                                                                                                                                            | Conventional childr  |       5373 |        0 |     1 |         1
 Able authorities care ago advisory windows. Results m                                                                                                                                                   | Important issues liv |       5336 |        0 |     1 |         1
 Able courses stretch only just substantial areas. New supplies can come larg                                                                                                                            | Conventional childr  |       5355 |        0 |     1 |         1
 Able, early arms return estimates; already common animals can go also british victorian meals. Old offices may not go just main, early procedures. Foreign, useless attitudes organize most. Respon     | Bad cards must make. |       5356 |        0 |     1 |         1
 Able, early arms return estimates; already common animals can go also british victorian meals. Old offices may not go just main, early procedures. Foreign, useless attitudes organize most. Respon     | Doors canno          |       5356 |        0 |     1 |         1
 Able funds must not investigate distinct, short-term foundations. Sad, soft examples beli                                                                                                               | Important issues liv |       5348 |        0 |     1 |         1
 Able, plain approaches would break yet yesterday soci                                                                                                                                                   | Doors canno          |       5326 |        0 |     1 |         1
 About british reasons will draw occasionally practitioners. New attempts shall display in private private, major magazines. Questions dare on a losses. As american children take upwards good symptom  | Conventional childr  |       5363 |        0 |     1 |         1
 About commercial men must think near twins. Explanations know expected standards. Social values w                                                                                                       | Doors canno          |       5362 |        0 |     1 |         1
 About competitive members could not screen; however free performances could not give here in the studies; soft laws deal plans. Bodies complete all right fem                                           |                      |       5338 |        0 |     1 |         1
 About musical years survive sort of; often consid                                                                                                                                                       | Doors canno          |       5373 |        0 |     1 |         1
 About other levels should proceed certainly fine, severe facts.                                                                                                                                         | Bad cards must make. |       5358 |        0 |     1 |         1
 Above american meanings shall get with a troops. Essentially physical professionals outweigh more. Obviou                                                                                               | Conventional childr  |       5358 |        0 |     1 |         1
 Above local inhabitants can take. Women harbour slightly with the children. Far new tasks promote under a children. Furious members specify thus new risks. Red looks cannot find quick                 | Important issues liv |       5357 |        0 |     1 |         1
 Above rough shares open then sufficient subjects. Short women must confront on a words. Final, other efforts should make st                                                                             | Bad cards must make. |       5374 |        0 |     1 |         1
 Absolute, coming facts discuss other stars. Urban times will think away dirty styles. Civil, new targets purchase conse                                                                                 | Important issues liv |       5368 |        0 |     1 |         1
 Absolutely                                                                                                                                                                                              | Bad cards must make. |       5367 |        0 |     1 |         1
 Absolutely                                                                                                                                                                                              | Important issues liv |       5367 |        0 |     1 |         1
 Absolutely                                                                                                                                                                                              | Important issues liv |       5371 |        0 |     1 |         1
 Accessible, sure opportunities used to help; too good films would not see                                                                                                                               |                      |       5365 |        0 |     1 |         1
 Accountants use sensitive, happy skills. Basic travellers clean losses. Nice, particular details shall wonder there local ministers. Hitherto personal exports find primarily therefore other           | Bad cards must make. |       5372 |        0 |     1 |         1
 Accounts used to matter crucially. More than useful ha                                                                                                                                                  | Bad cards must make. |       5371 |        0 |     1 |         1
 Accurate prizes show grounds. Currently impossible losses match even more practical dogs. Large re                                                                                                      | Conventional childr  |       5358 |        0 |     1 |         1
 Across possible colleagues know even years. Much bloody families shall wor                                                                                                                              |                      |       5372 |        0 |     1 |         1
 Act                                                                                                                                                                                                     | Conventional childr  |       5369 |        0 |     1 |         1
 Active, red things shall remain from the colleagues; largely high members form barely i                                                                                                                 | Conventional childr  |       5324 |        0 |     1 |         1
 Activities promote high, key indians; english req                                                                                                                                                       | Bad cards must make. |       5343 |        0 |     1 |         1
 Activities promote high, key indians; english req                                                                                                                                                       | Doors canno          |       5343 |        0 |     1 |         1
 Activities say. Right lips resort current techniques. Regional, possible daughters might not present changes; students can notice ridiculous, l                                                         | Important issues liv |       5362 |        0 |     1 |         1
 Activities would show here. Practical                                                                                                                                                                   | Important issues liv |       5328 |        0 |     1 |         1
 Acutely good subsidies take hardly early terms. Merely magnificent areas help res                                                                                                                       | Bad cards must make. |       5356 |        0 |     1 |         1
 Added skills may undo there particular students. Old friends set as a patients. Parts provide still; superb waters could forget really in a                                                             |                      |       5366 |        0 |     1 |         1
 Adult children find. Soon main workers apply. A little immediate cont                                                                                                                                   | Conventional childr  |       5333 |        0 |     1 |         1
 Adverse things would create                                                                                                                                                                             |                      |       5372 |        0 |     1 |         1
 Advisory, black instances seem for a eggs. Russian, due resources might follow more other systems. Build                                                                                                |                      |       5357 |        0 |     1 |         1
 Afield future benefits will mean much great, full directors. Urgent elections might use that personal services; only conditions stress swiftly by the methods. New, large differences stop. Af          | Doors canno          |       5354 |        0 |     1 |         1
 Afield future benefits will mean much great, full directors. Urgent elections might use that personal services; only conditions stress swiftly by the methods. New, large differences stop. Af          | Important issues liv |       5354 |        0 |     1 |         1
 Afraid messages would record therefore years. Raw children deal worldwide. Old fee                                                                                                                      | Important issues liv |       5341 |        0 |     1 |         1
 Ag                                                                                                                                                                                                      | Conventional childr  |       5352 |        0 |     1 |         1
 Again common customers should make hardly proposals. Close groups can prevent after a cars. Physical, human banks will not roll simply for instance agricultural hours. Northern centre                 | Bad cards must make. |       5364 |        0 |     1 |         1
 Again difficult things should start there; future, english offices make high, personal lives. Models                                                                                                    | Doors canno          |       5341 |        0 |     1 |         1
 Again human powers should                                                                                                                                                                               | Important issues liv |       5335 |        0 |     1 |         1
 Again new costs extend closely capable patients. Medical doctors cannot use thus increased payments. Notes construct yet in a banks. Earnings should not sa                                             | Bad cards must make. |       5360 |        0 |     1 |         1
 Again past offices recover. Invisible, distant years pay emphatically really modern versions. Later other songs mount to a feet                                                                         | Conventional childr  |       5362 |        0 |     1 |         1
 Again pleased problems can rec                                                                                                                                                                          | Conventional childr  |       5357 |        0 |     1 |         1
 Agencies will pick different authorities. Whole, academic moments will include again perhaps other profits. Months can lay in a effects. Feet must want gentle, central sections. Even visible he       | Important issues liv |       5366 |        0 |     1 |         1
 Ages see both to an supporters. Creative sides will not make always. Groups grow therefore expensive talks. Apparent citizens survive across new, single minutes; previous, dark rivers qualify.        | Important issues liv |       5372 |        0 |     1 |         1
 Ago fundamental shares should enforce almost psychological, german schools. Arbitrary calls compete. Turkish branches should operate rapidly great, current features. Occasi                            | Important issues liv |       5369 |        0 |     1 |         1
 Ago personal clients could sound already great, enthusiastic surveys. Namely acceptable winners cry; con                                                                                                |                      |       5329 |        0 |     1 |         1
 Agricultural, cultural newspapers take long different views. American                                                                                                                                   | Conventional childr  |       5337 |        0 |     1 |         1
 A little so-called schemes verify little, gastric engineers. Great spots ought to contemplate good, only forms. Young, small sorts know preferably standards. At present small hours face in full. Othe | Conventional childr  |       5362 |        0 |     1 |         1
 All dutch seats ask systems; around wrong feet include scales; very potential years dust somehow to a studies; years cannot use. Proposed, good properties ought to bolster even as industrial fo       |                      |       5371 |        0 |     1 |         1
 All glad keys like as hours. Dual, sound properties should sign at a russians. Sudden, available clients thrive sometimes relations. Partly friendly farmers could not wa                               | Bad cards must make. |       5353 |        0 |     1 |         1
