Timing is on.
 brand_id |                       brand                        | t_hour | t_minute | ext_price 
----------+----------------------------------------------------+--------+----------+-----------
  1001002 | amalgamalg #2                                      |      8 |        4 |          
  1003002 | exportiamalg #2                                    |     19 |       29 |          
  1004001 | edu packamalg #1                                   |     17 |       28 |          
  2004002 | edu packimporto #2                                 |     17 |       37 |          
  3002001 | importoexporti #1                                  |     19 |       59 |          
  3004001 | edu packexporti #1                                 |     19 |       11 |          
  7007004 | brandbrand #4                                      |      9 |       45 |          
  8005008 | scholarnameless #8                                 |     18 |       28 |  21386.88
  3002001 | importoexporti #1                                  |      6 |       37 |  18547.92
  5002002 | importoscholar #2                                  |     17 |       38 |  16504.18
  4004001 | edu packedu pack #1                                |      6 |       37 |  14660.36
  3002001 | importoexporti #1                                  |      9 |       12 |  13152.58
  5003002 | exportischolar #2                                  |     18 |       55 |  13042.02
 10013015 | exportiamalgamalg #15                              |     18 |       22 |  12878.88
  1003001 | exportiamalg #1                                    |      7 |        5 |  12794.88
  7010009 | univnameless #9                                    |      8 |       40 |  12780.40
  6012008 | importobrand #8                                    |     17 |       53 |  12722.00
  1001002 | amalgamalg #2                                      |      7 |       34 |  12547.08
  7012003 | importonameless #3                                 |     17 |       18 |  12163.14
  7016001 | corpnameless #1                                    |     18 |       47 |  12082.50
 10004001 | edu packunivamalg #1                               |     17 |       31 |  11007.92
  1003001 | exportiamalg #1                                    |      7 |       56 |  10992.70
  1002001 | importoamalg #1                                    |      9 |       14 |  10990.90
  4004001 | edu packedu pack #1                                |     19 |        4 |  10984.55
  9015009 | scholarunivamalg #9                                |     19 |       34 |  10662.47
  5002002 | importoscholar #2                                  |     18 |       32 |  10610.79
  1002001 | importoamalg #1                                    |     19 |       25 |  10579.96
  5004002 | edu packscholar #2                                 |     18 |        3 |  10493.21
  5003001 | exportischolar #1                                  |      8 |       44 |  10465.20
  1001001 | amalgamalg #1                                      |     19 |       27 |  10258.80
  8016004 | corpmaxi #4                                        |      9 |       52 |  10246.88
  6016003 | corpbrand #3                                       |      7 |       27 |  10040.32
  3002001 | importoexporti #1                                  |     18 |       50 |   9935.10
  2001002 | amalgimporto #2                                    |     17 |       58 |   9859.68
  4001001 | amalgedu pack #1                                   |     19 |       17 |   9821.15
 10012011 | importoamalgamalg #11                              |      9 |       52 |   9716.16
  6007003 | brandcorp #3                                       |      7 |       38 |   9569.05
  3004001 | edu packexporti #1                                 |     19 |       57 |   9554.22
  9014011 | edu packunivamalg #11                              |      8 |       12 |   9521.60
  6011005 | amalgbrand #5                                      |     19 |       46 |   9485.63
  1002001 | importoamalg #1                                    |      9 |       32 |   9412.13
  7014001 | edu packnameless #1                                |      9 |       21 |   9392.88
  9013009 | exportiunivamalg #9                                |     18 |       54 |   9353.40
 10013015 | exportiamalgamalg #15                              |      9 |       54 |   9233.60
  5001002 | amalgscholar #2                                    |     17 |       33 |   9198.50
 10012011 | importoamalgamalg #11                              |     18 |       34 |   9158.24
  2001002 | amalgimporto #2                                    |     17 |       35 |   9097.14
  7016001 | corpnameless #1                                    |      9 |       49 |   9047.87
  7016001 | corpnameless #1                                    |     18 |       15 |   8940.80
  5003001 | exportischolar #1                                  |     19 |       12 |   8862.30
  8013007 | exportimaxi #7                                     |      9 |       18 |   8849.61
  1003002 | exportiamalg #2                                    |      8 |       41 |   8728.32
 10015013 | scholaramalgamalg #13                              |      7 |        1 |   8692.11
  5003001 | exportischolar #1                                  |     17 |       37 |   8682.24
  8004009 | edu packnameless #9                                |     19 |       32 |   8616.87
  1003001 | exportiamalg #1                                    |     18 |        0 |   8475.20
  9008005 | namelessmaxi #5                                    |      8 |       50 |   8461.32
  1003002 | exportiamalg #2                                    |      9 |       26 |   8340.75
  6012005 | importobrand #5                                    |      6 |       33 |   8196.32
  2003001 | exportiimporto #1                                  |      8 |       20 |   8136.00
  2003001 | exportiimporto #1                                  |     18 |       18 |   7951.50
  5003002 | exportischolar #2                                  |     18 |       14 |   7919.48
  6008005 | namelesscorp #5                                    |     17 |        9 |   7826.00
  5003002 | exportischolar #2                                  |      8 |        1 |   7752.84
  6002005 | importocorp #5                                     |      9 |       30 |   7750.80
  1002001 | importoamalg #1                                    |     18 |       40 |   7682.64
  2003002 | exportiimporto #2                                  |     19 |       38 |   7637.16
  7010009 | univnameless #9                                    |      7 |       18 |   7563.24
  6008007 | namelesscorp #7                                    |      9 |       48 |   7555.95
 10015004 | scholaramalgamalg #4                               |     18 |       15 |   7484.61
  1002002 | importoamalg #2                                    |      9 |       41 |   7454.37
 10003016 | exportiunivamalg #16                               |      6 |       11 |   7450.88
  1002002 | importoamalg #2                                    |      8 |       22 |   7378.40
  7008009 | namelessbrand #9                                   |     19 |       35 |   7348.73
  1004002 | edu packamalg #2                                   |     18 |       16 |   7322.88
 10010013 | univamalgamalg #13                                 |      8 |       51 |   7248.84
  8005008 | scholarnameless #8                                 |     18 |        3 |   7231.68
  3003002 | exportiexporti #2                                  |     18 |       39 |   7179.48
  1001002 | amalgamalg #2                                      |     17 |       18 |   7152.04
  6011005 | amalgbrand #5                                      |     19 |       37 |   7140.05
  5001001 | amalgscholar #1                                    |     18 |        7 |   7114.15
  3001001 | amalgexporti #1                                    |      9 |       21 |   7113.60
  5001002 | amalgscholar #2                                    |     18 |       24 |   7103.60
 10015013 | scholaramalgamalg #13                              |     19 |       32 |   7088.76
  1003002 | exportiamalg #2                                    |     17 |       21 |   7073.97
  7016001 | corpnameless #1                                    |      8 |        0 |   7029.64
  1003001 | exportiamalg #1                                    |      8 |        1 |   6934.20
  5003001 | exportischolar #1                                  |     19 |       39 |   6908.22
  5004002 | edu packscholar #2                                 |      9 |       12 |   6888.75
  3003002 | exportiexporti #2                                  |      9 |       24 |   6806.40
  5003002 | exportischolar #2                                  |     18 |       13 |   6761.92
  1002002 | importoamalg #2                                    |     17 |        7 |   6753.66
  5002001 | importoscholar #1                                  |     17 |        1 |   6723.64
  6016003 | corpbrand #3                                       |      9 |       47 |   6706.95
  5003002 | exportischolar #2                                  |     17 |       23 |   6699.06
  2002001 | importoimporto #1                                  |     19 |       43 |   6599.59
  4004001 | edu packedu pack #1                                |     18 |       26 |   6553.16
  4004002 | edu packedu pack #2                                |      9 |        3 |   6550.32
  1004001 | edu packamalg #1                                   |      8 |       55 |   6526.48
