Timing is on.
 ca_state | cd_gender | cd_marital_status | cd_dep_count | cnt1 | max | sum | max | cd_dep_employed_count | cnt2 | max | sum | max | cd_dep_college_count | cnt3 | max | sum | max 
----------+-----------+-------------------+--------------+------+-----+-----+-----+-----------------------+------+-----+-----+-----+----------------------+------+-----+-----+-----
 AK       | F         | D                 |            0 |    1 |   0 |   0 |   0 |                     2 |    1 |   2 |   2 |   2 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | D                 |            0 |    1 |   0 |   0 |   0 |                     6 |    1 |   6 |   6 |   6 |                    5 |    1 |   5 |   5 |   5
 AK       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     1 |    1 |   1 |   1 |   1 |                    5 |    1 |   5 |   5 |   5
 AK       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     3 |    1 |   3 |   3 |   3 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | D                 |            2 |    1 |   2 |   2 |   2 |                     3 |    1 |   3 |   3 |   3 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | D                 |            3 |    1 |   3 |   3 |   3 |                     1 |    1 |   1 |   1 |   1 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | D                 |            4 |    1 |   4 |   4 |   4 |                     4 |    1 |   4 |   4 |   4 |                    0 |    1 |   0 |   0 |   0
 AK       | F         | D                 |            5 |    1 |   5 |   5 |   5 |                     3 |    1 |   3 |   3 |   3 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | D                 |            6 |    1 |   6 |   6 |   6 |                     4 |    1 |   4 |   4 |   4 |                    4 |    1 |   4 |   4 |   4
 AK       | F         | D                 |            6 |    1 |   6 |   6 |   6 |                     5 |    1 |   5 |   5 |   5 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | M                 |            0 |    1 |   0 |   0 |   0 |                     0 |    1 |   0 |   0 |   0 |                    3 |    1 |   3 |   3 |   3
 AK       | F         | M                 |            2 |    1 |   2 |   2 |   2 |                     1 |    1 |   1 |   1 |   1 |                    4 |    1 |   4 |   4 |   4
 AK       | F         | M                 |            2 |    1 |   2 |   2 |   2 |                     5 |    1 |   5 |   5 |   5 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | M                 |            3 |    1 |   3 |   3 |   3 |                     1 |    1 |   1 |   1 |   1 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | M                 |            3 |    1 |   3 |   3 |   3 |                     2 |    1 |   2 |   2 |   2 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | M                 |            3 |    1 |   3 |   3 |   3 |                     3 |    1 |   3 |   3 |   3 |                    0 |    1 |   0 |   0 |   0
 AK       | F         | M                 |            5 |    1 |   5 |   5 |   5 |                     4 |    1 |   4 |   4 |   4 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | M                 |            6 |    1 |   6 |   6 |   6 |                     0 |    1 |   0 |   0 |   0 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | M                 |            6 |    1 |   6 |   6 |   6 |                     4 |    1 |   4 |   4 |   4 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | S                 |            1 |    1 |   1 |   1 |   1 |                     5 |    1 |   5 |   5 |   5 |                    4 |    1 |   4 |   4 |   4
 AK       | F         | S                 |            1 |    1 |   1 |   1 |   1 |                     6 |    1 |   6 |   6 |   6 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | S                 |            2 |    1 |   2 |   2 |   2 |                     1 |    1 |   1 |   1 |   1 |                    3 |    1 |   3 |   3 |   3
 AK       | F         | S                 |            2 |    1 |   2 |   2 |   2 |                     2 |    1 |   2 |   2 |   2 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | S                 |            3 |    1 |   3 |   3 |   3 |                     5 |    1 |   5 |   5 |   5 |                    3 |    1 |   3 |   3 |   3
 AK       | F         | S                 |            4 |    1 |   4 |   4 |   4 |                     2 |    1 |   2 |   2 |   2 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | S                 |            4 |    1 |   4 |   4 |   4 |                     4 |    1 |   4 |   4 |   4 |                    4 |    1 |   4 |   4 |   4
 AK       | F         | S                 |            5 |    1 |   5 |   5 |   5 |                     1 |    1 |   1 |   1 |   1 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | S                 |            6 |    1 |   6 |   6 |   6 |                     5 |    1 |   5 |   5 |   5 |                    0 |    1 |   0 |   0 |   0
 AK       | F         | S                 |            6 |    1 |   6 |   6 |   6 |                     5 |    1 |   5 |   5 |   5 |                    4 |    1 |   4 |   4 |   4
 AK       | F         | S                 |            6 |    1 |   6 |   6 |   6 |                     6 |    1 |   6 |   6 |   6 |                    0 |    1 |   0 |   0 |   0
 AK       | F         | U                 |            0 |    1 |   0 |   0 |   0 |                     1 |    1 |   1 |   1 |   1 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | U                 |            2 |    1 |   2 |   2 |   2 |                     1 |    1 |   1 |   1 |   1 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | U                 |            2 |    1 |   2 |   2 |   2 |                     5 |    1 |   5 |   5 |   5 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | U                 |            3 |    1 |   3 |   3 |   3 |                     5 |    1 |   5 |   5 |   5 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | U                 |            6 |    1 |   6 |   6 |   6 |                     0 |    1 |   0 |   0 |   0 |                    4 |    1 |   4 |   4 |   4
 AK       | F         | U                 |            6 |    1 |   6 |   6 |   6 |                     4 |    1 |   4 |   4 |   4 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | W                 |            1 |    1 |   1 |   1 |   1 |                     3 |    1 |   3 |   3 |   3 |                    2 |    1 |   2 |   2 |   2
 AK       | F         | W                 |            1 |    1 |   1 |   1 |   1 |                     4 |    1 |   4 |   4 |   4 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | W                 |            2 |    2 |   2 |   4 |   2 |                     1 |    2 |   1 |   2 |   1 |                    6 |    2 |   6 |  12 |   6
 AK       | F         | W                 |            2 |    1 |   2 |   2 |   2 |                     3 |    1 |   3 |   3 |   3 |                    6 |    1 |   6 |   6 |   6
 AK       | F         | W                 |            3 |    1 |   3 |   3 |   3 |                     0 |    1 |   0 |   0 |   0 |                    3 |    1 |   3 |   3 |   3
 AK       | F         | W                 |            3 |    1 |   3 |   3 |   3 |                     1 |    1 |   1 |   1 |   1 |                    5 |    1 |   5 |   5 |   5
 AK       | F         | W                 |            6 |    1 |   6 |   6 |   6 |                     0 |    1 |   0 |   0 |   0 |                    1 |    1 |   1 |   1 |   1
 AK       | F         | W                 |            6 |    1 |   6 |   6 |   6 |                     1 |    1 |   1 |   1 |   1 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | D                 |            1 |    1 |   1 |   1 |   1 |                     6 |    1 |   6 |   6 |   6 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | D                 |            2 |    1 |   2 |   2 |   2 |                     0 |    1 |   0 |   0 |   0 |                    3 |    1 |   3 |   3 |   3
 AK       | M         | D                 |            2 |    1 |   2 |   2 |   2 |                     6 |    1 |   6 |   6 |   6 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | D                 |            5 |    1 |   5 |   5 |   5 |                     1 |    1 |   1 |   1 |   1 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | D                 |            5 |    1 |   5 |   5 |   5 |                     3 |    1 |   3 |   3 |   3 |                    4 |    1 |   4 |   4 |   4
 AK       | M         | D                 |            6 |    1 |   6 |   6 |   6 |                     5 |    1 |   5 |   5 |   5 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | M                 |            0 |    1 |   0 |   0 |   0 |                     0 |    1 |   0 |   0 |   0 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | M                 |            2 |    1 |   2 |   2 |   2 |                     0 |    1 |   0 |   0 |   0 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | M                 |            2 |    1 |   2 |   2 |   2 |                     3 |    1 |   3 |   3 |   3 |                    2 |    1 |   2 |   2 |   2
 AK       | M         | M                 |            3 |    1 |   3 |   3 |   3 |                     5 |    1 |   5 |   5 |   5 |                    6 |    1 |   6 |   6 |   6
 AK       | M         | M                 |            4 |    1 |   4 |   4 |   4 |                     5 |    1 |   5 |   5 |   5 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | M                 |            5 |    1 |   5 |   5 |   5 |                     1 |    1 |   1 |   1 |   1 |                    2 |    1 |   2 |   2 |   2
 AK       | M         | S                 |            0 |    1 |   0 |   0 |   0 |                     5 |    1 |   5 |   5 |   5 |                    3 |    1 |   3 |   3 |   3
 AK       | M         | S                 |            1 |    1 |   1 |   1 |   1 |                     4 |    1 |   4 |   4 |   4 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | S                 |            1 |    1 |   1 |   1 |   1 |                     5 |    1 |   5 |   5 |   5 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | S                 |            1 |    1 |   1 |   1 |   1 |                     6 |    1 |   6 |   6 |   6 |                    6 |    1 |   6 |   6 |   6
 AK       | M         | S                 |            2 |    1 |   2 |   2 |   2 |                     0 |    1 |   0 |   0 |   0 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | S                 |            2 |    1 |   2 |   2 |   2 |                     1 |    1 |   1 |   1 |   1 |                    4 |    1 |   4 |   4 |   4
 AK       | M         | S                 |            4 |    1 |   4 |   4 |   4 |                     3 |    1 |   3 |   3 |   3 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | S                 |            4 |    1 |   4 |   4 |   4 |                     6 |    1 |   6 |   6 |   6 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | S                 |            5 |    1 |   5 |   5 |   5 |                     6 |    1 |   6 |   6 |   6 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | S                 |            6 |    1 |   6 |   6 |   6 |                     0 |    1 |   0 |   0 |   0 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | S                 |            6 |    1 |   6 |   6 |   6 |                     1 |    1 |   1 |   1 |   1 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | U                 |            3 |    1 |   3 |   3 |   3 |                     2 |    1 |   2 |   2 |   2 |                    4 |    1 |   4 |   4 |   4
 AK       | M         | U                 |            3 |    1 |   3 |   3 |   3 |                     5 |    1 |   5 |   5 |   5 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | U                 |            4 |    1 |   4 |   4 |   4 |                     5 |    1 |   5 |   5 |   5 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | U                 |            5 |    1 |   5 |   5 |   5 |                     4 |    1 |   4 |   4 |   4 |                    4 |    1 |   4 |   4 |   4
 AK       | M         | W                 |            1 |    1 |   1 |   1 |   1 |                     1 |    1 |   1 |   1 |   1 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | W                 |            1 |    1 |   1 |   1 |   1 |                     5 |    1 |   5 |   5 |   5 |                    5 |    1 |   5 |   5 |   5
 AK       | M         | W                 |            2 |    1 |   2 |   2 |   2 |                     3 |    1 |   3 |   3 |   3 |                    1 |    1 |   1 |   1 |   1
 AK       | M         | W                 |            3 |    1 |   3 |   3 |   3 |                     5 |    1 |   5 |   5 |   5 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | W                 |            5 |    1 |   5 |   5 |   5 |                     4 |    1 |   4 |   4 |   4 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | W                 |            6 |    1 |   6 |   6 |   6 |                     0 |    1 |   0 |   0 |   0 |                    0 |    1 |   0 |   0 |   0
 AK       | M         | W                 |            6 |    1 |   6 |   6 |   6 |                     6 |    1 |   6 |   6 |   6 |                    6 |    1 |   6 |   6 |   6
 AL       | F         | D                 |            0 |    2 |   0 |   0 |   0 |                     2 |    2 |   2 |   4 |   2 |                    0 |    2 |   0 |   0 |   0
 AL       | F         | D                 |            0 |    1 |   0 |   0 |   0 |                     3 |    1 |   3 |   3 |   3 |                    6 |    1 |   6 |   6 |   6
 AL       | F         | D                 |            0 |    1 |   0 |   0 |   0 |                     6 |    1 |   6 |   6 |   6 |                    0 |    1 |   0 |   0 |   0
 AL       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     1 |    1 |   1 |   1 |   1 |                    6 |    1 |   6 |   6 |   6
 AL       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     3 |    1 |   3 |   3 |   3 |                    3 |    1 |   3 |   3 |   3
 AL       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     5 |    1 |   5 |   5 |   5 |                    4 |    1 |   4 |   4 |   4
 AL       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     5 |    1 |   5 |   5 |   5 |                    6 |    1 |   6 |   6 |   6
 AL       | F         | D                 |            1 |    1 |   1 |   1 |   1 |                     6 |    1 |   6 |   6 |   6 |                    1 |    1 |   1 |   1 |   1
 AL       | F         | D                 |            2 |    1 |   2 |   2 |   2 |                     3 |    1 |   3 |   3 |   3 |                    0 |    1 |   0 |   0 |   0
 AL       | F         | D                 |            2 |    1 |   2 |   2 |   2 |                     4 |    1 |   4 |   4 |   4 |                    0 |    1 |   0 |   0 |   0
 AL       | F         | D                 |            2 |    1 |   2 |   2 |   2 |                     4 |    1 |   4 |   4 |   4 |                    4 |    1 |   4 |   4 |   4
 AL       | F         | D                 |            3 |    1 |   3 |   3 |   3 |                     5 |    1 |   5 |   5 |   5 |                    0 |    1 |   0 |   0 |   0
 AL       | F         | D                 |            3 |    1 |   3 |   3 |   3 |                     6 |    1 |   6 |   6 |   6 |                    2 |    1 |   2 |   2 |   2
 AL       | F         | D                 |            4 |    1 |   4 |   4 |   4 |                     2 |    1 |   2 |   2 |   2 |                    3 |    1 |   3 |   3 |   3
 AL       | F         | D                 |            4 |    1 |   4 |   4 |   4 |                     6 |    1 |   6 |   6 |   6 |                    5 |    1 |   5 |   5 |   5
 AL       | F         | D                 |            4 |    1 |   4 |   4 |   4 |                     6 |    1 |   6 |   6 |   6 |                    6 |    1 |   6 |   6 |   6
 AL       | F         | D                 |            5 |    1 |   5 |   5 |   5 |                     0 |    1 |   0 |   0 |   0 |                    2 |    1 |   2 |   2 |   2
 AL       | F         | D                 |            5 |    1 |   5 |   5 |   5 |                     1 |    1 |   1 |   1 |   1 |                    4 |    1 |   4 |   4 |   4
 AL       | F         | D                 |            5 |    1 |   5 |   5 |   5 |                     3 |    1 |   3 |   3 |   3 |                    4 |    1 |   4 |   4 |   4
 AL       | F         | D                 |            5 |    1 |   5 |   5 |   5 |                     6 |    1 |   6 |   6 |   6 |                    0 |    1 |   0 |   0 |   0
 AL       | F         | D                 |            5 |    1 |   5 |   5 |   5 |                     6 |    1 |   6 |   6 |   6 |                    1 |    1 |   1 |   1 |   1
 AL       | F         | D                 |            6 |    1 |   6 |   6 |   6 |                     2 |    1 |   2 |   2 |   2 |                    5 |    1 |   5 |   5 |   5
(100 rows)

Time: 2665,678 ms (00:02,666)
