Timing is on.
     channel     | id  |     sales     |   returns   |    profit     
-----------------+-----+---------------+-------------+---------------
 catalog channel |   1 |  383584663.70 |  6993649.36 |  -43754509.06
 catalog channel |   2 |  367449955.39 |  6993649.36 |  -46078717.80
 catalog channel |   4 |  372497821.29 |  6993649.36 |  -40217726.51
 catalog channel |   7 |  381214088.29 |  6993649.36 |  -43712782.97
 catalog channel |   8 |  381749970.14 |  6993649.36 |  -37957228.83
 catalog channel |  10 |  397323843.56 |  6993649.36 |  -39748479.69
 catalog channel |     |    2823272.27 |  6993649.36 |   -4595386.12
 catalog channel |     | 2286643614.64 | 48955545.52 | -256064830.98
 store channel   |   1 |   21517429.70 |   518470.64 |   -9857016.48
 store channel   |   2 |   22973084.58 |   551824.88 |  -10062988.86
 store channel   |   4 |   20846626.65 |   518381.56 |   -9247064.41
 store channel   |   7 |   20992354.33 |   534129.14 |   -9538789.98
 store channel   |   8 |   21637792.57 |   534883.37 |   -9967063.55
 store channel   |  10 |   21887667.31 |   517004.85 |   -9677188.43
 store channel   |  13 |   21253264.89 |   488161.41 |   -9621685.42
 store channel   |  14 |   21374098.98 |   478685.16 |   -9744605.89
 store channel   |  16 |   22652136.48 |   491381.21 |   -9792579.94
 store channel   |  19 |   21754449.03 |   576530.75 |   -9875414.84
 store channel   |  20 |   22699039.82 |   490563.24 |  -10175903.82
 store channel   |  22 |   21920459.71 |   544784.73 |   -9857952.15
 store channel   |  25 |   21391663.95 |   577116.74 |   -9576625.47
 store channel   |  26 |   20468028.15 |   479145.61 |   -9232472.61
 store channel   |  28 |   21989290.89 |   483687.65 |  -10044423.00
 store channel   |  31 |   21970033.08 |   487763.50 |   -9884767.21
 store channel   |  32 |   20678514.95 |   562276.80 |   -9543419.77
 store channel   |  34 |   20996176.69 |   593017.17 |   -9268542.57
 store channel   |  37 |   21460995.26 |   496630.50 |   -9428537.13
 store channel   |  38 |   22746160.62 |   645748.79 |  -10185092.75
 store channel   |  40 |   22217115.79 |   519609.21 |   -9891895.51
 store channel   |     |  455426383.43 | 11089796.91 | -204474029.79
 web channel     |   1 |    2949351.02 |    31558.02 |    -288138.30
 web channel     |   2 |    2735411.54 |    29357.37 |    -347499.84
 web channel     |   4 |    2900313.72 |    45147.96 |    -239762.82
 web channel     |   7 |    3046384.36 |    28400.87 |    -235881.60
 web channel     |   8 |    2797363.29 |    45365.30 |    -383127.22
 web channel     |  10 |    3117830.53 |    55760.02 |    -359882.33
 web channel     |  13 |    2829949.04 |    46262.60 |    -367530.32
 web channel     |  14 |    3090265.75 |    51684.31 |    -336066.35
 web channel     |  16 |    2930215.54 |    40554.40 |    -426241.72
 web channel     |  19 |    3107745.31 |    54098.57 |    -269790.26
 web channel     |  20 |    2840773.91 |    27425.31 |    -435274.73
 web channel     |  22 |    3177836.91 |    50591.90 |    -257364.89
 web channel     |  25 |    2712384.85 |    22904.70 |    -402084.24
 web channel     |  26 |    3243512.09 |    30407.33 |    -417689.71
 web channel     |  28 |    2734149.64 |    66032.23 |    -366653.02
 web channel     |  31 |    3043410.75 |    36487.49 |    -398421.35
 web channel     |  32 |    2940060.63 |    39139.25 |    -292419.28
 web channel     |  34 |    2812499.20 |    60067.31 |    -320429.09
 web channel     |  37 |    2981955.85 |    38755.37 |    -313891.73
 web channel     |  38 |    3136774.54 |    76405.35 |    -312207.03
 web channel     |  40 |    3071424.95 |    27255.96 |    -416626.05
 web channel     |  43 |    3166291.00 |    41062.97 |    -390883.67
 web channel     |  44 |    2864274.68 |    31391.20 |    -278609.02
 web channel     |  46 |    3171893.50 |    46562.77 |    -263259.56
 web channel     |  49 |    2740278.10 |    55778.06 |    -338615.93
 web channel     |  50 |    2894546.89 |    51604.14 |    -393972.26
 web channel     |  52 |    3104350.18 |    21844.33 |    -395084.81
