Timing is on.
     channel     | id |    sales     |   returns   |    profit    
-----------------+----+--------------+-------------+--------------
 catalog channel |  1 | 104754930.96 |  1687844.83 | -10683425.10
 catalog channel |  2 | 107780581.56 |  1687844.83 | -12009064.26
 catalog channel |  4 | 109179100.64 |  1687844.83 | -12609058.62
 catalog channel |    |    785754.00 |  1687844.83 |  -1036021.46
 catalog channel |    | 322500367.16 |  6751379.32 | -36337569.44
 store channel   |  1 |  18073229.69 |   455517.11 |  -7765332.95
 store channel   |  2 |  19915410.24 |   490570.29 |  -8915862.93
 store channel   |  4 |  19526366.90 |   487884.20 |  -8685517.09
 store channel   |  7 |  18395398.92 |   435324.35 |  -8354287.76
 store channel   |  8 |  19137316.47 |   526943.79 |  -8647500.59
 store channel   | 10 |  19622806.30 |   429437.59 |  -8736096.20
 store channel   |    | 114670528.52 |  2825677.33 | -51104597.52
 web channel     |  1 |   1339433.83 |    18413.39 |   -129259.55
 web channel     |  2 |   1314497.45 |    21971.27 |   -269538.82
 web channel     |  4 |   1410630.11 |    23644.41 |   -141138.94
 web channel     |  7 |   1471275.64 |    16673.52 |   -159996.24
 web channel     |  8 |   1429594.54 |    19476.50 |    -83752.32
 web channel     | 10 |   1345535.31 |    17523.40 |   -101482.03
 web channel     | 13 |   1509209.58 |    24432.33 |   -121997.61
 web channel     | 14 |   1293854.34 |    27528.32 |   -109070.23
 web channel     | 16 |   1259977.48 |    12902.80 |   -168610.90
 web channel     | 19 |   1260227.07 |    19886.02 |   -155329.10
 web channel     | 20 |   1400714.38 |    26533.21 |   -117151.63
 web channel     | 22 |   1383166.83 |    13920.95 |   -175614.62
 web channel     | 25 |   1302852.19 |    23356.17 |   -241796.80
 web channel     | 26 |   1360483.08 |    14433.51 |   -189339.19
 web channel     | 28 |   1404580.40 |    21537.15 |   -180414.59
 web channel     | 31 |   1401133.96 |    33192.59 |   -183238.57
 web channel     | 32 |   1372339.23 |    24759.85 |   -124289.74
 web channel     | 34 |   1343820.13 |    20383.26 |   -151534.12
 web channel     | 37 |   1232690.68 |    24688.52 |    -82505.03
 web channel     | 38 |   1502145.73 |    19766.90 |   -133788.29
 web channel     | 40 |   1420866.10 |    13967.60 |   -143802.06
 web channel     | 43 |   1220953.76 |    12969.80 |   -268725.63
 web channel     | 44 |   1389488.31 |     9466.20 |    -79573.36
 web channel     | 46 |   1363059.20 |    20460.80 |   -150200.17
 web channel     | 49 |   1485320.10 |    17859.34 |   -171572.44
 web channel     | 50 |   1371703.13 |    25779.61 |    -90651.16
 web channel     | 52 |   1393690.64 |    23775.99 |   -158927.89
 web channel     | 55 |   1519563.23 |    33466.05 |   -128791.68
 web channel     | 56 |   1397833.31 |     6835.23 |   -107734.36
 web channel     | 58 |   1124974.31 |    31769.58 |   -196479.08
 web channel     |    |  41025614.05 |   621374.27 |  -4516306.15
                 |    | 478196509.73 | 10198430.92 | -91958473.11
(44 rows)

Time: 1095,318 ms (00:01,095)
