Timing is on.
  total_sum   |                     i_category                     |                      i_class                       | lochierarchy | rank_within_parent 
--------------+----------------------------------------------------+----------------------------------------------------+--------------+--------------------
 328362001.94 |                                                    |                                                    |            2 |                  1
  34038367.46 | Shoes                                              |                                                    |            1 |                  1
  33801679.53 | Sports                                             |                                                    |            1 |                  2
  33475020.41 | Home                                               |                                                    |            1 |                  3
  33100863.55 | Women                                              |                                                    |            1 |                  4
  32973694.67 | Men                                                |                                                    |            1 |                  5
  32789679.89 | Electronics                                        |                                                    |            1 |                  6
  32648307.55 | Children                                           |                                                    |            1 |                  7
  32592532.12 | Music                                              |                                                    |            1 |                  8
  31929768.59 | Books                                              |                                                    |            1 |                  9
  30319478.05 | Jewelry                                            |                                                    |            1 |                 10
    692610.12 |                                                    |                                                    |            1 |                 11
   2747436.92 | Books                                              | computers                                          |            0 |                  1
   2511213.00 | Books                                              | reference                                          |            0 |                  2
   2375711.73 | Books                                              | fiction                                            |            0 |                  3
   2308886.12 | Books                                              | home repair                                        |            0 |                  4
   2212007.95 | Books                                              | sports                                             |            0 |                  5
   2176823.53 | Books                                              | travel                                             |            0 |                  6
   2006097.34 | Books                                              | entertainments                                     |            0 |                  7
   1943498.92 | Books                                              | self-help                                          |            0 |                  8
   1923189.08 | Books                                              | business                                           |            0 |                  9
   1915069.13 | Books                                              | romance                                            |            0 |                 10
   1862428.47 | Books                                              | history                                            |            0 |                 11
   1847202.41 | Books                                              | parenting                                          |            0 |                 12
   1590681.87 | Books                                              | mystery                                            |            0 |                 13
   1586212.84 | Books                                              | cooking                                            |            0 |                 14
   1514572.75 | Books                                              | arts                                               |            0 |                 15
   1408736.53 | Books                                              | science                                            |            0 |                 16
   8655956.35 | Children                                           | newborn                                            |            0 |                  1
   8482642.17 | Children                                           | school-uniforms                                    |            0 |                  2
   7861311.18 | Children                                           | toddlers                                           |            0 |                  3
   7630047.02 | Children                                           | infants                                            |            0 |                  4
     18350.83 | Children                                           |                                                    |            0 |                  5
   2617436.50 | Electronics                                        | stereo                                             |            0 |                  1
   2424884.00 | Electronics                                        | karoke                                             |            0 |                  2
   2338291.47 | Electronics                                        | dvd/vcr players                                    |            0 |                  3
   2152986.85 | Electronics                                        | audio                                              |            0 |                  4
   2124511.03 | Electronics                                        | monitors                                           |            0 |                  5
   2108958.74 | Electronics                                        | memory                                             |            0 |                  6
   2098803.75 | Electronics                                        | cameras                                            |            0 |                  7
   2067560.97 | Electronics                                        | televisions                                        |            0 |                  8
   2033361.30 | Electronics                                        | camcorders                                         |            0 |                  9
   1971127.86 | Electronics                                        | musical                                            |            0 |                 10
   1868660.87 | Electronics                                        | personal                                           |            0 |                 11
   1867270.79 | Electronics                                        | wireless                                           |            0 |                 12
   1829821.61 | Electronics                                        | disk drives                                        |            0 |                 13
   1804877.54 | Electronics                                        | portable                                           |            0 |                 14
   1776754.21 | Electronics                                        | automotive                                         |            0 |                 15
   1704372.40 | Electronics                                        | scanners                                           |            0 |                 16
   3027250.95 | Home                                               | glassware                                          |            0 |                  1
   2771474.97 | Home                                               | bedding                                            |            0 |                  2
   2599476.09 | Home                                               | tables                                             |            0 |                  3
   2336140.52 | Home                                               | curtains/drapes                                    |            0 |                  4
   2228189.20 | Home                                               | wallpaper                                          |            0 |                  5
   2144373.03 | Home                                               | accent                                             |            0 |                  6
   2142589.41 | Home                                               | decor                                              |            0 |                  7
   2052187.15 | Home                                               | lighting                                           |            0 |                  8
   2030776.05 | Home                                               | rugs                                               |            0 |                  9
   1960219.03 | Home                                               | paint                                              |            0 |                 10
