Timing is on.
 s_store_name |                                                                                               i_item_desc                                                                                                | revenue | i_current_price | i_wholesale_cost |                      i_brand                       
--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+-----------------+------------------+----------------------------------------------------
 able         | A                                                                                                                                                                                                        |    5.50 |            0.17 |             3.17 | importoimporto #2                                 
 able         | Abilities approach. Affairs study now remarkable funds. Policies exercise considerable, recent                                                                                                           |   11.82 |            4.57 |             2.33 | exportischolar #2                                 
 able         | Able artists love all classical, roman runs. British childre                                                                                                                                             |    6.25 |            2.02 |             8.44 | corpamalgamalg #7                                 
 able         | Able considerations may end even; financial, useful courts ought to dominate however. Daily, concerned interests should come clean, local services. More unlikely tea                                    |   18.80 |            7.85 |             2.45 | importoscholar #2                                 
 able         | Able considerations may end even; financial, useful courts ought to dominate however. Daily, concerned interests should come clean, local services. More unlikely tea                                    |    8.00 |            7.85 |             2.45 | importoscholar #2                                 
 able         | Able facilities clear thus good dete                                                                                                                                                                     |   16.78 |            3.82 |             1.41 | exportiexporti #2                                 
 able         | Able, good places used to see very by an homes. Shows trouble very details. Principal papers secure only able, difficult choices. Here american feet achieve ever from a camps.                          |    8.42 |            5.27 |             0.78 | corpunivamalg #6                                  
 able         | Able levels may store changes. General reasons may not make mostly total copies. Knowingly different decades pass together organisa                                                                      |   10.01 |            4.52 |             1.94 | edu packedu pack #1                               
 able         | Able, main parties think really. Resources arrive only independent, old representations. Small, double advantages                                                                                        |    8.39 |            2.38 |             1.83 | amalgnameless #2                                  
 able         | Able, normal proceedings contain fresh places. Requirements go. Sales will fall consequen                                                                                                                |   14.09 |            2.69 |             8.26 | edu packscholar #2                                
 able         | About social experiments open genuinely with the activities. Wonderful cases might                                                                                                                       |   10.59 |            3.20 |             0.51 | amalgnameless #8                                  
 able         | About traditi                                                                                                                                                                                            |    1.80 |           27.50 |            17.60 | amalgscholar #1                                   
 able         | About wonderful risks decline fresh devices. Here christian men must see now politically desirable provisions. More scientific parents ought to sell ago ol                                              |   13.77 |            2.64 |             1.84 | corpmaxi #5                                       
 able         | Absolutely elegant women must gain well complete                                                                                                                                                         |   11.18 |            1.77 |            29.47 | scholarmaxi #8                                    
 able         | Absolutely existing requirements r                                                                                                                                                                       |    9.29 |            9.63 |             3.56 | amalgscholar #2                                   
 able         | Accessible, real efforts help less matters. Words might not explore limits. Creditors might meet. High, suitable hands derive already applications; other adults get much before                         |   10.17 |            9.05 |             1.03 | edu packunivamalg #15                             
 able         | Accordingly different fai                                                                                                                                                                                |   15.68 |            1.12 |             2.44 | edu packamalg #2                                  
 able         | Across possible colleagues know even years. Much bloody families shall wor                                                                                                                               |    8.00 |            0.85 |             2.79 | corpnameless #1                                   
 able         | Actions provide into a reasons. Representatives keep artists. Again anxious investi                                                                                                                      |   14.20 |            2.14 |             1.28 | amalgbrand #4                                     
 able         | Active lights s                                                                                                                                                                                          |    0.46 |            6.73 |             5.51 | exportischolar #2                                 
 able         | Active plants need necessary, widespread roads. Best back visits hold regularly fresh friend                                                                                                             |   17.44 |           41.73 |             0.25 | exportiamalgamalg #12                             
 able         | Actually functional benefits rival much different officials; strong, similar mothers appear even previously foreign things. Surprising, v                                                                |    1.51 |            4.29 |             3.86 | amalgimporto #1                                   
 able         | Actual members stop mediterranean men. Moral, international strings assist constantly foods. Clear concerned movements could renew sometimes services. Right advantages ensure long main children        |   18.76 |            4.22 |             3.41 | exportiexporti #1                                 
 able         | Acutely good subsidies take hardly early terms. Merely magnificent areas help res                                                                                                                        |    5.89 |            2.09 |             0.32 | importomaxi #8                                    
 able         | Additional hours will put. Beneficial communities would not talk probably controls. At least bare links serve very details. Years would get commonly particular, sure aims. Current,                     |    1.72 |            5.79 |             1.66 | amalgunivamalg #11                                
 able         | Adequately great worlds shall recall personal, sophisticated rooms. Human members see                                                                                                                    |   12.00 |            6.59 |             3.03 | scholaramalgamalg #7                              
 able         | Adults shall not tell with a minerals; new clients would not make also obvious societies. Proper models prove by the activities; rough factors can work already chief aspirations. Less different        |    3.18 |            2.89 |             5.67 | amalgexporti #2                                   
 able         | Af                                                                                                                                                                                                       |   10.65 |            4.84 |            32.72 | exportiamalg #1                                   
 able         | African colleges wander already                                                                                                                                                                          |    9.86 |            1.99 |             1.57 | maxiunivamalg #12                                 
 able         | African minutes consider else critical, christian years. Normal, similar runs may not open even. Appearances shall not g                                                                                 |   11.56 |            3.48 |             1.11 | brandmaxi #12                                     
 able         | Again afraid friends expose pairs; women tend additional churches. Only good criticisms think welcome, appropriate points. More private packages choose less relati                                      |    7.27 |            7.10 |             4.89 | corpunivamalg #6                                  
 able         | Again available costs could try there. No longer wrong pupils prove inadvertently european, civil times. Words turn as biological fears. Either magnetic benefits produce clearly on                     |   15.37 |            4.91 |             2.06 | importoamalg #2                                   
 able         | Again late                                                                                                                                                                                               |    9.55 |            3.81 |             0.73 | amalgimporto #2                                   
 able         | Again new costs extend closely capable patients. Medical doctors cannot use thus increased payments. Notes construct yet in a banks. Earnings should not sa                                              |   13.17 |            9.46 |             1.74 | corpbrand #5                                      
 able         | Again new costs extend closely capable patients. Medical doctors cannot use thus increased payments. Notes construct yet in a banks. Earnings should not sa                                              |   16.95 |            9.46 |             1.74 | corpbrand #5                                      
 able         | Again old rates could not bounce in between top small materials. Appropriate, whole fingers total above japanese difficulties. Odd, possible homes help indeed full feelings. Colleagues incl            |   14.39 |            8.35 |             3.59 | edu packcorp #7                                   
 able         | Agents will not follow convincingly neatly different beliefs. Public shadows put even separate, tall associations. Hills would vote direct conventional                                                  |   10.58 |            9.09 |             3.36 | corpnameless #7                                   
 able         | Ages cannot relate most to a hours. Rough shareholders bear grey, front years; driver                                                                                                                    |   16.94 |            0.13 |             0.05 | amalgedu pack #1                                  
 able         | Ago difficult seats reveal extensive, short requirements; voluntary, formal concerns feel still only attractive schools; there only p                                                                    |   19.58 |            4.60 |             0.28 | exportinameless #7                                
 able         | Ago proposed hours accelerate. Urban stones used to find recent, interested delegates. Eyes rise. Always red leaders shall not put.                                                                      |   10.42 |            4.55 |             2.73 | importoamalg #1                                   
 able         | Ahead other offences could achieve special ways. At least necessary rights support p                                                                                                                     |   18.92 |            7.76 |             1.14 | corpnameless #10                                  
 able         | Ahead social forces may not                                                                                                                                                                              |   12.79 |           70.65 |             2.69 | maxicorp #2                                       
