Timing is on.
                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------
 prin stcallyought                                  | edu packcorp #6                                    | bracelets                                          | Jewelry                                            | 422.8529411764705882
 prin stcallyought                                  | edu packcorp #6                                    | bracelets                                          |                                                    | 422.8529411764705882
 prin stcallyought                                  | edu packcorp #6                                    |                                                    |                                                    | 422.8529411764705882
 prin stcallyought                                  |                                                    |                                                    |                                                    | 422.8529411764705882
 ableeingesecally                                   | amalgscholar #1                                    | rock                                               | Music                                              | 430.3870967741935484
 ableeingesecally                                   | amalgscholar #1                                    | rock                                               |                                                    | 430.3870967741935484
 ableeingesecally                                   | amalgscholar #1                                    |                                                    |                                                    | 430.3870967741935484
 ableeingesecally                                   |                                                    |                                                    |                                                    | 430.3870967741935484
 callyoughtprin st                                  | univunivamalg #5                                   | travel                                             | Books                                              | 431.3541666666666667
 callyoughtprin st                                  | univunivamalg #5                                   | travel                                             |                                                    | 431.3541666666666667
 callyoughtprin st                                  | univunivamalg #5                                   |                                                    |                                                    | 431.3541666666666667
 callyoughtprin st                                  |                                                    |                                                    |                                                    | 431.3541666666666667
 ableeingationeseought                              | amalgamalg #1                                      | dresses                                            | Women                                              | 437.7449392712550607
 ableeingationeseought                              | amalgamalg #1                                      | dresses                                            |                                                    | 437.7449392712550607
 ableeingationeseought                              | amalgamalg #1                                      |                                                    |                                                    | 437.7449392712550607
 ableeingationeseought                              |                                                    |                                                    |                                                    | 437.7449392712550607
 priablen stationought                              | corpmaxi #8                                        | parenting                                          | Books                                              | 439.6099585062240664
 priablen stationought                              | corpmaxi #8                                        | parenting                                          |                                                    | 439.6099585062240664
 priablen stationought                              | corpmaxi #8                                        |                                                    |                                                    | 439.6099585062240664
 priablen stationought                              |                                                    |                                                    |                                                    | 439.6099585062240664
 esebarbarantiought                                 | amalgscholar #1                                    | rock                                               | Music                                              | 440.1902834008097166
 esebarbarantiought                                 | amalgscholar #1                                    | rock                                               |                                                    | 440.1902834008097166
 esebarbarantiought                                 | amalgscholar #1                                    |                                                    |                                                    | 440.1902834008097166
 esebarbarantiought                                 |                                                    |                                                    |                                                    | 440.1902834008097166
 callyationationanti                                | amalgimporto #1                                    | accessories                                        | Men                                                | 440.7246963562753036
 callyationationanti                                | amalgimporto #1                                    | accessories                                        |                                                    | 440.7246963562753036
 callyationationanti                                | amalgimporto #1                                    |                                                    |                                                    | 440.7246963562753036
 callyationationanti                                |                                                    |                                                    |                                                    | 440.7246963562753036
 eingeingationationought                            | maxibrand #9                                       | mattresses                                         | Home                                               | 441.3968253968253968
 eingeingationationought                            | maxibrand #9                                       | mattresses                                         |                                                    | 441.3968253968253968
 eingeingationationought                            | maxibrand #9                                       |                                                    |                                                    | 441.3968253968253968
 eingeingationationought                            |                                                    |                                                    |                                                    | 441.3968253968253968
 eseantibarantiable                                 | amalgedu pack #1                                   | womens                                             | Shoes                                              | 442.0746887966804979
 eseantibarantiable                                 | amalgedu pack #1                                   | womens                                             |                                                    | 442.0746887966804979
 eseantibarantiable                                 | amalgedu pack #1                                   |                                                    |                                                    | 442.0746887966804979
 eseantibarantiable                                 |                                                    |                                                    |                                                    | 442.0746887966804979
 bareingprieseought                                 | namelessunivamalg #16                              | scanners                                           | Electronics                                        | 442.7418032786885246
 bareingprieseought                                 | namelessunivamalg #16                              | scanners                                           |                                                    | 442.7418032786885246
 bareingprieseought                                 | namelessunivamalg #16                              |                                                    |                                                    | 442.7418032786885246
 bareingprieseought                                 |                                                    |                                                    |                                                    | 442.7418032786885246
 eseprin stn st                                     | edu packscholar #1                                 | classical                                          | Music                                              | 442.7894736842105263
 eseprin stn st                                     | edu packscholar #1                                 | classical                                          |                                                    | 442.7894736842105263
 eseprin stn st                                     | edu packscholar #1                                 |                                                    |                                                    | 442.7894736842105263
 eseprin stn st                                     |                                                    |                                                    |                                                    | 442.7894736842105263
