Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales    
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+--------------+----------------+-------+-----------+------------------------
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     4 |   7041.58 |     15502.628333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     6 |   7350.27 |     15502.628333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     2 |   8195.43 |     16278.865833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     2 |   7428.74 |     15502.628333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     7 |   8259.43 |     16278.865833333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     6 |   8395.42 |     16378.949166666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     2 |   7081.65 |     15045.885833333333
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     2 |   8388.88 |     16238.847500000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     2 |   7149.63 |     14999.239166666667
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     6 |   6932.90 |     14761.069166666667
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     3 |   8482.46 |     16238.847500000000
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     2 |   6685.75 |     14441.612500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | eing         | Unknown        |     3 |   7220.01 |     14927.937500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     5 |   8633.14 |     16278.865833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     3 |   7404.72 |     15045.885833333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     2 |   8780.50 |     16378.949166666667
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     2 |   8065.89 |     15663.487500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | eing         | Unknown        |     6 |   8678.39 |     16238.847500000000
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     3 |   6903.34 |     14441.612500000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     6 |   7464.23 |     14999.239166666667
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     5 |   6944.12 |     14471.623333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     5 |   8169.68 |     15663.487500000000
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     2 |   7292.58 |     14761.069166666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     6 |   8928.55 |     16278.865833333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     4 |   9106.14 |     16378.949166666667
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     5 |   7791.87 |     15010.778333333333
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     5 |   7304.20 |     14441.612500000000
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     3 |   7481.53 |     14510.367500000000
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     6 |   8691.39 |     15663.487500000000
 Music                                              | rock                                               | amalgscholar #1                                    | eing         | Unknown        |     7 |   7561.35 |     14510.367500000000
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     2 |   7606.86 |     14471.623333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     7 |   8193.59 |     15045.885833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     6 |   7262.45 |     14108.520833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     4 |   8201.12 |     15045.885833333333
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     2 |   8236.98 |     15010.778333333333
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     2 |   7504.41 |     14266.148333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     4 |   9522.60 |     16278.865833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     3 |   8277.18 |     14999.239166666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     7 |   7407.88 |     14108.520833333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | eing         | Unknown        |     4 |   7447.78 |     14108.520833333333
