Timing is on.
 d_week_seq1 | round | round | round | round | round | round | round 
-------------+-------+-------+-------+-------+-------+-------+-------
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5114 |  0.96 |  1.06 |       |       |  0.59 |  0.90 |  1.01
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
        5115 |  1.05 |  1.04 |  1.13 |  0.95 |  0.94 |  1.01 |  0.93
