Timing is on.
                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales   
----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+--------------+----------------+-------+-----------+-----------------------
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     3 |   4078.67 | 9434.4300000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     4 |   4210.87 | 9291.8016666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     5 |   4913.83 | 9772.0816666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     4 |   4975.01 | 9818.0225000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     7 |   4958.82 | 9772.0816666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     7 |   4501.14 | 9291.8016666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     5 |   4533.69 | 9291.8016666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     2 |   5220.86 | 9943.0683333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     4 |   5250.60 | 9943.0683333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     2 |   4810.57 | 9475.6233333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     3 |   5295.28 | 9818.0225000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     4 |   4324.02 | 8834.6333333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     4 |   5163.00 | 9616.3816666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     4 |   5361.51 | 9772.0816666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     7 |   5537.53 | 9943.0683333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     4 |   5105.85 | 9475.6233333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | bar          | Unknown        |     2 |   4893.08 | 9237.8166666666666667
 Men                                                | accessories                                        | amalgimporto #1                                    | bar          | Unknown        |     6 |   5280.63 | 9616.3816666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | bar          | Unknown        |     2 |   4049.05 | 8366.7083333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | able         | Unknown        |     3 |   5008.83 | 9291.8016666666666667
 Women                                              | maternity                                          | exportiamalg #1                                    | ese          | Unknown        |     4 |   3585.21 | 7855.6950000000000000
 Music                                              | rock                                               | amalgscholar #1                                    | ese          | Unknown        |     5 |   5212.74 | 9475.6233333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     4 |   5200.46 | 9434.4300000000000000
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     3 |   5552.61 | 9772.0816666666666667
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     2 |   4659.11 | 8834.6333333333333333
 Music                                              | rock                                               | amalgscholar #1                                    | bar          | Unknown        |     6 |   4667.43 | 8834.6333333333333333
 Shoes                                              | athletic                                           | edu packedu pack #1                                | able         | Unknown        |     2 |   5606.37 | 9772.0816666666666667
 Shoes                                              | athletic                                           | edu packedu pack #1                                | ese          | Unknown        |     2 |   5275.47 | 9434.4300000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     5 |   5672.58 | 9818.0225000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | able         | Unknown        |     2 |   5684.90 | 9818.0225000000000000
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     3 |   5831.71 | 9943.0683333333333333
 Men                                                | accessories                                        | amalgimporto #1                                    | ese          | Unknown        |     5 |   5900.97 | 9943.0683333333333333
