Timing is on.
 channel |    col_name     | d_year | d_qoy |                     i_category                     | sales_cnt | sales_amt 
---------+-----------------+--------+-------+----------------------------------------------------+-----------+-----------
 catalog | cs_warehouse_sk |   1998 |     1 | Books                                              |        39 |  50297.56
 catalog | cs_warehouse_sk |   1998 |     1 | Children                                           |        30 |  62334.40
 catalog | cs_warehouse_sk |   1998 |     1 | Electronics                                        |        49 |  60322.85
 catalog | cs_warehouse_sk |   1998 |     1 | Home                                               |        47 |  51033.16
 catalog | cs_warehouse_sk |   1998 |     1 | Jewelry                                            |        53 |  71472.84
 catalog | cs_warehouse_sk |   1998 |     1 | Men                                                |        39 |  88380.37
 catalog | cs_warehouse_sk |   1998 |     1 | Music                                              |        44 |  59984.71
 catalog | cs_warehouse_sk |   1998 |     1 | Shoes                                              |        47 |  71872.20
 catalog | cs_warehouse_sk |   1998 |     1 | Sports                                             |        45 |  47537.70
 catalog | cs_warehouse_sk |   1998 |     1 | Women                                              |        52 |  63243.36
 catalog | cs_warehouse_sk |   1998 |     2 | Books                                              |        35 |  71142.23
 catalog | cs_warehouse_sk |   1998 |     2 | Children                                           |        39 |  46201.35
 catalog | cs_warehouse_sk |   1998 |     2 | Electronics                                        |        50 |  40115.06
 catalog | cs_warehouse_sk |   1998 |     2 | Home                                               |        39 |  63275.75
 catalog | cs_warehouse_sk |   1998 |     2 | Jewelry                                            |        45 |  24871.05
 catalog | cs_warehouse_sk |   1998 |     2 | Men                                                |        35 |  93457.12
 catalog | cs_warehouse_sk |   1998 |     2 | Music                                              |        32 |  33622.62
 catalog | cs_warehouse_sk |   1998 |     2 | Shoes                                              |        54 |  88854.40
 catalog | cs_warehouse_sk |   1998 |     2 | Sports                                             |        40 |  72205.80
 catalog | cs_warehouse_sk |   1998 |     2 | Women                                              |        39 |  34713.67
 catalog | cs_warehouse_sk |   1998 |     2 |                                                    |         1 |    803.40
 catalog | cs_warehouse_sk |   1998 |     3 | Books                                              |        68 |  87126.49
 catalog | cs_warehouse_sk |   1998 |     3 | Children                                           |        70 | 162849.17
 catalog | cs_warehouse_sk |   1998 |     3 | Electronics                                        |        84 |  93764.35
 catalog | cs_warehouse_sk |   1998 |     3 | Home                                               |        88 |  88570.27
 catalog | cs_warehouse_sk |   1998 |     3 | Jewelry                                            |        80 | 109036.91
 catalog | cs_warehouse_sk |   1998 |     3 | Men                                                |        59 |  89327.97
 catalog | cs_warehouse_sk |   1998 |     3 | Music                                              |        64 |  84909.90
 catalog | cs_warehouse_sk |   1998 |     3 | Shoes                                              |        68 | 116984.50
 catalog | cs_warehouse_sk |   1998 |     3 | Sports                                             |        83 | 118761.02
 catalog | cs_warehouse_sk |   1998 |     3 | Women                                              |        73 | 115748.98
 catalog | cs_warehouse_sk |   1998 |     3 |                                                    |         1 |  13828.80
 catalog | cs_warehouse_sk |   1998 |     4 | Books                                              |       112 | 118400.61
 catalog | cs_warehouse_sk |   1998 |     4 | Children                                           |       125 | 142808.11
 catalog | cs_warehouse_sk |   1998 |     4 | Electronics                                        |       120 | 176988.08
 catalog | cs_warehouse_sk |   1998 |     4 | Home                                               |       125 | 149574.41
 catalog | cs_warehouse_sk |   1998 |     4 | Jewelry                                            |       144 | 172467.49
 catalog | cs_warehouse_sk |   1998 |     4 | Men                                                |       125 | 189081.73
 catalog | cs_warehouse_sk |   1998 |     4 | Music                                              |       133 | 164898.90
 catalog | cs_warehouse_sk |   1998 |     4 | Shoes                                              |       114 | 128480.43
 catalog | cs_warehouse_sk |   1998 |     4 | Sports                                             |       115 | 153144.46
 catalog | cs_warehouse_sk |   1998 |     4 | Women                                              |       121 | 145736.22
 catalog | cs_warehouse_sk |   1998 |     4 |                                                    |         7 |  15536.52
 catalog | cs_warehouse_sk |   1999 |     1 | Books                                              |        43 |  83326.90
 catalog | cs_warehouse_sk |   1999 |     1 | Children                                           |        52 |  38068.75
 catalog | cs_warehouse_sk |   1999 |     1 | Electronics                                        |        45 |  58391.69
 catalog | cs_warehouse_sk |   1999 |     1 | Home                                               |        36 |  37938.03
 catalog | cs_warehouse_sk |   1999 |     1 | Jewelry                                            |        45 |  32937.55
